team_name,Year,avg_diff_dl
CLV,2016,-3657865.75
CLV,2019,4669027.625
CLV,2020,4531492.194444444
CLV,2021,-899721.2351190478
DAL,2012,887756.955357143
DAL,2013,-171819.52083333326
DAL,2014,-4036112.708333334
DAL,2015,463896.2083333335
DAL,2016,-1128788.8333333333
DAL,2017,-1217456.416666667
DAL,2018,992759.666666667
DAL,2019,2354045.1458333335
DAL,2020,-1120819.458333333
DAL,2021,-2388020.8333333335
DEN,2012,-675138.75
DEN,2013,-3803401.5555555555
DEN,2014,-275623.5277777777
DEN,2015,-2200780.4166666665
DEN,2016,2633140.885416667
DEN,2017,-5304313.261904762
DEN,2018,1319799.0555555557
DEN,2019,-288177.02083333326
DEN,2020,-8895956.416666666
DEN,2021,-635826.8888888886
DET,2012,816286.2777777779
DET,2013,-3878826.416666667
DET,2014,-2695984.9166666665
DET,2015,-2843951.958333333
DET,2016,207638.91666666698
DET,2017,-827430.5416666667
DET,2018,-3228417.2916666665
DET,2019,539333.8333333333
DET,2020,-1999898.1388888888
DET,2021,-3404044.3888888885
GB,2012,-1252822.9166666667
GB,2013,5136345.208333333
GB,2014,2278300.722222222
GB,2015,151023.2537878789
GB,2016,1364361.9375
GB,2017,2239468.3333333335
GB,2018,-4443001.166666667
GB,2019,3409134.905555556
GB,2020,2373634.85
GB,2021,-191822.91666666674
HST,2012,-2381045.9166666665
HST,2013,-186319.83333333326
HST,2014,1508491.8333333337
HST,2015,264562.038690476
HST,2016,-1361603.5
HST,2017,-3052986.0833333335
HST,2018,425841.138888889
HST,2019,-226741.04166666663
HST,2020,821527.75
HST,2021,-2221388.875
IND,2012,2176718.8888888885
IND,2013,332113.3999999999
IND,2014,25115.694444444496
IND,2015,237344.3055555555
IND,2016,1831858.3333333333
IND,2017,-3692358.7
IND,2018,-855418.3958333333
IND,2019,-1629082.777777778
IND,2020,2166814.722222222
IND,2021,-2989375.0
JAX,2012,-2135224.9166666665
JAX,2013,-958977.6111111114
JAX,2014,-966612.5208333334
JAX,2015,472733.5000000002
JAX,2016,-231677.16666666663
JAX,2017,2711342.458333333
JAX,2018,3186620.8901515147
