team_name,Year,avg_diff_db
LV,2021,-3449541.666666667
MIA,2012,-3117936.6666666665
MIA,2013,-208337.15476190473
MIA,2014,781030.5333333333
MIA,2015,-248187.6875
MIA,2016,-501020.8333333333
MIA,2017,2867513.25
MIA,2018,1433343.361111111
MIA,2019,-2236950.333333333
MIA,2020,3189255.6488095243
MIA,2021,1744903.2083333337
MIN,2012,1300972.25
MIN,2013,-1932177.0833333335
MIN,2014,-619312.5
MIN,2015,-2103098.472222222
MIN,2016,-339938.4791666665
MIN,2017,864440.6458333335
MIN,2018,1545918.7916666667
MIN,2019,2499864.4166666665
MIN,2020,1097263.875
MIN,2021,-428376.5833333335
NE,2012,-2555236.125
NE,2013,504201.6111111112
NE,2014,1449302.25
NE,2015,-1455368.1666666667
NE,2016,-1053319.611111111
NE,2017,-221966.7166666668
NE,2018,-171780.96190476193
NE,2019,1605497.979166667
NE,2020,-1089221.875
NE,2021,-3094722.883333334
NO,2012,229842.26190476213
NO,2013,-936736.125
NO,2014,227688.9166666665
NO,2015,-461627.08333333326
NO,2016,-2319142.4444444445
NO,2020,-290625.0
NO,2021,3233847.484848485
NYG,2012,1524297.1296296294
NYG,2013,-1087003.9722222222
NYG,2014,683031.1666666665
NYG,2015,-1599666.6666666667
NYG,2016,205333.33333333302
NYG,2017,-3329049.25
NYG,2018,-4655944.111111111
NYG,2019,-4354064.583333333
NYG,2020,3813041.5
NYG,2021,5526321.194444444
NYJ,2012,-345155.92613636353
NYJ,2013,961741.625
NYJ,2014,-2971714.25
NYJ,2015,4227861.041666667
NYJ,2016,3661656.1388888885
NYJ,2017,-1825259.4444444443
NYJ,2018,1461423.9791666667
NYJ,2019,-3643634.25
NYJ,2020,-6019875.0
PHI,2012,8032255.0
PHI,2013,716271.5277777776
PHI,2014,602102.1875
PHI,2015,-277608.29999999993
PHI,2016,-193540.875
PHI,2017,-602491.1616161618
PHI,2018,-118611.74999999977
PHI,2019,730666.708333333
PHI,2020,903610.1874999999
PHI,2021,-400742.27666666673
PIT,2012,33909.791666666744
PIT,2013,401216.7499999999
PIT,2014,78766.2166666666
PIT,2015,-2089113.6944444443
PIT,2016,-3765060.25
PIT,2017,574552.5833333335
PIT,2018,170065.33333333326
PIT,2019,-86765.47222222232
PIT,2020,1508013.9166666665
PIT,2021,-1842986.083333333
SEA,2012,-3046664.9583333335
SEA,2013,-752769.125
SEA,2014,4524028.388888889
SEA,2015,4721325.622222222
SEA,2016,3943583.75
SEA,2017,1757770.8333333337
SEA,2018,-2799170.472222222
SEA,2019,-1600178.1944444443
SEA,2020,-3083211.708333333
SEA,2021,2779382.9583333335
SF,2012,1100354.0555555557
SF,2013,-1085273.8333333333
SF,2014,-2216246.541666667
SF,2015,-647226.0
SF,2016,-766093.75
SF,2017,-3422312.5
SF,2018,1479637.3333333333
SF,2019,-1923278.1964285711
SF,2020,-4608520.833333334
SF,2021,-3069154.0333333337
TB,2012,-851388.8333333335
TB,2013,6569967.9
TB,2014,432111.0833333333
TB,2015,-823794.916666667
TB,2016,-2570486.1111111115
TB,2017,-1626398.1666666665
TB,2018,2522041.666666667
TB,2019,-5489166.666666667
TEN,2012,743801.6388888889
TEN,2013,2109618.666666666
TEN,2014,1825805.0
TEN,2015,2022264.9444444447
TEN,2016,-879661.0555555554
TEN,2017,4682620.333333333
TEN,2018,2381756.9444444445
TEN,2019,1265116.0625
TEN,2020,2321969.9166666665
TEN,2021,1184111.166666666
WAS,2012,816308.2291666666
WAS,2013,-1306163.2708333335
WAS,2014,-2499727.7777777775
WAS,2015,93333.33333333333
WAS,2016,-1012522.5624999997
WAS,2017,2987708.3333333335
WAS,2018,8897912.0
WAS,2019,2969088.2592592593
WAS,2020,-960226.208333333
WAS,2021,2366494.756944444
