team_name,Year,avg_diff_te
NO,2017,-1310694.4166666667
NO,2018,-2260972.083333333
NO,2019,-341867.25
NO,2020,-587083.3333333335
NO,2021,-763789.3333333333
NYG,2012,-1753055.5
NYG,2013,-1593062.5
NYG,2014,-2457500.0
NYG,2015,-2153333.3333333335
NYG,2016,-1308472.25
NYG,2017,-412916.666666667
NYG,2018,-128055.58333333349
NYG,2019,2442500.0
NYG,2021,915000.0
NYJ,2012,-2127222.5
NYJ,2013,-3395833.333333333
NYJ,2014,468611.16666666674
NYJ,2015,-732361.0833333334
NYJ,2016,-454027.83333333326
NYJ,2018,-3808333.333333333
NYJ,2019,1034166.6666666665
NYJ,2020,-422166.6666666665
NYJ,2021,-1090338.0
PHI,2012,1531889.0
PHI,2013,810000.0
PHI,2014,69166.66666666698
PHI,2016,2064222.083333333
PHI,2017,835373.5
PHI,2018,2905266.666666667
PHI,2019,2523498.833333333
PHI,2020,4631250.0
PHI,2021,-140625.0
PIT,2012,-68750.0
PIT,2013,1152076.4166666667
PIT,2014,-1419166.6666666667
PIT,2015,-24722.25
PIT,2016,-3022500.0
PIT,2017,500683.333333333
PIT,2018,2404166.6666666665
PIT,2020,2188083.3333333335
SEA,2012,433000.0
SEA,2013,-2962500.0
SEA,2014,-3042500.0
SEA,2015,5581666.666666667
SEA,2016,945400.0
SEA,2017,1112499.9999999998
SEA,2018,79722.5
SEA,2019,-1382500.0
SEA,2020,1612248.8333333333
SEA,2021,525833.333333333
SF,2012,2130277.833333333
SF,2013,4235333.333333334
SF,2014,4599444.5
SF,2015,-2094166.6666666665
SF,2016,2103750.0
SF,2017,-984166.6666666665
SF,2018,-208611.1666666665
SF,2020,2187083.3
SF,2021,1887500.0
TB,2012,-1191722.1666666665
TB,2013,-569166.6666666667
TB,2014,-1029722.1666666665
TB,2015,-1007361.0833333335
TB,2017,-2908750.0
TB,2020,-167833.33333333302
TB,2021,-3170416.666666666
TEN,2012,849944.5
TEN,2013,228020.8333333335
TEN,2014,-867083.3333333335
TEN,2015,-1866388.9166666667
TEN,2016,1375.0000000002328
TEN,2017,-433680.0
TEN,2018,-4353680.0
TEN,2019,-2454166.6666666665
TEN,2020,-1549834.5
TEN,2021,-1956478.0
WAS,2012,2612555.5
WAS,2013,-1469722.5
WAS,2014,-1329722.5
WAS,2015,-2202222.1666666665
WAS,2016,-264548.3333333335
WAS,2017,-433061.0833333335
WAS,2018,963055.5
WAS,2020,-1335416.666666667
WAS,2021,-3240833.333333333
