team_name,Year,avg_diff_ol
DET,2015,-1520538.0624999998
DET,2016,-2134522.2291666665
DET,2017,-305271.5
DET,2018,-1898613.6875
DET,2019,-4039469.6875
DET,2020,-1242564.7166666668
DET,2021,-900793.2666666668
GB,2012,1307176.5833333335
GB,2013,-492325.39333333325
GB,2014,-345429.65
GB,2015,620438.5966666668
GB,2016,462147.3541666666
GB,2017,953276.3166666668
GB,2018,535020.9047619046
GB,2019,1016617.7499999998
GB,2020,1963481.1845238095
GB,2021,-1508310.1041666665
HST,2012,641329.0583333332
HST,2013,-232006.7611111111
HST,2014,48339.76666666651
HST,2015,267425.85
HST,2016,154392.88333333348
HST,2017,-337152.0833333332
HST,2018,-1412813.6666666665
HST,2019,961817.0
HST,2020,3814844.2166666663
HST,2021,-1425412.6333333333
IND,2012,-645465.6333333334
IND,2013,68584.05000000009
IND,2014,-397766.3999999999
IND,2015,-34447.666666666744
IND,2016,-172024.7333333333
IND,2017,-41780.8541666668
IND,2018,-1922310.8
IND,2019,-3229418.6428571423
IND,2020,756267.2833333336
IND,2021,4364230.116666666
JAX,2012,-68631.1222222222
JAX,2013,-1472387.3
JAX,2014,-479628.5833333334
JAX,2015,567790.3833333333
JAX,2016,-237755.08333333358
JAX,2017,-542197.8333333335
JAX,2018,1605693.7333333332
JAX,2019,2383449.7
JAX,2020,-64224.8833333333
JAX,2021,3969678.3333333335
KC,2012,-668876.6333333333
KC,2013,792119.7666666668
KC,2014,-1123647.5333333332
KC,2015,-319206.18333333323
KC,2016,692346.966666667
KC,2017,1516704.4666666668
KC,2018,-519349.1651515149
KC,2019,-217419.58666666652
KC,2020,-4489489.958333333
KC,2021,-3380045.6777777774
LA,2012,428685.2833333334
LA,2013,80434.98636363633
LA,2014,1562275.05
LA,2015,-975492.3
LA,2016,633463.3166666668
LA,2017,-498620.89999999973
LA,2018,-305557.1199999998
LA,2019,-21651.600000000188
LA,2020,-2085942.5833333333
LA,2021,-3620719.4666666663
LAC,2012,-162019.22916666663
LAC,2013,478463.7
LAC,2014,-896752.9333333332
LAC,2015,-1870753.4999999995
LAC,2016,2008715.316666667
LAC,2017,1239814.566666667
LAC,2018,764715.5000000001
LAC,2019,-2570090.770833333
