player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Haloti Ngata,2957,DI,BLT,18,1,,,1.0,,,0,0,0,,3,62.1,67.7,46.8,63.4,70.1,56.6,0,,22.2,2,0,5,0.0,0,6,614,7,6,0,0,0,0,0.0,
Kamerion Wimbley,2958,ED,TEN,16,0,6.0,100.0,1.6,9.0,9.0,1,0,0,0.0,31,65.2,65.3,66.2,70.6,51.9,78.8,0,28,33.3,2,0,2,118.8,1,9,555,10,4,1,0,28,22,3.1,28.0
Brodrick Bunkley,2959,DI,NO,15,2,,,0.6,,,0,0,0,,20,58.2,69.4,66.3,61.6,70.5,46.3,0,,50.0,2,0,1,0.0,0,1,155,2,0,0,0,0,0,0.0,
Jason Allen,2961,CB,CIN,1,0,5.0,100.0,100.0,1.5,1.5,0,0,0,0.0,7,62.0,62.1,68.1,,,75.5,0,10,0.0,0,0,0,95.8,2,3,3,1,2,2,0,14,4,4.7,7.0
Chad Greenway,2962,LB,MIN,17,9,3.2,78.7,88.6,8.8,6.9,0,0,3,3.2,18,65.5,63.1,62.7,64.3,58.9,73.8,1,64,5.8,4,3,2,104.2,74,684,772,21,56,94,2,786,602,1.2,10.6
Bobby Carpenter,2963,LB,NE,2,0,,,100.0,,,0,0,0,,19,63.4,65.1,67.8,,60.0,,0,,,0,0,0,0.0,0,4,4,0,0,0,0,0,0,0.0,
Antonio Cromartie,2964,CB,NYJ,16,2,14.9,46.5,100.0,13.2,6.1,0,0,12,14.0,22,75.1,75.4,68.6,,70.4,58.4,3,41,10.3,3,12,6,70.4,40,558,558,7,24,86,5,511,110,1.0,12.8
Tamba Hali,2965,ED,KC,15,0,2.2,100.0,16.7,12.8,12.8,0,0,0,0.0,16,69.7,69.9,82.7,71.0,58.9,79.7,0,11,14.3,2,0,1,97.9,6,81,486,13,12,6,0,45,32,0.6,7.5
Manny Lawson,2967,LB,CIN,17,0,3.9,83.3,80.7,6.6,5.5,0,0,0,0.0,7,31.6,53.0,40.5,90.4,63.7,72.4,0,21,5.6,1,0,2,102.6,20,138,171,7,17,24,0,207,148,1.6,10.4
Johnathan Joseph,2969,CB,HST,16,3,12.1,56.0,100.0,9.4,5.3,1,0,5,4.6,13,70.3,71.5,89.2,,69.0,74.9,3,45,6.8,4,5,4,71.8,61,612,612,15,52,109,2,743,175,1.3,12.2
Mathias Kiwanuka,2977,LB,NYG,16,1,4.5,83.3,19.9,12.0,10.0,0,0,0,0.0,21,51.1,56.3,50.2,63.2,56.1,73.6,0,15,0.0,0,0,2,106.3,5,61,306,4,4,6,0,57,31,1.0,11.4
