player,player_id,position,team_name,grades_coverage_defense,grades_defense,snap_counts_pass_play,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Kevin Byard,10698,S,TEN,90.9,90.4,776,1.0,2021,590,Kevin Byard,2021,27,5,"$70,500,000",14100000
Jalen Ramsey,10639,CB,LA,85.8,84.4,808,5.0,2021,350,Jalen Ramsey,2021,26,5,"$100,000,000",20000000
Micah Hyde,7941,S,BUF,89.8,83.8,720,6.0,2021,998,Micah Hyde,2021,30,5,"$30,500,000",6100000
Kendall Fuller,10718,CB,WAS,78.7,81.5,658,8.0,2021,381,Kendall Fuller,2021,26,4,"$40,000,000",10000000
Darius Slay,7817,CB,PHI,84.5,81.0,615,9.0,2021,311,Darius Slay,2021,30,3,"$50,050,000",16683333
Marcus Williams,11797,S,NO,84.3,80.1,672,10.0,2021,176,Marcus Williams,2021,24,1,"$10,612,000",10612000
Adrian Phillips,9177,S,NE,84.5,80.0,538,11.0,2021,5,Adrian Phillips,2021,29,3,"$12,750,000",4250000
J.C. Jackson,42781,CB,NE,80.4,78.9,592,13.0,2021,104,J.C. Jackson,2021,25,1,"$3,384,000",3384000
Harrison Smith,7641,S,MIN,81.8,77.9,658,16.0,2021,101,Harrison Smith,2021,32,4,"$64,000,000",16000000
Jordan Poyer,8000,S,BUF,86.8,77.7,698,17.0,2021,370,Jordan Poyer,2021,29,2,"$19,500,000",9750000
Tavierre Thomas,66931,CB,HST,76.1,77.6,413,18.0,2021,234,Tavierre Thomas,2021,25,2,"$4,000,000",2000000
Marshon Lattimore,11766,CB,NO,76.4,77.3,640,19.0,2021,179,Marshon Lattimore,2021,25,5,"$97,603,000",19520600
Jayron Kearse,10878,S,DAL,75.5,75.9,674,22.0,2021,125,Jayron Kearse,2021,27,1,"$1,127,500",1127500
Chidobe Awuzie,11815,CB,CIN,74.5,75.5,703,23.0,2021,44,Chidobe Awuzie,2021,25,3,"$21,750,000",7250000
Devin McCourty,5552,S,NE,74.7,75.5,626,23.0,2021,325,Devin McCourty,2021,33,2,"$23,000,000",11500000
Adoree' Jackson,11773,CB,NYG,80.9,74.9,498,26.0,2021,3,Adoree' Jackson,2021,25,3,"$39,000,000",13000000
Jimmie Ward,8665,S,SF,69.1,74.8,761,27.0,2021,360,Jimmie Ward,2021,29,3,"$28,500,000",9500000
Justin Simmons,10732,S,DEN,73.4,74.8,663,27.0,2021,145,Justin Simmons,2021,27,4,"$61,000,000",15250000
Rasul Douglas,11854,CB,GB,77.2,74.5,490,29.0,2021,209,Rasul Douglas,2021,25,1,"$990,000",990000
Adrian Amos,9575,S,GB,73.6,74.3,727,30.0,2021,462,Adrian Amos,2021,27,4,"$36,000,000",9000000
Vonn Bell,10695,S,CIN,75.6,72.1,851,32.0,2021,454,Vonn Bell,2021,26,3,"$18,000,000",6000000
Shaquill Griffin,11845,CB,JAX,71.1,72.0,508,33.0,2021,224,Shaquill Griffin,2021,25,3,"$40,000,000",13333333
Eric Rowe,9480,S,MIA,70.7,71.2,451,37.0,2021,531,Eric Rowe,2021,29,3,"$16,150,000",5383333
Charvarius Ward,43034,CB,KC,69.4,71.2,591,37.0,2021,43,Charvarius Ward,2021,25,1,"$3,384,000",3384000
Avonte Maddox,50543,CB,PHI,73.5,71.0,533,40.0,2021,20,Avonte Maddox,2021,25,3,"$22,500,000",7500000
Bobby McCain,9578,S,WAS,72.6,70.9,667,41.0,2021,26,Bobby McCain,2021,27,1,"$1,475,000",1475000
Xavien Howard,10672,CB,MIA,71.1,70.9,648,41.0,2021,662,Xavien Howard,2021,27,5,"$75,250,000",15050000
Taron Johnson,49511,CB,BUF,75.3,70.3,665,45.0,2021,232,Taron Johnson,2021,25,3,"$24,000,000",8000000
Mike Hilton,10898,CB,CIN,70.0,70.2,754,46.0,2021,187,Mike Hilton,2021,27,4,"$24,000,000",6000000
Sidney Jones,11798,CB,SEA,69.2,70.2,447,46.0,2021,227,Sidney Jones,2021,24,1,"$1,750,000",1750000
Kyle Dugger,90621,S,NE,73.7,69.7,462,51.0,2021,388,Kyle Dugger,2021,25,4,"$8,331,902",2082976
Emmanuel Moseley,50430,CB,SF,68.0,69.1,498,53.0,2021,93,Emmanuel Moseley,2021,24,2,"$9,384,000",4692000
Jalen Mills,10867,CB,NE,63.5,67.5,529,59.0,2021,113,Jalen Mills,2021,26,4,"$24,000,000",6000000
Tyrann Mathieu,7850,S,KC,75.7,67.4,730,60.0,2021,660,Tyrann Mathieu,2021,28,3,"$42,000,000",14000000
Robert Alford,7841,CB,ARZ,68.5,66.9,409,61.0,2021,214,Robert Alford,2021,32,1,"$990,000",990000
Xavier Woods,11946,S,MIN,58.3,66.4,758,63.0,2021,259,Xavier Woods,2021,25,1,"$1,750,000",1750000
Chuck Clark,11941,S,BLT,61.1,66.3,676,64.0,2021,297,Chuck Clark,2021,25,3,"$15,300,000",5100000
Anthony Brown,10823,CB,DAL,67.1,66.0,706,67.0,2021,267,Anthony Brown,2021,27,3,"$15,500,000",5166667
Marlon Humphrey,11771,CB,BLT,65.0,65.9,498,68.0,2021,398,Marlon Humphrey,2021,25,5,"$97,500,000",19500000
Tre'Davious White,11782,CB,BUF,69.0,65.7,408,70.0,2021,448,Tre'Davious White,2021,26,4,"$69,000,000",17250000
Nik Needham,50356,CB,MIA,67.6,65.2,438,72.0,2021,197,Nik Needham,2021,24,1,"$850,000",850000
Byron Jones,9460,CB,MIA,63.5,65.0,626,74.0,2021,287,Byron Jones,2021,28,5,"$82,500,000",16500000
Rodney McLeod,7271,S,PHI,60.4,64.8,477,75.0,2021,424,Rodney McLeod,2021,30,2,"$8,650,000",4325000
Budda Baker,11791,S,ARZ,65.2,64.6,658,76.0,2021,286,Budda Baker,2021,25,4,"$59,000,000",14750000
Malcolm Jenkins,4937,S,NO,60.8,64.5,679,78.0,2021,396,Malcolm Jenkins,2021,33,4,"$32,000,000",8000000
K'Waun Williams,9332,CB,SF,60.7,63.5,572,85.0,2021,146,K'Waun Williams,2021,29,1,"$2,377,500",2377500
Patrick Peterson,6157,CB,MIN,61.0,63.0,548,87.0,2021,201,Patrick Peterson,2021,30,1,"$8,000,000",8000000
Andrew Sendejo,6118,S,IND,65.1,62.9,410,88.0,2021,12,Andrew Sendejo,2021,33,1,"$1,075,000",1075000
Steven Nelson,9531,CB,PHI,60.6,62.9,629,88.0,2021,229,Steven Nelson,2021,28,1,"$3,010,000",3010000
James Bradberry,10696,CB,NYG,65.0,62.8,690,90.0,2021,353,James Bradberry,2021,27,3,"$43,500,000",14500000
Anthony Harris,9895,S,PHI,58.4,62.0,539,95.0,2021,14,Anthony Harris,2021,29,1,"$4,000,000",4000000
Xavier Rhodes,7806,CB,IND,61.8,61.8,402,97.0,2021,258,Xavier Rhodes,2021,30,1,"$4,770,000",4770000
Darious Williams,55724,CB,LA,60.7,61.8,749,97.0,2021,69,Darious Williams,2021,28,1,"$4,766,000",4766000
Damontae Kazee,11904,S,DAL,66.0,61.8,606,97.0,2021,64,Damontae Kazee,2021,27,1,"$1,127,500",1127500
Levi Wallace,25445,CB,BUF,63.9,61.6,686,100.0,2021,166,Levi Wallace,2021,25,1,"$1,750,000",1750000
Jourdan Lewis,11846,CB,DAL,62.8,61.3,595,101.0,2021,141,Jourdan Lewis,2021,25,3,"$13,500,000",4500000
Ronald Darby,9483,CB,DEN,58.7,61.1,412,103.0,2021,218,Ronald Darby,2021,27,3,"$30,000,000",10000000
Dean Marlowe,9966,S,DET,63.0,61.0,417,104.0,2021,76,Dean Marlowe,2021,28,1,"$990,000",990000
Sean Chandler,51315,S,CAR,62.6,60.7,322,106.0,2021,222,Sean Chandler,2021,24,1,"$920,000",920000
Eli Apple,10644,CB,CIN,60.4,60.5,845,108.0,2021,91,Eli Apple,2021,25,1,"$1,200,000",1200000
Logan Ryan,7864,S,NYG,51.1,60.4,602,109.0,2021,394,Logan Ryan,2021,30,3,"$31,000,000",10333333
Tavon Young,10738,CB,BLT,62.6,60.4,404,109.0,2021,644,Tavon Young,2021,26,3,"$25,800,000",8600000
Jamal Adams,11761,S,SEA,47.4,60.1,519,112.0,2021,115,Jamal Adams,2021,25,4,"$70,580,000",17645000
Erik Harris,10346,S,ATL,60.3,59.7,421,113.0,2021,94,Erik Harris,2021,30,1,"$1,350,000",1350000
Cameron Sutton,11850,CB,PIT,56.6,59.3,689,114.0,2021,39,Cameron Sutton,2021,26,2,"$9,000,000",4500000
Duron Harmon,7872,S,ATL,54.8,59.1,611,116.0,2021,89,Duron Harmon,2021,30,1,"$1,212,500",1212500
Eddie Jackson,11867,S,CHI,56.9,59.0,438,117.0,2021,335,Eddie Jackson,2021,28,4,"$58,400,000",14600000
Fabian Moreau,11836,CB,ATL,55.2,57.7,597,125.0,2021,95,Fabian Moreau,2021,26,1,"$1,127,500",1127500
Jaquiski Tartt,9479,S,SF,54.1,57.5,592,127.0,2021,121,Jaquiski Tartt,2021,29,1,"$1,127,500",1127500
Tevaughn Campbell,91247,CB,LAC,52.4,56.9,412,129.0,2021,646,Tevaughn Campbell,2021,27,3,"$1,765,000",588333
Rayshawn Jenkins,11868,S,JAX,61.2,56.9,485,129.0,2021,211,Rayshawn Jenkins,2021,27,4,"$35,000,000",8750000
Chandon Sullivan,49349,CB,GB,57.5,55.0,615,135.0,2021,41,Chandon Sullivan,2021,24,1,"$2,133,000",2133000
Landon Collins,9466,S,WAS,38.8,54.7,425,136.0,2021,596,Landon Collins,2021,27,6,"$84,000,000",14000000
Michael Davis,12040,CB,LAC,54.4,54.0,523,137.0,2021,183,Michael Davis,2021,26,3,"$25,200,000",8400000
Terrance Mitchell,8888,CB,HST,51.7,52.4,430,142.0,2021,237,Terrance Mitchell,2021,28,2,"$6,500,000",3250000
Kareem Jackson,5545,S,DEN,48.5,52.0,533,143.0,2021,148,Kareem Jackson,2021,32,1,"$5,000,000",5000000
Eric Murray,10740,S,HST,54.7,50.9,417,145.0,2021,338,Eric Murray,2021,27,3,"$18,000,000",6000000
Brandon Facyson,50564,CB,LV,42.5,49.1,376,149.0,2021,28,Brandon Facyson,2021,26,1,"$945,000",945000
Daniel Sorensen,9253,S,KC,53.5,47.7,586,152.0,2021,66,Daniel Sorensen,2021,30,1,"$2,462,000",2462000
Josh Norman,7649,CB,SF,45.4,47.2,480,153.0,2021,136,Josh Norman,2021,33,1,"$1,500,000",1500000
Kyle Fuller,8649,CB,DEN,40.8,47.2,483,153.0,2021,161,Kyle Fuller,2021,29,1,"$9,500,000",9500000
Mackensie Alexander,10688,CB,MIN,40.3,40.2,512,160.0,2021,169,Mackensie Alexander,2021,27,1,"$1,127,500",1127500
Adrian Amos,9575,S,GB,92.1,89.9,700,3.0,2020,462,Adrian Amos,2020,26,4,"$36,000,000",9000000
Xavien Howard,10672,CB,MIA,89.6,87.3,584,4.0,2020,662,Xavien Howard,2020,26,5,"$75,250,000",15050000
Bryce Callahan,10000,CB,DEN,86.7,84.1,394,6.0,2020,285,Bryce Callahan,2020,28,2,"$12,382,000",6191000
Darious Williams,55724,CB,LA,81.5,81.0,629,8.0,2020,701,Darious Williams,2020,27,3,"$1,710,000",570000
Jonathan Jones,11217,CB,NE,80.8,80.7,453,9.0,2020,564,Jonathan Jones,2020,26,3,"$21,000,000",7000000
Kareem Jackson,5545,S,DEN,81.3,80.4,672,10.0,2020,582,Kareem Jackson,2020,31,3,"$33,000,000",11000000
James Bradberry,10696,CB,NYG,79.9,79.8,639,11.0,2020,353,James Bradberry,2020,26,3,"$43,500,000",14500000
Jason Verrett,8660,CB,SF,76.1,77.6,493,13.0,2020,355,Jason Verrett,2020,28,1,"$1,047,500",1047500
Justin Simmons,10732,S,DEN,79.0,77.4,672,14.0,2020,375,Justin Simmons,2020,26,1,"$11,441,000",11441000
Xavier Rhodes,7806,CB,IND,78.9,77.3,617,15.0,2020,459,Xavier Rhodes,2020,29,1,"$3,000,000",3000000
Jalen Ramsey,10639,CB,LA,77.8,77.3,697,15.0,2020,350,Jalen Ramsey,2020,25,5,"$100,000,000",20000000
Brian Poole,11052,CB,NYJ,79.5,77.1,308,17.0,2020,284,Brian Poole,2020,27,1,"$5,000,000",5000000
Marlon Humphrey,11771,CB,BLT,77.6,76.4,717,18.0,2020,398,Marlon Humphrey,2020,24,5,"$97,500,000",19500000
Budda Baker,11791,S,ARZ,68.9,75.3,643,21.0,2020,286,Budda Baker,2020,24,4,"$59,000,000",14750000
Malcolm Butler,9040,CB,TEN,75.8,74.5,726,22.0,2020,786,Malcolm Butler,2020,30,5,"$61,250,000",12250000
Harrison Smith,7641,S,MIN,76.7,74.3,592,23.0,2020,1148,Harrison Smith,2020,31,5,"$51,250,000",10250000
Jimmie Ward,8665,S,SF,72.5,73.5,509,25.0,2020,360,Jimmie Ward,2020,28,3,"$28,500,000",9500000
Vonn Bell,10695,S,CIN,64.6,71.5,619,30.0,2020,454,Vonn Bell,2020,25,3,"$18,000,000",6000000
Bradley Roby,8666,CB,HST,72.2,71.5,338,30.0,2020,279,Bradley Roby,2020,27,3,"$31,500,000",10500000
Jordan Poyer,8000,S,BUF,70.4,71.3,771,33.0,2020,370,Jordan Poyer,2020,28,2,"$19,500,000",9750000
Rodney McLeod,7271,S,PHI,77.3,70.8,503,36.0,2020,424,Rodney McLeod,2020,29,2,"$8,650,000",4325000
Jimmy Smith,6179,CB,BLT,73.3,70.5,393,37.0,2020,361,Jimmy Smith,2020,31,1,"$3,500,000",3500000
Micah Hyde,7941,S,BUF,69.2,70.3,730,41.0,2020,998,Micah Hyde,2020,29,5,"$30,500,000",6100000
Troy Hill,9881,CB,LA,71.9,69.9,705,43.0,2020,657,Troy Hill,2020,28,2,"$3,225,525",1612763
Chuck Clark,11941,S,BLT,70.8,69.8,777,44.0,2020,297,Chuck Clark,2020,24,3,"$15,300,000",5100000
Ronald Darby,9483,CB,WAS,68.2,69.7,657,45.0,2020,425,Ronald Darby,2020,26,1,"$3,000,000",3000000
Jalen Mills,10867,S,PHI,66.9,68.9,596,48.0,2020,349,Jalen Mills,2020,25,1,"$4,000,000",4000000
Tre'Davious White,11782,CB,BUF,71.9,68.5,687,52.0,2020,448,Tre'Davious White,2020,25,4,"$69,000,000",17250000
Levi Wallace,25445,CB,BUF,64.7,68.3,480,54.0,2020,393,Levi Wallace,2020,24,1,"$750,000",750000
Terrance Mitchell,8888,CB,CLV,65.3,68.2,796,55.0,2020,846,Terrance Mitchell,2020,27,3,"$10,000,000",3333333
Steven Nelson,9531,CB,PIT,68.6,68.1,605,57.0,2020,641,Steven Nelson,2020,27,3,"$25,500,000",8500000
Marcus Peters,9451,CB,BLT,72.1,67.2,673,58.0,2020,603,Marcus Peters,2020,27,3,"$42,000,000",14000000
Tyrann Mathieu,7850,S,KC,63.1,67.0,748,60.0,2020,660,Tyrann Mathieu,2020,27,3,"$42,000,000",14000000
Kendall Fuller,10718,CB,WAS,65.4,66.7,576,63.0,2020,381,Kendall Fuller,2020,25,4,"$40,000,000",10000000
Joe Haden,5532,CB,PIT,69.6,66.6,523,65.0,2020,559,Joe Haden,2020,31,2,"$22,400,000",11200000
Adrian Phillips,9177,S,NE,62.2,66.2,420,67.0,2020,264,Adrian Phillips,2020,27,2,"$6,000,000",3000000
Anthony Harris,9895,S,MIN,63.6,66.2,620,67.0,2020,270,Anthony Harris,2020,28,1,"$11,441,000",11441000
Kevin Byard,10698,S,TEN,61.5,65.8,735,69.0,2020,590,Kevin Byard,2020,26,5,"$70,500,000",14100000
Duron Harmon,7872,S,DET,64.4,65.3,634,73.0,2020,939,Duron Harmon,2020,29,4,"$17,000,000",4250000
Devin McCourty,5552,S,NE,64.3,65.2,549,75.0,2020,325,Devin McCourty,2020,32,2,"$23,000,000",11500000
Jarrod Wilson,10902,S,JAX,64.7,64.7,439,76.0,2020,548,Jarrod Wilson,2020,25,3,"$7,250,000",2416667
Malcolm Jenkins,4937,S,NO,53.9,64.4,737,80.0,2020,396,Malcolm Jenkins,2020,32,4,"$32,000,000",8000000
Logan Ryan,7864,S,NYG,60.8,64.1,657,82.0,2020,394,Logan Ryan,2020,29,3,"$31,000,000",10333333
Kyle Fuller,8649,CB,CHI,70.2,64.0,684,83.0,2020,389,Kyle Fuller,2020,27,2,"$27,000,000",13500000
Chris Banjo,8419,S,ARZ,63.6,63.6,272,84.0,2020,291,Chris Banjo,2020,30,1,"$1,187,500",1187500
Byron Jones,9460,CB,MIA,61.5,63.6,498,84.0,2020,287,Byron Jones,2020,27,5,"$82,500,000",16500000
Michael Davis,12040,CB,LAC,62.9,63.1,598,86.0,2020,402,Michael Davis,2020,25,1,"$3,259,000",3259000
Quandre Diggs,9633,S,SEA,56.2,63.1,765,86.0,2020,813,Quandre Diggs,2020,27,3,"$18,600,000",6200000
Darius Slay,7817,CB,PHI,63.1,62.9,518,88.0,2020,311,Darius Slay,2020,29,3,"$50,050,000",16683333
Bashaud Breeland,8737,CB,KC,69.4,62.8,574,89.0,2020,276,Bashaud Breeland,2020,28,1,"$3,000,000",3000000
Ricardo Allen,8782,S,ATL,60.1,62.4,412,92.0,2020,819,Ricardo Allen,2020,28,3,"$19,500,000",6500000
Bobby McCain,9578,S,MIA,63.1,62.1,582,93.0,2020,675,Bobby McCain,2020,26,4,"$27,000,000",6750000
Mackensie Alexander,10688,CB,CIN,67.2,60.4,417,99.0,2020,395,Mackensie Alexander,2020,26,1,"$4,000,000",4000000
Eddie Jackson,11867,S,CHI,55.8,59.5,682,106.0,2020,335,Eddie Jackson,2020,27,4,"$58,400,000",14600000
Eric Rowe,9480,S,MIA,64.1,58.9,579,112.0,2020,531,Eric Rowe,2020,28,3,"$16,150,000",5383333
Kenny Vaccaro,7796,S,TEN,60.1,58.7,583,114.0,2020,588,Kenny Vaccaro,2020,29,4,"$24,000,000",6000000
Erik Harris,10346,S,LV,57.9,57.0,439,118.0,2020,533,Erik Harris,2020,29,2,"$5,000,000",2500000
Jayron Kearse,10878,S,DET,58.7,55.7,307,121.0,2020,357,Jayron Kearse,2020,26,1,"$2,000,000",2000000
Jason McCourty,5127,CB,NE,51.8,55.7,421,121.0,2020,549,Jason McCourty,2020,32,2,"$10,000,000",5000000
Nevin Lawson,8768,CB,LV,54.7,55.6,470,123.0,2020,413,Nevin Lawson,2020,28,1,"$1,893,750",1893750
Juston Burris,10752,S,CAR,59.5,55.3,509,124.0,2020,376,Juston Burris,2020,26,2,"$8,000,000",4000000
Patrick Peterson,6157,CB,ARZ,53.1,55.2,695,126.0,2020,1204,Patrick Peterson,2020,28,5,"$70,050,000",14010000
Karl Joseph,10648,S,CLV,49.1,54.7,520,129.0,2020,378,Karl Joseph,2020,26,1,"$2,500,000",2500000
Anthony Brown,10823,CB,DAL,48.3,54.6,304,130.0,2020,267,Anthony Brown,2020,26,3,"$15,500,000",5166667
Tre Flowers,49059,CB,SEA,51.1,54.4,421,131.0,2020,858,Tre Flowers,2020,26,4,"$2,758,729",689682
Darryl Roberts,9680,CB,DET,55.0,54.3,315,132.0,2020,313,Darryl Roberts,2020,29,1,"$2,000,000",2000000
Eric Murray,10740,S,HST,50.4,53.9,539,133.0,2020,338,Eric Murray,2020,26,3,"$18,000,000",6000000
Tre Boston,8763,S,CAR,49.9,53.8,664,134.0,2020,446,Tre Boston,2020,27,3,"$18,000,000",6000000
Buster Skrine,6289,CB,CHI,46.2,52.3,384,138.0,2020,487,Buster Skrine,2020,30,3,"$16,500,000",5500000
Kevin Johnson,9449,CB,CLV,52.6,51.4,420,139.0,2020,384,Kevin Johnson,2020,27,1,"$3,500,000",3500000
Nickell Robey-Coleman,8483,CB,PHI,53.3,51.1,416,140.0,2020,414,Nickell Robey-Coleman,2020,28,1,"$1,350,000",1350000
Dre Kirkpatrick,7023,CB,ARZ,46.1,49.0,509,151.0,2020,332,Dre Kirkpatrick,2020,30,1,"$1,050,000",1050000
Daniel Sorensen,9253,S,KC,56.9,48.4,722,153.0,2020,918,Daniel Sorensen,2020,30,4,"$16,000,000",4000000
Andrew Sendejo,6118,S,CLV,43.2,45.5,630,155.0,2020,266,Andrew Sendejo,2020,32,1,"$2,250,000",2250000
Josh Jones,11816,S,JAX,39.2,43.9,390,156.0,2020,570,Josh Jones,2020,25,2,"$1,380,000",690000
Anthony Harris,9895,S,MIN,92.7,91.1,653,1.0,2019,468,Anthony Harris,2019,27,1,"$3,095,000",3095000
Richard Sherman,6306,CB,SF,90.5,90.3,681,3.0,2019,820,Richard Sherman,2019,30,3,"$27,150,000",9050000
Harrison Smith,7641,S,MIN,91.0,88.4,681,4.0,2019,1148,Harrison Smith,2019,30,5,"$51,250,000",10250000
Quinton Dunbar,10073,CB,WAS,89.5,87.6,368,7.0,2019,1017,Quinton Dunbar,2019,27,3,"$5,700,000",1900000
Jimmie Ward,8665,S,SF,84.5,85.0,628,8.0,2019,558,Jimmie Ward,2019,27,1,"$4,500,000",4500000
Marcus Peters,9451,CB,BLT,86.6,83.9,644,9.0,2019,603,Marcus Peters,2019,26,3,"$42,000,000",14000000
Stephon Gilmore,7016,CB,NE,85.4,82.7,648,11.0,2019,1039,Stephon Gilmore,2019,28,5,"$65,000,000",13000000
Kareem Jackson,5545,S,DEN,79.8,82.3,517,12.0,2019,582,Kareem Jackson,2019,30,3,"$33,000,000",11000000
Devin McCourty,5552,S,NE,88.2,80.8,642,13.0,2019,1343,Devin McCourty,2019,31,5,"$47,500,000",9500000
Steven Nelson,9531,CB,PIT,80.3,80.5,585,14.0,2019,641,Steven Nelson,2019,26,3,"$25,500,000",8500000
K'Waun Williams,9332,CB,SF,77.6,80.3,504,15.0,2019,974,K'Waun Williams,2019,27,3,"$8,850,000",2950000
Brian Poole,11052,CB,NYJ,80.0,79.0,526,18.0,2019,483,Brian Poole,2019,26,1,"$3,000,000",3000000
Kevin Byard,10698,S,TEN,73.0,78.3,867,19.0,2019,590,Kevin Byard,2019,25,5,"$70,500,000",14100000
Micah Hyde,7941,S,BUF,79.4,77.7,658,21.0,2019,998,Micah Hyde,2019,28,5,"$30,500,000",6100000
D.J. Hayden,7793,CB,JAX,77.9,76.9,440,22.0,2019,697,D.J. Hayden,2019,28,3,"$19,000,000",6333333
Tre Boston,8763,S,CAR,90.6,76.4,673,25.0,2019,653,Tre Boston,2019,27,1,"$2,125,000",2125000
Troy Hill,9881,CB,LA,72.7,76.4,328,25.0,2019,657,Troy Hill,2019,27,2,"$3,225,525",1612763
Adrian Amos,9575,S,GB,76.4,75.7,697,28.0,2019,462,Adrian Amos,2019,25,4,"$36,000,000",9000000
Tyrann Mathieu,7850,S,KC,82.0,75.4,817,30.0,2019,660,Tyrann Mathieu,2019,26,3,"$42,000,000",14000000
Nickell Robey-Coleman,8483,CB,LA,74.1,74.5,525,32.0,2019,804,Nickell Robey-Coleman,2019,27,3,"$15,675,000",5225000
Duron Harmon,7872,S,NE,75.9,74.4,484,34.0,2019,939,Duron Harmon,2019,28,4,"$17,000,000",4250000
Jordan Poyer,8000,S,BUF,70.2,74.0,660,36.0,2019,965,Jordan Poyer,2019,27,4,"$13,000,000",3250000
Jarrod Wilson,10902,S,JAX,79.6,73.7,628,37.0,2019,548,Jarrod Wilson,2019,24,3,"$7,250,000",2416667
Jonathan Jones,11217,CB,NE,70.7,73.6,480,38.0,2019,564,Jonathan Jones,2019,25,3,"$21,000,000",7000000
Quandre Diggs,9633,S,SEA,77.2,73.4,464,40.0,2019,813,Quandre Diggs,2019,26,3,"$18,600,000",6200000
Darqueze Dennard,8659,CB,CIN,76.0,72.2,307,42.0,2019,506,Darqueze Dennard,2019,27,1,"$4,500,000",4500000
Tavon Wilson,7051,S,DET,74.0,71.9,506,44.0,2019,843,Tavon Wilson,2019,28,2,"$7,000,000",3500000
Tramon Williams,3558,CB,GB,78.0,71.7,549,46.0,2019,854,Tramon Williams,2019,36,2,"$10,000,000",5000000
Maurice Canady,10843,CB,NYJ,70.6,71.5,264,47.0,2019,608,Maurice Canady,2019,25,1,"$720,000",720000
Joe Haden,5532,CB,PIT,71.3,70.3,613,56.0,2019,559,Joe Haden,2019,30,2,"$22,400,000",11200000
Desmond Trufant,7803,CB,ATL,70.3,70.2,302,57.0,2019,930,Desmond Trufant,2019,28,5,"$68,750,000",13750000
Antoine Bethea,3152,S,NYG,62.4,69.3,657,65.0,2019,469,Antoine Bethea,2019,34,2,"$6,500,000",3250000
Malcolm Jenkins,4937,S,PHI,67.9,69.2,712,67.0,2019,1184,Malcolm Jenkins,2019,31,4,"$35,000,000",8750000
Landon Collins,9466,S,WAS,60.6,69.2,608,67.0,2019,596,Landon Collins,2019,25,6,"$84,000,000",14000000
Eric Weddle,3653,S,LA,70.5,69.0,620,70.0,2019,532,Eric Weddle,2019,34,2,"$10,502,050",5251025
Patrick Peterson,6157,CB,ARZ,64.3,68.6,449,72.0,2019,1204,Patrick Peterson,2019,27,5,"$70,050,000",14010000
Jeff Heath,8396,S,DAL,68.9,67.9,474,75.0,2019,1158,Jeff Heath,2019,27,4,"$7,671,000",1917750
Prince Amukamara,6171,CB,CHI,69.6,67.5,567,76.0,2019,811,Prince Amukamara,2019,29,3,"$27,000,000",9000000
Rodney McLeod,7271,S,PHI,71.9,67.2,711,77.0,2019,1223,Rodney McLeod,2019,28,5,"$35,000,000",7000000
Mike Hilton,10898,CB,PIT,73.0,67.1,438,78.0,2019,612,Mike Hilton,2019,24,1,"$645,000",645000
Eddie Jackson,11867,S,CHI,66.1,67.0,660,79.0,2019,941,Eddie Jackson,2019,26,4,"$3,065,797",766449
Erik Harris,10346,S,LV,66.7,66.7,558,81.0,2019,533,Erik Harris,2019,28,2,"$5,000,000",2500000
Brandon Carr,4454,CB,BLT,66.0,66.4,537,82.0,2019,895,Brandon Carr,2019,32,4,"$23,500,000",5875000
Jaquiski Tartt,9479,S,SF,64.7,65.1,543,89.0,2019,740,Jaquiski Tartt,2019,27,2,"$13,000,000",6500000
Adrian Colbert,11983,S,MIA,64.7,64.9,227,90.0,2019,463,Adrian Colbert,2019,25,1,"$645,000",645000
Bradley Roby,8666,CB,HST,65.2,64.0,549,95.0,2019,480,Bradley Roby,2019,26,1,"$10,000,000",10000000
Bobby McCain,9578,S,MIA,69.6,63.6,301,97.0,2019,675,Bobby McCain,2019,25,4,"$27,000,000",6750000
Logan Ryan,7864,CB,TEN,60.0,63.0,867,101.0,2019,989,Logan Ryan,2019,28,3,"$30,000,000",10000000
Bradley McDougald,8220,S,SEA,62.6,62.8,689,102.0,2019,676,Bradley McDougald,2019,28,3,"$13,500,000",4500000
Andrew Adams,11240,S,TB,63.6,62.7,428,103.0,2019,466,Andrew Adams,2019,26,1,"$920,000",920000
Kyle Fuller,8649,CB,CHI,58.7,62.5,668,105.0,2019,775,Kyle Fuller,2019,27,4,"$56,000,000",14000000
Daryl Worley,10711,CB,LV,62.6,62.4,580,107.0,2019,508,Daryl Worley,2019,24,1,"$3,095,000",3095000
Kenny Vaccaro,7796,S,TEN,53.5,60.9,841,110.0,2019,588,Kenny Vaccaro,2019,28,4,"$24,000,000",6000000
Justin Coleman,9892,CB,DET,58.8,60.5,628,114.0,2019,576,Justin Coleman,2019,25,4,"$36,000,000",9000000
Buster Skrine,6289,CB,CHI,59.1,59.8,520,116.0,2019,487,Buster Skrine,2019,29,3,"$16,500,000",5500000
Daniel Sorensen,9253,S,KC,61.6,59.4,554,118.0,2019,918,Daniel Sorensen,2019,29,4,"$16,000,000",4000000
Kevin Peterson,11302,CB,ARZ,61.3,59.2,187,119.0,2019,592,Kevin Peterson,2019,24,1,"$570,000",570000
Eric Rowe,9480,CB,MIA,60.2,58.9,604,120.0,2019,531,Eric Rowe,2019,27,3,"$16,150,000",5383333
Pierre Desir,8762,CB,IND,57.9,58.8,450,121.0,2019,625,Pierre Desir,2019,28,3,"$22,500,000",7500000
