player,player_id,position,team_name,grades_offense,pass_plays,rank,Year
Cooper Kupp,11824,WR,LA,93.0,826,1.0,2021
Davante Adams,8688,WR,GB,92.7,618,2.0,2021
Deebo Samuel,48274,WR,SF,90.2,572,3.0,2021
Justin Jefferson,61398,WR,MIN,90.1,662,4.0,2021
Deonte Harty,91470,WR,NO,87.8,223,5.0,2021
Antonio Brown,5718,WR,TB,87.4,202,6.0,2021
A.J. Brown,48327,WR,TEN,86.3,393,7.0,2021
Tyreek Hill,10799,WR,KC,86.0,759,8.0,2021
Ja'Marr Chase,84270,WR,CIN,85.3,787,9.0,2021
CeeDee Lamb,61570,WR,DAL,84.1,635,10.0,2021
Tee Higgins,61211,WR,CIN,83.4,676,11.0,2021
Gabriel Davis,55410,WR,BUF,81.5,417,12.0,2021
Chris Godwin,11839,WR,TB,81.3,584,13.0,2021
Stefon Diggs,9579,WR,BUF,81.0,748,14.0,2021
Tyler Lockett,9502,WR,SEA,81.0,530,14.0,2021
D.K. Metcalf,47864,WR,SEA,80.9,530,16.0,2021
Amon-Ra St. Brown,84470,WR,DET,79.9,552,17.0,2021
DeAndre Hopkins,7808,WR,ARZ,79.8,343,18.0,2021
Hunter Renfrow,47509,WR,LV,78.8,623,19.0,2021
Terry McLaurin,48229,WR,WAS,78.3,621,20.0,2021
Jaylen Waddle,84088,WR,MIA,78.3,622,20.0,2021
Michael Pittman Jr.,29049,WR,IND,78.0,602,22.0,2021
Kendrick Bourne,12270,WR,NE,77.8,464,23.0,2021
DeVonta Smith,61100,WR,PHI,77.7,599,24.0,2021
Mike Williams,11762,WR,LAC,77.6,620,25.0,2021
Keenan Allen,7857,WR,LAC,77.5,689,26.0,2021
Brandin Cooks,8655,WR,HST,77.4,567,27.0,2021
D.J. Moore,48267,WR,CAR,76.9,653,28.0,2021
Julio Jones,6158,WR,TEN,76.5,279,29.0,2021
Brandon Aiyuk,84109,WR,SF,75.9,593,30.0,2021
Robert Woods,7822,WR,LA,75.7,340,31.0,2021
Mike Evans,8642,WR,TB,75.1,747,32.0,2021
Odell Beckham Jr.,8647,WR,LA,74.8,553,33.0,2021
Jakobi Meyers,47468,WR,NE,74.7,615,34.0,2021
Darnell Mooney,48236,WR,CHI,74.7,651,34.0,2021
Russell Gage,44771,WR,ATL,74.7,407,34.0,2021
Adam Thielen,8288,WR,MIN,74.6,474,37.0,2021
Henry Ruggs III,61102,WR,LV,73.4,231,38.0,2021
Michael Gallup,26075,WR,DAL,73.4,350,38.0,2021
Diontae Johnson,33441,WR,PIT,73.2,701,40.0,2021
Amari Cooper,9437,WR,DAL,73.0,616,41.0,2021
DeVante Parker,9447,WR,MIA,72.8,370,42.0,2021
Kadarius Toney,61245,WR,NYG,72.8,218,42.0,2021
Christian Kirk,47546,WR,ARZ,72.1,613,44.0,2021
Laquon Treadwell,10657,WR,JAX,71.9,310,45.0,2021
Cedrick Wilson,48170,WR,DAL,71.7,428,46.0,2021
Courtland Sutton,48164,WR,DEN,71.2,574,47.0,2021
Elijah Moore,84302,WR,NYJ,71.2,329,47.0,2021
Tim Patrick,12087,WR,DEN,71.2,527,47.0,2021
Tyler Boyd,10689,WR,CIN,70.8,719,50.0,2021
Rondale Moore,62890,WR,ARZ,70.7,293,51.0,2021
Zay Jones,11792,WR,LV,70.6,476,52.0,2021
Mecole Hardman,42683,WR,KC,70.2,522,53.0,2021
Randall Cobb,6216,WR,GB,70.1,292,54.0,2021
T.Y. Hilton,7092,WR,IND,70.1,238,54.0,2021
Marquez Callaway,42295,WR,NO,69.3,481,56.0,2021
Corey Davis,11760,WR,NYJ,68.8,301,57.0,2021
N'Keal Harry,48297,WR,NE,68.7,153,58.0,2021
Jerry Jeudy,61103,WR,DEN,68.7,271,58.0,2021
Marquise Brown,61568,WR,BLT,68.6,657,60.0,2021
Marvin Jones Jr.,7158,WR,JAX,68.3,667,61.0,2021
Cole Beasley,7330,WR,BUF,68.3,569,61.0,2021
Kenny Golladay,11851,WR,NYG,68.3,449,61.0,2021
Quez Watkins,61664,WR,PHI,68.2,481,64.0,2021
Nick Westbrook-Ikhine,47861,WR,TEN,68.0,368,65.0,2021
A.J. Green,6156,WR,ARZ,67.8,593,66.0,2021
Chase Claypool,42312,WR,PIT,67.2,567,67.0,2021
Allen Robinson II,8696,WR,CHI,66.9,386,68.0,2021
Kendall Hinton,34045,WR,DEN,66.5,169,69.0,2021
Emmanuel Sanders,5606,WR,BUF,66.4,566,70.0,2021
Jarvis Landry,8698,WR,CLV,66.3,341,71.0,2021
Sammy Watkins,8639,WR,BLT,66.3,287,71.0,2021
Jauan Jennings,48027,WR,SF,66.2,265,73.0,2021
Marquez Valdes-Scantling,47809,WR,GB,66.1,325,74.0,2021
Josh Reynolds,11872,WR,DET,65.9,291,75.0,2021
Donovan Peoples-Jones,61439,WR,CLV,65.7,434,76.0,2021
Nico Collins,61441,WR,HST,65.6,383,77.0,2021
Byron Pringle,42345,WR,KC,65.2,540,78.0,2021
K.J. Osborn,23503,WR,MIN,64.9,537,79.0,2021
Jamison Crowder,9538,WR,NYJ,64.9,418,79.0,2021
Rashod Bateman,84296,WR,BLT,64.9,432,79.0,2021
Nelson Agholor,9453,WR,NE,64.8,474,82.0,2021
Allen Lazard,48135,WR,GB,64.7,488,83.0,2021
Sterling Shepard,10674,WR,NYG,64.6,236,84.0,2021
Calvin Ridley,48262,WR,ATL,64.2,209,85.0,2021
Brandon Zylstra,66438,WR,CAR,63.8,192,86.0,2021
Laviska Shenault Jr.,61220,WR,JAX,63.7,490,87.0,2021
DeAndre Carter,9859,WR,WAS,63.7,281,87.0,2021
Olamide Zaccheaus,44920,WR,ATL,63.4,400,89.0,2021
Danny Amendola,4717,WR,HST,63.1,163,90.0,2021
Mohamed Sanu,7084,WR,SF,63.0,185,91.0,2021
Bryan Edwards,28486,WR,LV,62.9,585,92.0,2021
Tre'Quan Smith,48228,WR,NO,62.7,323,93.0,2021
Josh Palmer,62979,WR,LAC,62.6,314,94.0,2021
Parris Campbell,47940,WR,IND,62.5,130,95.0,2021
Marquise Goodwin,7859,WR,CHI,62.5,257,95.0,2021
Mike Thomas,10840,WR,CIN,62.3,83,97.0,2021
Keelan Cole,51593,WR,NYJ,61.3,367,98.0,2021
Robby Anderson,11254,WR,CAR,60.6,652,99.0,2021
Kalif Raymond,11028,WR,DET,60.5,497,100.0,2021
Chris Conley,9509,WR,HST,60.5,364,100.0,2021
Tavon Austin,7789,WR,JAX,60.2,213,102.0,2021
Albert Wilson,8943,WR,MIA,59.3,239,103.0,2021
Van Jefferson,47447,WR,LA,58.5,730,104.0,2021
D'Wayne Eskridge,29573,WR,SEA,58.3,112,105.0,2021
Mack Hollins,11873,WR,MIA,58.1,230,106.0,2021
Adam Humphries,10075,WR,WAS,58.1,468,106.0,2021
Ray-Ray McCloud III,47895,WR,PIT,58.0,378,108.0,2021
Anthony Schwartz,84135,WR,CLV,57.4,169,109.0,2021
Jalen Guyton,34164,WR,LAC,57.4,461,109.0,2021
Chester Rogers,10918,WR,TEN,57.0,341,111.0,2021
Devin Duvernay,40006,WR,BLT,55.7,406,112.0,2021
Dyami Brown,77986,WR,WAS,55.5,213,113.0,2021
Jalen Reagor,61697,WR,PHI,55.1,515,114.0,2021
Greg Ward,12258,WR,PHI,54.9,154,115.0,2021
Rashard Higgins,10806,WR,CLV,54.7,313,116.0,2021
Tajae Sharpe,10774,WR,ATL,54.4,341,117.0,2021
Tyler Johnson,48054,WR,TB,53.9,477,118.0,2021
Damiere Byrd,9964,WR,CHI,53.8,412,119.0,2021
Terrace Marshall Jr.,84271,WR,CAR,53.3,291,120.0,2021
Dede Westbrook,11865,WR,MIN,53.1,173,121.0,2021
James Washington,47792,WR,PIT,52.9,378,122.0,2021
Darius Slayton,25578,WR,NYG,52.8,382,123.0,2021
Zach Pascal,12303,WR,IND,52.7,532,124.0,2021
Demarcus Robinson,10760,WR,KC,51.9,609,125.0,2021
Ty Montgomery,9527,WR,NO,51.4,189,126.0,2021
Freddie Swain,26448,WR,SEA,50.3,396,127.0,2021
Trinity Benson,94356,WR,DET,46.9,191,128.0,2021
Davante Adams,8688,WR,GB,92.0,578,1.0,2020
Justin Jefferson,61398,WR,MIN,90.4,564,2.0,2020
A.J. Brown,48327,WR,TEN,90.4,457,2.0,2020
Stefon Diggs,9579,WR,BUF,90.2,794,4.0,2020
Allen Robinson II,8696,WR,CHI,88.3,656,5.0,2020
Adam Thielen,8288,WR,MIN,87.4,536,6.0,2020
DeAndre Hopkins,7808,WR,ARZ,87.1,664,7.0,2020
Julio Jones,6158,WR,ATL,86.3,314,8.0,2020
Will Fuller V,10655,WR,HST,86.2,406,9.0,2020
Corey Davis,11760,WR,TEN,85.3,418,10.0,2020
Keenan Allen,7857,WR,LAC,84.9,555,11.0,2020
Calvin Ridley,48262,WR,ATL,84.9,594,11.0,2020
Jarvis Landry,8698,WR,CLV,84.7,505,13.0,2020
Tyreek Hill,10799,WR,KC,84.5,763,14.0,2020
D.K. Metcalf,47864,WR,SEA,82.5,706,15.0,2020
Antonio Brown,5718,WR,TB,82.2,314,16.0,2020
Cole Beasley,7330,WR,BUF,81.7,616,17.0,2020
Cooper Kupp,11824,WR,LA,81.6,567,18.0,2020
Brandin Cooks,8655,WR,HST,81.1,584,19.0,2020
Brandon Aiyuk,84109,WR,SF,80.1,455,20.0,2020
Deebo Samuel,48274,WR,SF,79.8,180,21.0,2020
Michael Thomas,10681,WR,NO,79.6,278,22.0,2020
Sterling Shepard,10674,WR,NYG,79.6,395,22.0,2020
D.J. Moore,48267,WR,CAR,79.1,568,24.0,2020
Jakobi Meyers,47468,WR,NE,78.6,348,25.0,2020
Terry McLaurin,48229,WR,WAS,78.5,679,26.0,2020
Tyron Johnson,34427,WR,LAC,78.4,171,27.0,2020
Curtis Samuel,11795,WR,CAR,77.1,465,28.0,2020
Tyler Lockett,9502,WR,SEA,76.5,700,29.0,2020
DeVante Parker,9447,WR,MIA,76.4,484,30.0,2020
Russell Gage,44771,WR,ATL,76.4,551,30.0,2020
Chris Godwin,11839,WR,TB,76.0,601,32.0,2020
Amari Cooper,9437,WR,DAL,75.9,638,33.0,2020
T.Y. Hilton,7092,WR,IND,75.9,504,33.0,2020
Tee Higgins,61211,WR,CIN,75.9,527,33.0,2020
Tyler Boyd,10689,WR,CIN,75.8,537,36.0,2020
Chase Claypool,42312,WR,PIT,75.5,532,37.0,2020
Jamison Crowder,9538,WR,NYJ,75.3,414,38.0,2020
Robby Anderson,11254,WR,CAR,75.1,583,39.0,2020
Danny Amendola,4717,WR,DET,74.9,355,40.0,2020
Mike Evans,8642,WR,TB,74.9,739,40.0,2020
Hunter Renfrow,47509,WR,LV,74.8,401,42.0,2020
Marquise Brown,61568,WR,BLT,74.6,544,43.0,2020
Tim Patrick,12087,WR,DEN,74.5,456,44.0,2020
Emmanuel Sanders,5606,WR,NO,74.4,440,45.0,2020
Nelson Agholor,9453,WR,LV,73.8,466,46.0,2020
Marvin Jones Jr.,7158,WR,DET,73.6,667,47.0,2020
Rashard Higgins,10806,WR,CLV,73.4,377,48.0,2020
Mike Williams,11762,WR,LAC,72.7,514,49.0,2020
Allen Lazard,48135,WR,GB,72.4,353,50.0,2020
Kendrick Bourne,12270,WR,SF,72.0,476,51.0,2020
Randall Cobb,6216,WR,HST,71.6,278,52.0,2020
CeeDee Lamb,61570,WR,DAL,71.6,541,52.0,2020
Laviska Shenault Jr.,61220,WR,JAX,71.5,404,54.0,2020
Robert Woods,7822,WR,LA,71.4,674,55.0,2020
D.J. Chark Jr.,47702,WR,JAX,71.3,497,56.0,2020
Travis Fulgham,48023,WR,PHI,71.2,387,57.0,2020
Jakeem Grant,10820,WR,MIA,70.9,247,58.0,2020
Diontae Johnson,33441,WR,PIT,70.4,621,59.0,2020
Chris Conley,9509,WR,JAX,70.1,315,60.0,2020
JuJu Smith-Schuster,11817,WR,PIT,70.0,760,61.0,2020
Adam Humphries,10075,WR,TEN,69.9,168,62.0,2020
Van Jefferson,47447,WR,LA,69.8,188,63.0,2020
Willie Snead IV,8999,WR,BLT,69.5,357,64.0,2020
Denzel Mims,47800,WR,NYJ,69.4,264,65.0,2020
Mecole Hardman,42683,WR,KC,69.0,434,66.0,2020
Lynn Bowden Jr.,61361,WR,MIA,68.8,226,67.0,2020
Julian Edelman,5156,WR,NE,68.8,176,67.0,2020
Darnell Mooney,48236,WR,CHI,68.7,541,69.0,2020
Olamide Zaccheaus,44920,WR,ATL,68.6,184,70.0,2020
Keke Coutee,47698,WR,HST,68.2,231,71.0,2020
Scotty Miller,47481,WR,TB,68.2,372,71.0,2020
Marquez Callaway,42295,WR,NO,68.0,163,73.0,2020
Darius Slayton,25578,WR,NYG,67.8,583,74.0,2020
Donovan Peoples-Jones,61439,WR,CLV,67.7,196,75.0,2020
C.J. Board,12088,WR,NYG,67.4,116,76.0,2020
Olabisi Johnson,47882,WR,MIN,67.0,148,77.0,2020
Gabriel Davis,55410,WR,BUF,66.4,563,78.0,2020
Michael Gallup,26075,WR,DAL,66.3,655,79.0,2020
A.J. Green,6156,WR,CIN,66.3,538,79.0,2020
Golden Tate,5585,WR,NYG,66.0,318,81.0,2020
David Moore,11981,WR,SEA,66.0,334,81.0,2020
John Brown,8726,WR,BUF,65.7,442,83.0,2020
Mohamed Sanu,7084,WR,DET,65.5,197,84.0,2020
Josh Reynolds,11872,WR,LA,65.5,565,84.0,2020
Jerry Jeudy,61103,WR,DEN,65.2,545,86.0,2020
Quintez Cephus,29614,WR,DET,64.8,231,87.0,2020
Richie James Jr.,28991,WR,SF,64.5,248,88.0,2020
Sammy Watkins,8639,WR,KC,64.5,382,88.0,2020
Keelan Cole,51593,WR,JAX,64.4,601,90.0,2020
Jalen Reagor,61697,WR,PHI,64.0,322,91.0,2020
James Washington,47792,WR,PIT,63.8,346,92.0,2020
Breshad Perriman,9459,WR,NYJ,63.6,393,93.0,2020
Marcus Johnson,11074,WR,IND,63.0,188,94.0,2020
Zay Jones,11792,WR,LV,62.9,172,95.0,2020
Zach Pascal,12303,WR,IND,62.9,550,95.0,2020
Michael Pittman Jr.,29049,WR,IND,62.8,431,97.0,2020
Cam Sims,47908,WR,WAS,62.5,465,98.0,2020
Christian Kirk,47546,WR,ARZ,62.3,540,99.0,2020
Tre'Quan Smith,48228,WR,NO,61.9,439,100.0,2020
Miles Boykin,48209,WR,BLT,61.7,324,101.0,2020
Damiere Byrd,9964,WR,NE,61.4,496,102.0,2020
Isaiah Ford,11991,WR,MIA,61.1,275,103.0,2020
Cedrick Wilson,48170,WR,DAL,61.1,160,103.0,2020
Demarcus Robinson,10760,WR,KC,60.7,623,105.0,2020
Marquez Valdes-Scantling,47809,WR,GB,60.6,559,106.0,2020
Devin Duvernay,40006,WR,BLT,60.3,205,107.0,2020
Larry Fitzgerald,1724,WR,ARZ,59.6,475,108.0,2020
Equanimeous St. Brown,47967,WR,GB,59.5,132,109.0,2020
Greg Ward,12258,WR,PHI,58.8,544,110.0,2020
Cameron Batson,47669,WR,TEN,58.7,168,111.0,2020
DaeSean Hamilton,45416,WR,DEN,58.4,325,112.0,2020
Anthony Miller,48160,WR,CHI,58.2,460,113.0,2020
N'Keal Harry,48297,WR,NE,57.8,334,114.0,2020
Steven Sims,48341,WR,WAS,57.6,317,115.0,2020
Isaiah Wright,40113,WR,WAS,57.5,255,116.0,2020
Marvin Hall,11440,WR,CLV,57.4,258,117.0,2020
Chad Beebe,21528,WR,MIN,57.2,236,118.0,2020
Andy Isabella,47448,WR,ARZ,56.8,222,119.0,2020
K.J. Hamler,61590,WR,DEN,55.9,352,120.0,2020
Freddie Swain,26448,WR,SEA,55.3,257,121.0,2020
Mike Thomas,10840,WR,CIN,55.2,142,122.0,2020
Brandon Zylstra,66438,WR,CAR,54.8,77,123.0,2020
Henry Ruggs III,61102,WR,LV,54.0,367,124.0,2020
Javon Wims,41406,WR,CHI,53.5,183,125.0,2020
Jalen Guyton,34164,WR,LAC,52.2,617,126.0,2020
Jeff Smith,48055,WR,NYJ,52.1,221,127.0,2020
John Hightower,84142,WR,PHI,50.5,250,128.0,2020
Chris Godwin,11839,WR,TB,90.7,634,1.0,2019
Julio Jones,6158,WR,ATL,90.6,610,2.0,2019
Michael Thomas,10681,WR,NO,90.4,677,3.0,2019
Davante Adams,8688,WR,GB,88.0,532,4.0,2019
DeAndre Hopkins,7808,WR,HST,87.8,726,5.0,2019
Mike Evans,8642,WR,TB,85.7,539,6.0,2019
Terry McLaurin,48229,WR,WAS,85.7,485,6.0,2019
Tyreek Hill,10799,WR,KC,84.5,519,8.0,2019
Amari Cooper,9437,WR,DAL,84.2,549,9.0,2019
Courtland Sutton,48164,WR,DEN,83.1,576,10.0,2019
D.J. Moore,48267,WR,CAR,82.2,607,11.0,2019
Robert Woods,7822,WR,LA,82.2,656,11.0,2019
Tyler Lockett,9502,WR,SEA,81.9,697,13.0,2019
A.J. Brown,48327,WR,TEN,81.8,487,14.0,2019
Keenan Allen,7857,WR,LAC,80.8,643,15.0,2019
Allen Robinson II,8696,WR,CHI,80.8,671,15.0,2019
Kenny Golladay,11851,WR,DET,79.9,626,17.0,2019
DeVante Parker,9447,WR,MIA,79.2,675,18.0,2019
Stefon Diggs,9579,WR,MIN,78.3,521,19.0,2019
Jarvis Landry,8698,WR,CLV,78.2,627,20.0,2019
Deebo Samuel,48274,WR,SF,77.5,491,21.0,2019
Emmanuel Sanders,5606,WR,SF,77.0,595,22.0,2019
Sterling Shepard,10674,WR,NYG,75.8,417,23.0,2019
Hunter Renfrow,47509,WR,LV,75.5,303,24.0,2019
Adam Thielen,8288,WR,MIN,75.4,309,25.0,2019
D.J. Chark Jr.,47702,WR,JAX,75.2,639,26.0,2019
Will Fuller V,10655,WR,HST,75.2,410,26.0,2019
T.Y. Hilton,7092,WR,IND,75.1,298,28.0,2019
Calvin Ridley,48262,WR,ATL,74.9,555,29.0,2019
Alshon Jeffery,7048,WR,PHI,74.8,305,30.0,2019
Cooper Kupp,11824,WR,LA,74.6,619,31.0,2019
John Brown,8726,WR,BUF,74.2,625,32.0,2019
Mike Williams,11762,WR,LAC,74.1,567,33.0,2019
Golden Tate,5585,WR,NYG,74.0,453,34.0,2019
Michael Gallup,26075,WR,DAL,74.0,541,34.0,2019
Cole Beasley,7330,WR,BUF,73.8,540,36.0,2019
Zach Pascal,12303,WR,IND,73.7,449,37.0,2019
D.K. Metcalf,47864,WR,SEA,73.4,661,38.0,2019
Greg Ward,12258,WR,PHI,73.1,240,39.0,2019
Jamison Crowder,9538,WR,NYJ,73.0,567,40.0,2019
Tyler Boyd,10689,WR,CIN,73.0,675,40.0,2019
Marvin Jones Jr.,7158,WR,DET,72.9,546,42.0,2019
Marquise Brown,61568,WR,BLT,72.8,405,43.0,2019
Breshad Perriman,9459,WR,TB,72.8,472,43.0,2019
Tajae Sharpe,10774,WR,TEN,72.3,280,45.0,2019
Sammy Watkins,8639,WR,KC,71.6,646,46.0,2019
Danny Amendola,4717,WR,DET,71.5,482,47.0,2019
Adam Humphries,10075,WR,TEN,71.4,296,48.0,2019
Julian Edelman,5156,WR,NE,71.4,697,48.0,2019
Laquon Treadwell,10657,WR,MIN,71.3,86,50.0,2019
Auden Tate,48192,WR,CIN,70.5,437,51.0,2019
Corey Davis,11760,WR,TEN,70.4,505,52.0,2019
Kenny Stills,7926,WR,HST,70.4,490,52.0,2019
Darius Slayton,25578,WR,NYG,70.3,503,54.0,2019
Larry Fitzgerald,1724,WR,ARZ,70.3,619,54.0,2019
Randall Cobb,6216,WR,DAL,69.9,499,56.0,2019
Kendrick Bourne,12270,WR,SF,69.8,341,57.0,2019
Isaiah McKenzie,11927,WR,BUF,69.8,260,57.0,2019
Allen Lazard,48135,WR,GB,69.5,372,59.0,2019
Duke Williams,11366,WR,BUF,69.4,162,60.0,2019
James Washington,47792,WR,PIT,69.3,448,61.0,2019
Odell Beckham Jr.,8647,WR,CLV,68.7,628,62.0,2019
Robby Anderson,11254,WR,NYJ,68.7,615,62.0,2019
Cody Latimer,8691,WR,NYG,68.4,268,64.0,2019
Mecole Hardman,42683,WR,KC,68.1,377,65.0,2019
Brandin Cooks,8655,WR,LA,68.1,483,65.0,2019
Diontae Johnson,33441,WR,PIT,67.9,453,67.0,2019
Preston Williams,38855,WR,MIA,67.7,288,68.0,2019
David Moore,11981,WR,SEA,67.4,246,69.0,2019
Alex Erickson,11107,WR,CIN,67.1,412,70.0,2019
Tim Patrick,12087,WR,DEN,66.7,203,71.0,2019
Keelan Cole,51593,WR,JAX,66.5,275,72.0,2019
Tyrell Williams,10154,WR,LV,66.5,429,72.0,2019
Russell Gage,44771,WR,ATL,66.3,403,74.0,2019
Anthony Miller,48160,WR,CHI,66.0,493,75.0,2019
Josh Reynolds,11872,WR,LA,65.9,290,76.0,2019
Demaryius Thomas,5547,WR,NYJ,65.9,311,76.0,2019
Phillip Dorsett,9462,WR,NE,65.6,412,78.0,2019
Jakobi Meyers,47468,WR,NE,64.7,292,79.0,2019
Damiere Byrd,9964,WR,ARZ,64.4,326,80.0,2019
Kelvin Harmon,47931,WR,WAS,63.9,315,81.0,2019
Justin Watson,66915,WR,TB,63.9,153,81.0,2019
Josh Gordon,7618,WR,SEA,63.7,316,83.0,2019
Olabisi Johnson,47882,WR,MIN,63.7,341,83.0,2019
Seth Roberts,9079,WR,BLT,63.5,323,85.0,2019
Dede Westbrook,11865,WR,JAX,63.5,595,85.0,2019
Tre'Quan Smith,48228,WR,NO,63.3,339,87.0,2019
JuJu Smith-Schuster,11817,WR,PIT,63.1,406,88.0,2019
John Ross,11764,WR,CIN,63.1,275,88.0,2019
Damion Ratley,48182,WR,CLV,62.9,173,90.0,2019
Curtis Samuel,11795,WR,CAR,62.7,672,91.0,2019
Chris Conley,9509,WR,JAX,62.7,629,91.0,2019
Christian Kirk,47546,WR,ARZ,62.5,539,93.0,2019
Vyncint Smith,66957,WR,NYJ,62.4,183,94.0,2019
Albert Wilson,8943,WR,MIA,62.3,338,95.0,2019
Taylor Gabriel,9002,WR,CHI,62.0,314,96.0,2019
Fred Brown,23172,WR,DEN,60.1,48,97.0,2019
Tavon Austin,7789,WR,DAL,59.9,165,98.0,2019
Marcus Johnson,11074,WR,IND,59.8,249,99.0,2019
Paul Richardson Jr.,8680,WR,WAS,59.7,280,100.0,2019
Miles Boykin,48209,WR,BLT,58.9,244,101.0,2019
Keelan Doss,48143,WR,LV,58.6,102,102.0,2019
Mohamed Sanu,7084,WR,NE,58.5,565,103.0,2019
Willie Snead IV,8999,WR,BLT,58.4,388,104.0,2019
Marquez Valdes-Scantling,47809,WR,GB,57.0,361,105.0,2019
Allen Hurns,8931,WR,MIA,57.0,407,105.0,2019
Ted Ginn Jr.,3625,WR,NO,56.7,494,107.0,2019
Dante Pettis,48113,WR,SF,56.4,158,108.0,2019
DaeSean Hamilton,45416,WR,DEN,56.4,421,108.0,2019
Deon Cain,13597,WR,PIT,55.6,211,110.0,2019
Chris Hogan,6468,WR,CAR,54.9,112,111.0,2019
Demarcus Robinson,10760,WR,KC,54.9,596,111.0,2019
J.J. Arcega-Whiteside,35014,WR,PHI,54.6,331,113.0,2019
Geronimo Allison,11141,WR,GB,54.4,496,114.0,2019
Nelson Agholor,9453,WR,PHI,54.4,438,114.0,2019
Trey Quinn,38276,WR,WAS,54.1,315,116.0,2019
Zay Jones,11792,WR,LV,53.7,394,117.0,2019
Rashard Higgins,10806,WR,CLV,53.6,113,118.0,2019
KeeSean Johnson,39587,WR,ARZ,53.5,256,119.0,2019
Keke Coutee,47698,WR,HST,53.1,243,120.0,2019
Javon Wims,41406,WR,CHI,52.0,305,121.0,2019
Christian Blake,47900,WR,ATL,51.3,232,122.0,2019
Chester Rogers,10918,WR,IND,50.5,242,123.0,2019
Austin Carr,12215,WR,NO,50.5,99,123.0,2019
Chris Lacy,29726,WR,DET,50.2,91,125.0,2019
Jarius Wright,7118,WR,CAR,47.8,528,126.0,2019
Travis Benjamin,7100,WR,LAC,46.4,146,127.0,2019
Andre Patton,12043,WR,LAC,45.7,334,128.0,2019
DeAndre Hopkins,7808,WR,HST,92.0,732,1.0,2018
Michael Thomas,10681,WR,NO,91.6,647,2.0,2018
Julio Jones,6158,WR,ATL,90.9,605,3.0,2018
Odell Beckham Jr.,8647,WR,NYG,90.0,489,4.0,2018
Adam Thielen,8288,WR,MIN,89.4,694,5.0,2018
Keenan Allen,7857,WR,LAC,89.3,602,6.0,2018
Tyreek Hill,10799,WR,KC,89.0,703,7.0,2018
Davante Adams,8688,WR,GB,87.8,695,8.0,2018
T.Y. Hilton,7092,WR,IND,87.6,612,9.0,2018
Robert Woods,7822,WR,LA,86.4,763,10.0,2018
A.J. Green,6156,WR,CIN,85.2,313,11.0,2018
Tyler Boyd,10689,WR,CIN,84.5,538,12.0,2018
Mike Evans,8642,WR,TB,84.3,680,13.0,2018
Julian Edelman,5156,WR,NE,82.4,595,14.0,2018
Tyler Lockett,9502,WR,SEA,82.3,523,15.0,2018
JuJu Smith-Schuster,11817,WR,PIT,81.8,728,16.0,2018
Will Fuller V,10655,WR,HST,81.2,250,17.0,2018
Brandin Cooks,8655,WR,LA,81.2,737,17.0,2018
Stefon Diggs,9579,WR,MIN,81.1,627,19.0,2018
Emmanuel Sanders,5606,WR,DEN,81.1,443,19.0,2018
Kenny Golladay,11851,WR,DET,81.0,610,21.0,2018
Doug Baldwin,6615,WR,SEA,80.6,409,22.0,2018
Mike Williams,11762,WR,LAC,80.5,488,23.0,2018
Chris Godwin,11839,WR,TB,80.4,483,24.0,2018
DeSean Jackson,4363,WR,TB,79.4,361,25.0,2018
Antonio Brown,5718,WR,PIT,79.3,716,26.0,2018
Alshon Jeffery,7048,WR,PHI,79.0,580,27.0,2018
Allen Robinson II,8696,WR,CHI,77.7,526,28.0,2018
Cooper Kupp,11824,WR,LA,77.3,271,29.0,2018
Amari Cooper,9437,WR,DAL,76.7,658,30.0,2018
Corey Davis,11760,WR,TEN,76.4,516,31.0,2018
Adam Humphries,10075,WR,TB,75.2,604,32.0,2018
Jarvis Landry,8698,WR,CLV,74.7,647,33.0,2018
Cole Beasley,7330,WR,DAL,74.6,553,34.0,2018
Josh Gordon,7618,WR,NE,73.5,403,35.0,2018
Larry Fitzgerald,1724,WR,ARZ,73.2,561,36.0,2018
Robert Foster,48230,WR,BUF,72.1,282,37.0,2018
Marvin Jones Jr.,7158,WR,DET,71.9,365,38.0,2018
D.J. Moore,48267,WR,CAR,71.8,461,39.0,2018
Mohamed Sanu,7084,WR,ATL,71.6,599,40.0,2018
Curtis Samuel,11795,WR,CAR,71.5,318,41.0,2018
Demaryius Thomas,5547,WR,HST,71.5,495,41.0,2018
Dede Westbrook,11865,WR,JAX,71.3,578,43.0,2018
Sammy Watkins,8639,WR,KC,71.2,394,44.0,2018
Golden Tate,5585,WR,PHI,71.1,468,45.0,2018
Breshad Perriman,9459,WR,CLV,70.9,145,46.0,2018
Jordy Nelson,4350,WR,LV,70.7,557,47.0,2018
Jakeem Grant,10820,WR,MIA,70.5,175,48.0,2018
Christian Kirk,47546,WR,ARZ,70.3,364,49.0,2018
Cody Latimer,8691,WR,NYG,70.2,149,50.0,2018
Taywan Taylor,11827,WR,TEN,70.0,268,51.0,2018
DeVante Parker,9447,WR,MIA,69.2,245,52.0,2018
Taylor Gabriel,9002,WR,CHI,68.8,556,53.0,2018
Calvin Ridley,48262,WR,ATL,68.8,492,53.0,2018
Dante Pettis,48113,WR,SF,68.5,286,55.0,2018
Devin Funchess,9474,WR,CAR,68.4,429,56.0,2018
Bruce Ellington,8741,WR,DET,68.3,189,57.0,2018
Robby Anderson,11254,WR,NYJ,68.3,452,57.0,2018
