player,player_id,position,team_name,grades_offense,snap_counts_block,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Jedrick Wills Jr.,58467,T,CLV,66.1,763,97.0,2021,476,Jedrick Wills Jr.,2021,22,4,"$19,702,914",4925729
Patrick Mekari,46219,T,BLT,66.1,761,97.0,2021,250,Patrick Mekari,2021,24,3,"$15,450,000",5150000
Alejandro Villanueva,9091,T,BLT,65.2,1205,99.0,2021,8,Alejandro Villanueva,2021,32,2,"$14,000,000",7000000
Tyler Biadasz,41178,C,DAL,65.1,1274,100.0,2021,624,Tyler Biadasz,2021,23,4,"$3,789,400",947350
Justin Pugh,7800,G,ARZ,65.0,858,101.0,2021,1244,Justin Pugh,2021,30,5,"$44,775,000",8955000
Andre James,47058,C,LV,64.8,1216,102.0,2021,17,Andre James,2021,23,2,"$8,650,000",4325000
Terence Steele,39461,T,DAL,64.6,912,103.0,2021,611,Terence Steele,2021,23,3,"$2,295,000",765000
Jon Runyan,36661,G,GB,64.6,1109,103.0,2021,491,Jon Runyan,2021,23,4,"$3,469,676",867419
Kevin Dotson,46735,G,PIT,64.5,565,105.0,2021,523,Kevin Dotson,2021,24,4,"$3,953,816",988454
Lloyd Cushenberry III,41924,C,DEN,64.2,1039,106.0,2021,535,Lloyd Cushenberry III,2021,23,4,"$4,655,990",1163998
Justin Britt,8699,C,HST,63.9,671,107.0,2021,196,Justin Britt,2021,29,1,"$3,200,000",3200000
Gabe Jackson,8716,G,SEA,63.6,922,108.0,2021,125,Gabe Jackson,2021,29,3,"$22,575,000",7525000
Erik McCoy,37347,C,NO,63.6,746,108.0,2021,774,Erik McCoy,2021,23,4,"$6,077,748",1519437
Mitch Morse,9482,C,BUF,63.4,1284,110.0,2021,927,Mitch Morse,2021,28,4,"$44,500,000",11125000
Yosh Nijman,60822,T,GB,63.2,590,111.0,2021,1026,Yosh Nijman,2021,25,3,"$1,755,000",585000
Brandon Linder,8728,C,JAX,62.9,552,112.0,2021,1426,Brandon Linder,2021,29,5,"$51,703,000",10340600
Kaleb McGary,46912,T,ATL,62.8,986,113.0,2021,866,Kaleb McGary,2021,26,4,"$10,265,742",2566436
Billy Price,46795,C,NYG,62.3,985,114.0,2021,1068,Billy Price,2021,26,4,"$11,712,491",2928123
Andrew Wylie,12333,T,KC,62.3,737,114.0,2021,19,Andrew Wylie,2021,26,1,"$920,000",920000
Chukwuma Okorafor,46302,T,PIT,62.2,1133,116.0,2021,1110,Chukwuma Okorafor,2021,23,4,"$3,407,364",851841
Ben Bartch,84236,G,JAX,62.1,705,117.0,2021,360,Ben Bartch,2021,22,4,"$4,058,616",1014654
Larry Borom,59879,T,CHI,61.4,633,118.0,2021,217,Larry Borom,2021,22,4,"$3,813,080",953270
Kelvin Beachum,7229,T,ARZ,60.8,1006,119.0,2021,201,Kelvin Beachum,2021,31,2,"$4,000,000",2000000
Michael Deiter,38554,C,MIA,60.6,546,120.0,2021,916,Michael Deiter,2021,24,4,"$3,814,248",953562
Jawaan Taylor,41665,T,JAX,60.4,1084,121.0,2021,823,Jawaan Taylor,2021,23,4,"$7,823,899",1955975
Nate Solder,6169,T,NYG,60.3,927,122.0,2021,1299,Nate Solder,2021,32,4,"$62,000,000",15500000
Garrett Bradbury,46013,C,MIN,60.2,883,123.0,2021,780,Garrett Bradbury,2021,25,4,"$12,882,870",3220718
