position,player_name,team_name,grades_offense,snap_counts_block,rank,Year,player_name,year_signed,age,average/year,sim_sal,diff
G,Quenton Nelson,IND,69.1,767,71.0,2021,Quenton Nelson,2021,25,5972227,4058542.1666666665,1913684.8333333335
C,Ryan Jensen,TB,68.7,1296,72.0,2021,Ryan Jensen,2021,29,10500000,4100208.8333333335,6399791.166666666
G,Ezra Cleveland,MIN,68.6,1140,73.0,2021,Ezra Cleveland,2021,23,1384302,4141875.5,-2757573.5
G,Dalton Risner,DEN,68.5,832,74.0,2021,Dalton Risner,2021,26,1785571,4019538.9166666665,-2233967.9166666665
G,Halapoulivaati Vaitai,DET,68.4,953,75.0,2021,Halapoulivaati Vaitai,2021,27,9000000,4778538.916666667,4221461.083333333
T,Eric Fisher,IND,68.2,874,76.0,2021,Eric Fisher,2021,30,8380000,5893884.0,2486116.0
G,Trai Turner,PIT,68.1,1150,77.0,2021,Trai Turner,2021,28,3000000,5984833.166666667,-2984833.166666667
G,Greg Van Roten,NYJ,68.1,700,77.0,2021,Greg Van Roten,2021,31,3500000,5586852.833333333,-2086852.833333333
G,David Edwards,LA,68.0,1365,79.0,2021,David Edwards,2021,23,696130,5858019.5,-5161889.5
G,Rodger Saffold,TEN,67.6,906,80.0,2021,Rodger Saffold,2021,32,11000000,6367661.0,4632339.0
T,D.J. Humphries,ARZ,67.5,1138,81.0,2021,D.J. Humphries,2021,27,14583333,6468863.416666667,8114469.583333333
G,Robert Hunt,MIA,67.4,1153,82.0,2021,Robert Hunt,2021,24,2016435,6302196.75,-4285761.75
G,Quinn Meinerz,DEN,67.4,623,82.0,2021,Quinn Meinerz,2021,22,1196463,5978863.416666667,-4782400.416666667
T,Cam Robinson,JAX,67.4,856,82.0,2021,Cam Robinson,2021,25,13754000,5805530.083333333,7948469.916666667
T,Riley Reiff,CIN,67.3,711,85.0,2021,Riley Reiff,2021,32,7500000,5844801.5,1655198.5
C,Ethan Pocic,SEA,67.3,600,85.0,2021,Ethan Pocic,2021,25,3000000,5876374.0,-2876374.0
T,Billy Turner,GB,67.1,866,87.0,2021,Billy Turner,2021,29,7000000,5626374.0,1373626.0
T,Brandon Shell,SEA,67.0,550,88.0,2021,Brandon Shell,2021,29,4500000,5519429.583333333,-1019429.583333333
C,Evan Brown,DET,66.8,755,89.0,2021,Evan Brown,2021,24,920000,5445351.666666667,-4525351.666666667
G,Alijah Vera-Tucker,NYJ,66.8,1027,89.0,2021,Alijah Vera-Tucker,2021,22,3971257,5412678.333333333,-1441421.333333333
G,Michael Schofield III,LAC,66.8,907,89.0,2021,Michael Schofield III,2021,30,1075000,5120678.333333333,-4045678.333333333
G,Daryl Williams,BUF,66.8,1292,89.0,2021,Daryl Williams,2021,28,8000000,4906155.75,3093844.25
G,Andrew Norwell,JAX,66.7,1078,93.0,2021,Andrew Norwell,2021,29,13300000,5085322.416666667,8214677.583333333
G,Quinton Spain,CIN,66.4,1252,94.0,2021,Quinton Spain,2021,29,1127500,5085322.416666667,-3957822.416666667
G,Ben Powers,BLT,66.3,844,95.0,2021,Ben Powers,2021,24,804383,4789268.25,-3984885.25
G,Cody Whitehair,CHI,66.2,1121,96.0,2021,Cody Whitehair,2021,29,10250000,5458851.583333333,4791148.416666667
T,Jedrick Wills Jr.,CLV,66.1,763,97.0,2021,Jedrick Wills Jr.,2021,22,4925729,5488330.166666667,-562601.166666667
T,Patrick Mekari,BLT,66.1,761,97.0,2021,Patrick Mekari,2021,24,5150000,5462496.833333333,-312496.833333333
T,Alejandro Villanueva,BLT,65.2,1205,99.0,2021,Alejandro Villanueva,2021,32,7000000,4868115.083333333,2131884.916666667
C,Tyler Biadasz,DAL,65.1,1274,100.0,2021,Tyler Biadasz,2021,23,947350,3842152.9166666665,-2894802.9166666665
G,Justin Pugh,ARZ,65.0,858,101.0,2021,Justin Pugh,2021,30,8955000,3845194.4166666665,5109805.583333334
C,Andre James,LV,64.8,1216,102.0,2021,Andre James,2021,23,4325000,4044829.1666666665,280170.8333333335
T,Terence Steele,DAL,64.6,912,103.0,2021,Terence Steele,2021,23,765000,3817745.8333333335,-3052745.8333333335
G,Jon Runyan,GB,64.6,1109,103.0,2021,Jon Runyan,2021,23,867419,3533888.1666666665,-2666469.1666666665
G,Kevin Dotson,PIT,64.5,565,105.0,2021,Kevin Dotson,2021,24,988454,4031804.8333333335,-3043350.8333333335
C,Lloyd Cushenberry III,DEN,64.2,1039,106.0,2021,Lloyd Cushenberry III,2021,23,1163998,3497221.5,-2333223.5
C,Justin Britt,HST,63.9,671,107.0,2021,Justin Britt,2021,29,3200000,4279992.333333333,-1079992.333333333
G,Gabe Jackson,SEA,63.6,922,108.0,2021,Gabe Jackson,2021,29,7525000,3747612.0,3777388.0
C,Erik McCoy,NO,63.6,746,108.0,2021,Erik McCoy,2021,23,1519437,3631205.5833333335,-2111768.5833333335
C,Mitch Morse,BUF,63.4,1284,110.0,2021,Mitch Morse,2021,28,11125000,3644122.25,7480877.75
T,Yosh Nijman,GB,63.2,590,111.0,2021,Yosh Nijman,2021,25,585000,3642824.0833333335,-3057824.0833333335
C,Brandon Linder,JAX,62.9,552,112.0,2021,Brandon Linder,2021,29,10340600,3645007.4166666665,6695592.583333334
T,Kaleb McGary,ATL,62.8,986,113.0,2021,Kaleb McGary,2021,26,2566436,3627446.75,-1061010.75
C,Billy Price,NYG,62.3,985,114.0,2021,Billy Price,2021,26,2928123,3527446.75,-599323.75
T,Andrew Wylie,KC,62.3,737,114.0,2021,Andrew Wylie,2021,26,920000,2979826.9166666665,-2059826.9166666665
T,Chukwuma Okorafor,PIT,62.2,1133,116.0,2021,Chukwuma Okorafor,2021,23,851841,3016205.0833333335,-2164364.0833333335
G,Ben Bartch,JAX,62.1,705,117.0,2021,Ben Bartch,2021,22,1014654,3380788.4166666665,-2366134.4166666665
T,Larry Borom,CHI,61.4,633,118.0,2021,Larry Borom,2021,22,953270,3600431.5833333335,-2647161.5833333335
T,Kelvin Beachum,ARZ,60.8,1006,119.0,2021,Kelvin Beachum,2021,31,2000000,2802256.5833333335,-802256.5833333335
C,Michael Deiter,MIA,60.6,546,120.0,2021,Michael Deiter,2021,24,953562,2766136.9166666665,-1812574.9166666665
T,Jawaan Taylor,JAX,60.4,1084,121.0,2021,Jawaan Taylor,2021,23,1955975,2600189.0,-644214.0
T,Nate Solder,NYG,60.3,927,122.0,2021,Nate Solder,2021,32,15500000,2624245.1666666665,12875754.833333334
C,Garrett Bradbury,MIN,60.2,883,123.0,2021,Garrett Bradbury,2021,25,3220718,2658843.5833333335,561874.4166666665
T,Storm Norton,LAC,60.2,1078,123.0,2021,Storm Norton,2021,26,762500,2838439.1666666665,-2075939.1666666665
G,Ike Boettger,BUF,59.8,636,125.0,2021,Ike Boettger,2021,26,2133000,2846039.6666666665,-713039.6666666665
T,Geron Christian Sr.,HST,59.5,588,126.0,2021,Geron Christian Sr.,2021,24,936748,3512706.3333333335,-2575958.3333333335
T,Spencer Brown,BUF,59.3,846,127.0,2021,Spencer Brown,2021,23,1208674,3535370.75,-2326696.75
G,Max Scharping,HST,59.3,689,127.0,2021,Max Scharping,2021,24,1267022,3443206.1666666665,-2176184.1666666665
G,Cesar Ruiz,NO,57.6,1091,129.0,2021,Cesar Ruiz,2021,22,3169801,3193206.1666666665,-23405.16666666651
T,Dan Moore Jr.,PIT,57.5,1147,130.0,2021,Dan Moore Jr.,2021,22,1044476,2983563.0,-1939087.0
C,Rodney Hudson,ARZ,57.4,854,132.0,2021,Rodney Hudson,2021,31,10000000,3003473.5,6996526.5
G,Damien Lewis,SEA,57.1,696,133.0,2021,Damien Lewis,2021,24,1225535,3242390.1666666665,-2016855.1666666665
G,Daniel Brunskill,SF,57.1,1259,133.0,2021,Daniel Brunskill,2021,27,850000,3249647.3333333335,-2399647.3333333335
C,Ryan Kelly,IND,56.9,907,135.0,2021,Ryan Kelly,2021,28,12500000,3304148.3333333335,9195851.666666666
T,Blake Hance,CLV,56.7,643,136.0,2021,Blake Hance,2021,24,705000,3281466.1666666665,-2576466.1666666665
T,Charlie Heck,HST,56.0,827,137.0,2021,Charlie Heck,2021,24,1001426,3073294.5,-2071868.5
T,Cam Erving,CAR,56.0,589,137.0,2021,Cam Erving,2021,28,5000000,3080213.1666666665,1919786.8333333335
T,Brandon Parker,LV,55.9,958,139.0,2021,Brandon Parker,2021,25,1023834,2332125.25,-1308291.25
G,Will Hernandez,NYG,55.9,1049,139.0,2021,Will Hernandez,2021,25,1862686,2646664.0,-783978.0
G,Royce Newman,GB,55.7,1084,141.0,2021,Royce Newman,2021,23,994836,2677409.1666666665,-1682573.1666666665
G,Oli Udoh,MIN,54.8,1075,142.0,2021,Oli Udoh,2021,24,671741,1729700.8333333333,-1057959.8333333333
G,Max Garcia,ARZ,54.3,864,143.0,2021,Max Garcia,2021,29,1127500,2237617.5,-1110117.5
G,John Simpson,LV,53.0,1189,144.0,2021,John Simpson,2021,23,1022945,2212082.0,-1189137.0
T,Jesse Davis,MIA,52.5,1063,145.0,2021,Jesse Davis,2021,29,5000000,1850568.5,3149431.5
C,Kendrick Green,PIT,52.4,975,146.0,2021,Kendrick Green,2021,22,1218942,2019948.0,-801006.0
G,John Miller,CAR,52.1,656,147.0,2021,John Miller,2021,27,1127500,2031692.5,-904192.5
C,Trey Hopkins,CIN,51.9,1185,148.0,2021,Trey Hopkins,2021,29,6800000,2013789.5,4786210.5
C,Sam Mustipher,CHI,51.8,1121,149.0,2021,Sam Mustipher,2021,24,695000,2103644.4166666665,-1408644.4166666665
G,Dennis Daley,CAR,51.8,573,149.0,2021,Dennis Daley,2021,24,661838,2080519.4166666667,-1418681.4166666667
G,Tytus Howard,HST,51.4,927,151.0,2021,Tytus Howard,2021,24,3056388,2279447.8333333335,776940.1666666665
T,Liam Eichenberg,MIA,50.8,1108,152.0,2021,Liam Eichenberg,2021,23,2003620,1971281.4166666667,32338.583333333256
T,Matt Nelson,DET,50.8,673,152.0,2021,Matt Nelson,2021,25,780000,2169527.1666666665,-1389527.1666666665
G,Matt Skura,NYG,50.8,769,152.0,2021,Matt Skura,2021,28,1750000,2148628.9166666665,-398628.9166666665
G,Michael Jordan,CAR,50.7,703,155.0,2021,Michael Jordan,2021,22,850000,1636962.25,-786962.25
G,Austin Jackson,MIA,49.9,1096,156.0,2021,Austin Jackson,2021,22,3410086,1635589.8333333333,1774496.1666666667
G,Jalen Mayfield,ATL,49.2,989,157.0,2021,Jalen Mayfield,2021,21,1302003,3497103.3333333335,-2195100.3333333335
G,Alex Leatherwood,LV,45.5,1181,158.0,2021,Alex Leatherwood,2021,22,3597891,4409071.0,-811180.0
G,Hakeem Adeniji,CIN,43.0,777,159.0,2021,Hakeem Adeniji,2021,23,876721,5658769.333333333,-4782048.333333333
G,Calvin Throckmorton,NO,42.4,938,160.0,2021,Calvin Throckmorton,2021,24,660000,6809047.083333333,-6149047.083333333
G,Wyatt Teller,CLV,92.3,825,1.0,2020,Wyatt Teller,2020,25,678531,13460310.666666666,-12781779.666666666
T,David Bakhtiari,GB,91.8,758,3.0,2020,David Bakhtiari,2020,29,23000000,12390584.42857143,10609415.57142857
G,Zack Martin,DAL,91.3,618,4.0,2020,Zack Martin,2020,29,14000000,12091764.625,1908235.375
T,Garett Bolles,DEN,90.6,1015,5.0,2020,Garett Bolles,2020,28,17000000,12418235.222222222,4581764.777777778
T,D.J. Humphries,ARZ,88.3,1129,6.0,2020,D.J. Humphries,2020,26,14583333,12029158.0,2554175.0
T,Duane Brown,SEA,87.8,1109,7.0,2020,Duane Brown,2020,34,11500000,11753780.0,-253780.0
G,Quenton Nelson,IND,87.5,1160,8.0,2020,Quenton Nelson,2020,24,5972227,11857631.666666666,-5885404.666666666
T,Andrew Whitworth,LA,86.8,716,9.0,2020,Andrew Whitworth,2020,38,10000026,11873951.5,-1873925.5
G,Brandon Scherff,WAS,86.3,929,11.0,2020,Brandon Scherff,2020,28,15030000,10295368.75,4734631.25
G,Joel Bitonio,CLV,85.5,1125,12.0,2020,Joel Bitonio,2020,28,8527463,10295368.75,-1767905.75
G,Shaq Mason,NE,85.4,782,13.0,2020,Shaq Mason,2020,26,9000000,9117075.083333334,-117075.08333333395
T,Terron Armstead,NO,84.9,994,14.0,2020,Terron Armstead,2020,28,13000000,9151797.333333334,3848202.666666666
T,Michael Onwenu,NE,84.3,927,15.0,2020,Michael Onwenu,2020,22,874369,8280092.166666667,-7405723.166666667
T,Tristan Wirfs,TB,84.1,1347,16.0,2020,Tristan Wirfs,2020,21,4057007,8686573.25,-4629566.25
T,Jack Conklin,CLV,84.0,1080,17.0,2020,Jack Conklin,2020,25,14000000,8755321.083333334,5244678.916666666
T,Isaiah Wynn,NE,82.6,641,18.0,2020,Isaiah Wynn,2020,23,2860476,8179904.416666667,-5319428.416666667
T,Taylor Decker,DET,82.0,1048,19.0,2020,Taylor Decker,2020,27,15000000,8683865.833333334,6316134.166666666
T,Taylor Moton,CAR,81.6,1032,20.0,2020,Taylor Moton,2020,26,1039538,8179285.416666667,-7139747.416666667
C,J.C. Tretter,CLV,81.0,1192,21.0,2020,J.C. Tretter,2020,29,10850000,7245820.666666667,3604179.333333333
G,Ali Marpet,TB,80.7,1123,22.0,2020,Ali Marpet,2020,26,10825000,7814623.25,3010376.75
T,Rob Havenstein,LA,80.6,1239,23.0,2020,Rob Havenstein,2020,28,8125000,7858658.5,266341.5
T,Dion Dawkins,BUF,80.6,1219,23.0,2020,Dion Dawkins,2020,26,14575000,6877232.583333333,7697767.416666667
C,Frank Ragnow,DET,80.3,929,25.0,2020,Frank Ragnow,2020,23,2945035,6826359.583333333,-3881324.583333333
T,Braden Smith,IND,80.1,1015,26.0,2020,Braden Smith,2020,24,1798423,5734692.916666667,-3936269.916666667
T,Morgan Moses,WAS,79.9,1137,28.0,2020,Morgan Moses,2020,29,7700000,6106398.083333333,1593601.916666667
T,Mike McGlinchey,SF,79.6,1091,29.0,2020,Mike McGlinchey,2020,25,4585430,5764731.416666667,-1179301.416666667
T,Ryan Ramczyk,NO,79.4,1178,30.0,2020,Ryan Ramczyk,2020,26,2222889,4954453.083333333,-2731564.083333333
T,Daryl Williams,BUF,79.2,1237,31.0,2020,Daryl Williams,2020,27,2250000,4350113.916666667,-2100113.916666667
T,Cornelius Lucas,WAS,78.9,608,32.0,2020,Cornelius Lucas,2020,28,1900000,3442349.0833333335,-1542349.0833333335
