index,player_name,year_signed,age,contract_length,value,average/year
79,Gehrig Dieter,2021,27,1,"$850,000",850000
80,George Mariner,2021,24,1,"$660,000",660000
81,Greg Ward,2021,25,1,"$850,000",850000
82,Hakeem Butler,2021,24,1,"$780,000",780000
83,Isaac Whitney,2021,26,1,"$780,000",780000
84,Isaiah Ford,2021,24,1,"$920,000",920000
85,Isaiah McKenzie,2021,25,1,"$1,127,500",1127500
86,Ishmael Hyman,2021,25,1,"$660,000",660000
87,J'Marcus Bradley,2021,24,2,"$1,675,000",837500
87,J'Marcus Bradley,2022,25,2,"$1,675,000",837500
88,J'Mon Moore,2021,25,1,"$780,000",780000
89,J.J. Koski,2021,24,2,"$1,485,000",742500
89,J.J. Koski,2022,25,2,"$1,485,000",742500
90,Jacob Harris,2021,24,4,"$3,979,344",994836
90,Jacob Harris,2022,25,4,"$3,979,344",994836
90,Jacob Harris,2023,26,4,"$3,979,344",994836
90,Jacob Harris,2024,27,4,"$3,979,344",994836
91,Jake Kumerow,2021,28,1,"$920,000",920000
92,Jake Lampman,2021,27,1,"$780,000",780000
93,Jakeem Grant,2021,28,1,"$2,300,000",2300000
94,Jaleel Scott,2021,25,1,"$780,000",780000
95,Jamal Agnew,2021,25,3,"$14,250,000",4750000
95,Jamal Agnew,2022,26,3,"$14,250,000",4750000
95,Jamal Agnew,2023,27,3,"$14,250,000",4750000
96,Jason Moore,2021,25,1,"$850,000",850000
97,Jaydon Mickens,2021,26,1,"$920,000",920000
98,Jeff Badet,2021,26,1,"$780,000",780000
99,Jeff Cotton,2021,24,1,"$660,000",660000
100,Jester Weah,2021,25,1,"$660,000",660000
101,Joe Fortson,2021,25,1,"$660,000",660000
102,John Brown,2021,30,1,"$3,750,000",3750000
103,John Hightower,2021,24,1,"$780,000",780000
104,John Hurst,2021,24,2,"$1,485,000",742500
104,John Hurst,2022,25,2,"$1,485,000",742500
105,John Ross,2021,26,1,"$2,250,000",2250000
106,John Ursua,2021,26,1,"$780,000",780000
