team_name,Year,avg_diff_ol
LAC,2014,-0.5801735304903501
LAC,2015,-1.2733415696355224
LAC,2016,1.4875642086605771
LAC,2017,0.9403597783810681
LAC,2018,0.6022455105751648
LAC,2019,-1.7710396832861866
LAC,2020,0.05158980765118453
LAC,2021,-1.1989712889871167
LV,2012,-0.4839166477960966
LV,2013,-0.6495625642754249
LV,2014,-0.09315004720189998
LV,2015,-0.004337694771831306
LV,2016,0.9670091719435414
LV,2017,1.97425983694179
LV,2018,2.2120824028424173
LV,2019,2.012435664929137
LV,2020,-0.2072719260907727
LV,2021,0.5858701842936798
MIA,2012,0.8347481097600066
MIA,2013,0.2428732123472165
MIA,2014,-0.10614969216922501
MIA,2015,1.3108542502283238
MIA,2016,0.4182877752110968
MIA,2017,0.6657169281292533
MIA,2018,-1.7229033038411767
