team_name,Year,avg_diff_rb
NYJ,2015,-0.8890635776477964
NYJ,2016,0.3632668182284459
NYJ,2017,-0.05475610029092839
NYJ,2018,0.21821822721971842
NYJ,2019,0.5971579102195543
NYJ,2020,-0.6574995525898819
NYJ,2021,-1.604940907470158
PHI,2014,-0.10353854240701692
PHI,2015,0.7251039881138943
PHI,2016,-0.09085546597751307
PHI,2017,-0.3766292727355212
PIT,2014,0.030850489657133235
PIT,2015,-1.0042441659175894
PIT,2016,-0.5959710019184196
PIT,2017,2.167767541539045
SEA,2012,0.10065138118385096
SEA,2013,1.3018160163490808
SEA,2014,0.7012899213274909
SEA,2015,2.5032055417584114
SEA,2017,-0.671361207550191
SEA,2018,-0.5748669964366654
SEA,2020,-0.3811107812230271
SEA,2021,-0.7799359359065825
SF,2012,0.09037388538818587
