player,player_id,position,team_name,grades_offense,pass_plays,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Andre Johnson,1319,WR,HST,75.3,517,31.0,2014,1499,Andre Johnson,2014,33,7,"$67,800,000",9685714
DeSean Jackson,4363,WR,WAS,74.9,512,35.0,2014,1066,DeSean Jackson,2014,27,4,"$24,000,000",6000000
Brandon Marshall,3064,WR,CHI,74.8,515,36.0,2014,1045,Brandon Marshall,2014,30,3,"$30,000,000",10000000
Malcom Floyd,2044,WR,LAC,74.6,639,37.0,2014,1379,Malcom Floyd,2014,33,3,"$11,550,000",3850000
Kenny Britt,4953,WR,LA,74.6,500,37.0,2014,1116,Kenny Britt,2014,25,1,"$1,400,000",1400000
Brandon LaFell,5602,WR,NE,73.1,715,42.0,2014,1043,Brandon LaFell,2014,27,3,"$9,000,000",3000000
Mike Wallace,5007,WR,MIA,72.5,534,44.0,2014,1265,Mike Wallace,2014,27,5,"$60,000,000",12000000
Eddie Royal,4356,WR,LAC,72.4,547,45.0,2014,1077,Eddie Royal,2014,27,1,"$3,500,000",3500000
Greg Jennings,2997,WR,MIN,71.8,595,47.0,2014,1228,Greg Jennings,2014,30,5,"$45,000,000",9000000
Dwayne Bowe,3639,WR,KC,71.7,509,48.0,2014,1224,Dwayne Bowe,2014,29,5,"$56,000,000",11200000
Pierre Garcon,4519,WR,WAS,70.4,583,55.0,2014,1395,Pierre Garcon,2014,27,5,"$42,500,000",8500000
Harry Douglas,4398,WR,ATL,70.1,418,56.0,2014,1350,Harry Douglas,2014,28,4,"$12,500,000",3125000
Kamar Aiken,6671,WR,BLT,69.8,187,59.0,2014,1112,Kamar Aiken,2014,24,1,"$495,000",495000
Ricardo Lockette,6622,WR,SEA,69.8,133,59.0,2014,1278,Ricardo Lockette,2014,27,2,"$1,050,000",525000
John Brown,8726,WR,ARZ,69.3,527,64.0,2014,1102,John Brown,2014,24,4,"$2,798,900",699725
Roddy White,2244,WR,ATL,68.5,620,70.0,2014,1155,Roddy White,2014,32,3,"$18,000,000",6000000
Charles Johnson,7998,WR,MIN,67.6,288,73.0,2014,1198,Charles Johnson,2014,25,4,"$2,221,820",555455
James Jones,3694,WR,LV,65.7,547,79.0,2014,1091,James Jones,2014,29,3,"$10,000,000",3333333
Marques Colston,3197,WR,NO,65.3,613,80.0,2014,1384,Marques Colston,2014,30,5,"$36,300,000",7260000
Nate Washington,2832,WR,TEN,64.8,540,81.0,2014,1592,Nate Washington,2014,30,6,"$26,800,000",4466667
Jerricho Cotchery,1829,WR,CAR,64.6,579,82.0,2014,1100,Jerricho Cotchery,2014,31,5,"$8,015,000",1603000
Chris Hogan,6468,WR,BUF,64.5,362,83.0,2014,1053,Chris Hogan,2014,26,1,"$495,000",495000
Devin Hester,3002,WR,ATL,64.3,318,85.0,2014,1069,Devin Hester,2014,31,3,"$9,000,000",3000000
Andre Holmes,6489,WR,LV,63.9,497,86.0,2014,1177,Andre Holmes,2014,25,2,"$1,200,000",600000
Brandon Lloyd,1436,WR,SF,63.3,250,87.0,2014,1044,Brandon Lloyd,2014,32,1,"$1,005,000",1005000
Brian Hartline,5031,WR,MIA,63.0,515,89.0,2014,1192,Brian Hartline,2014,27,5,"$30,775,000",6155000
Jason Avant,3054,WR,KC,62.8,386,91.0,2014,1094,Jason Avant,2014,30,1,"$1,050,000",1050000
Hakeem Nicks,4952,WR,IND,62.2,491,93.0,2014,1086,Hakeem Nicks,2014,26,1,"$4,000,000",4000000
Brandon Tate,5006,WR,CIN,62.0,329,94.0,2014,1046,Brandon Tate,2014,26,1,"$1,024,000",1024000
Victor Cruz,5827,WR,NYG,61.8,211,96.0,2014,1297,Victor Cruz,2014,27,5,"$43,000,000",8600000
Preston Parker,5950,WR,NYG,61.8,425,96.0,2014,1148,Preston Parker,2014,26,2,"$1,230,000",615000
Reggie Wayne,800,WR,IND,61.7,686,98.0,2014,1402,Reggie Wayne,2014,35,3,"$17,500,000",5833333
Andre Roberts,5612,WR,WAS,61.2,497,101.0,2014,1033,Andre Roberts,2014,26,4,"$16,000,000",4000000
Wes Welker,2204,WR,DEN,60.9,546,102.0,2014,1299,Wes Welker,2014,32,2,"$12,000,000",6000000
Louis Murphy Jr.,5048,WR,TB,60.5,353,103.0,2014,1130,Louis Murphy Jr.,2014,26,1,"$795,000",795000
Kenbrell Thompkins,8126,WR,LV,60.3,272,104.0,2014,1249,Kenbrell Thompkins,2014,25,3,"$1,487,500",495833
Riley Cooper,5682,WR,PHI,59.1,590,107.0,2014,1153,Riley Cooper,2014,26,5,"$22,500,000",4500000
Derek Hagan,3027,WR,TEN,58.9,214,108.0,2014,1068,Derek Hagan,2014,29,1,"$855,000",855000
Danny Amendola,4717,WR,NE,58.9,410,108.0,2014,1204,Danny Amendola,2014,28,5,"$28,500,000",5700000
Jeremy Ross,6476,WR,DET,58.8,519,110.0,2014,1098,Jeremy Ross,2014,25,1,"$570,000",570000
Brian Tyms,7321,WR,NE,58.0,92,112.0,2014,1048,Brian Tyms,2014,25,1,"$495,000",495000
Lance Moore,2718,WR,PIT,57.2,210,113.0,2014,1126,Lance Moore,2014,30,2,"$3,000,000",1500000
Brandon Gibson,5118,WR,MIA,56.6,332,114.0,2014,1187,Brandon Gibson,2014,26,3,"$9,780,000",3260000
Mike Williams,5625,WR,BUF,55.2,128,116.0,2014,1266,Mike Williams,2014,27,5,"$39,620,000",7924000
Josh Morgan,4488,WR,CHI,52.5,271,121.0,2014,1108,Josh Morgan,2014,28,1,"$730,000",730000
Dane Sanzenbacher,6570,WR,CIN,50.2,129,123.0,2014,1059,Dane Sanzenbacher,2014,25,1,"$1,200,000",1200000
Andre Caldwell,4411,WR,DEN,48.9,107,124.0,2014,1032,Andre Caldwell,2014,28,2,"$2,700,000",1350000
Seyi Ajirotutu,6035,WR,LAC,48.8,107,125.0,2014,1159,Seyi Ajirotutu,2014,26,1,"$795,000",795000
David Nelson,5862,WR,NYJ,47.0,172,126.0,2014,1207,David Nelson,2014,27,2,"$1,200,000",600000
Brandon Marshall,3064,WR,CHI,91.6,641,1.0,2013,1430,Brandon Marshall,2013,28,5,"$44,779,000",8955800
Calvin Johnson,3618,WR,DET,89.9,565,3.0,2013,1316,Calvin Johnson,2013,27,7,"$113,450,000",16207143
Andre Johnson,1319,WR,HST,89.4,635,4.0,2013,1499,Andre Johnson,2013,32,7,"$67,800,000",9685714
Antonio Brown,5718,WR,PIT,89.1,630,5.0,2013,1305,Antonio Brown,2013,25,5,"$41,960,000",8392000
Jordy Nelson,4350,WR,GB,86.0,715,10.0,2013,1464,Jordy Nelson,2013,28,3,"$13,100,000",4366667
Marques Colston,3197,WR,NO,85.3,634,11.0,2013,1384,Marques Colston,2013,29,5,"$36,300,000",7260000
DeSean Jackson,4363,WR,PHI,84.4,612,12.0,2013,1329,DeSean Jackson,2013,26,5,"$47,000,000",9400000
Steve Smith,837,WR,CAR,82.3,501,17.0,2013,1287,Steve Smith,2013,27,1,"$780,000",780000
Pierre Garcon,4519,WR,WAS,82.2,632,18.0,2013,1395,Pierre Garcon,2013,26,5,"$42,500,000",8500000
Julian Edelman,5156,WR,NE,81.2,703,23.0,2013,1244,Julian Edelman,2013,26,1,"$765,000",765000
Reggie Wayne,800,WR,IND,80.9,274,24.0,2013,1402,Reggie Wayne,2013,34,3,"$17,500,000",5833333
Larry Fitzgerald,1724,WR,ARZ,80.3,632,25.0,2013,1467,Larry Fitzgerald,2013,29,7,"$113,000,000",16142857
Malcom Floyd,2044,WR,LAC,79.3,57,28.0,2013,1379,Malcom Floyd,2013,32,3,"$11,550,000",3850000
Brandon Gibson,5118,WR,MIA,79.2,201,29.0,2013,1187,Brandon Gibson,2013,25,3,"$9,780,000",3260000
Vincent Jackson,2278,WR,TB,79.1,591,30.0,2013,1422,Vincent Jackson,2013,30,5,"$55,555,555",11111111
Brian Hartline,5031,WR,MIA,77.9,636,32.0,2013,1192,Brian Hartline,2013,26,5,"$30,775,000",6155000
Nate Washington,2832,WR,TEN,77.9,584,32.0,2013,1592,Nate Washington,2013,29,6,"$26,800,000",4466667
Victor Cruz,5827,WR,NYG,76.9,527,36.0,2013,1297,Victor Cruz,2013,26,5,"$43,000,000",8600000
Ted Ginn Jr.,3625,WR,CAR,75.1,391,37.0,2013,1288,Ted Ginn Jr.,2013,27,1,"$1,100,000",1100000
Jerricho Cotchery,1829,WR,PIT,74.9,457,38.0,2013,1360,Jerricho Cotchery,2013,30,2,"$3,000,000",1500000
Dwayne Bowe,3639,WR,KC,74.8,628,39.0,2013,1224,Dwayne Bowe,2013,28,5,"$56,000,000",11200000
Eddie Royal,4356,WR,LAC,74.5,509,40.0,2013,1346,Eddie Royal,2013,26,3,"$13,500,000",4500000
Andre Holmes,6489,WR,LV,74.5,261,40.0,2013,1177,Andre Holmes,2013,24,2,"$1,200,000",600000
Rod Streater,7416,WR,LV,74.3,518,42.0,2013,1405,Rod Streater,2013,25,3,"$1,450,000",483333
Wes Welker,2204,WR,DEN,74.2,639,43.0,2013,1299,Wes Welker,2013,31,2,"$12,000,000",6000000
Robert Meachem,3643,WR,NO,73.8,204,45.0,2013,1281,Robert Meachem,2013,28,1,"$715,000",715000
Greg Jennings,2997,WR,MIN,73.8,508,45.0,2013,1228,Greg Jennings,2013,29,5,"$45,000,000",9000000
Jerome Simpson,4360,WR,MIN,73.5,463,48.0,2013,1237,Jerome Simpson,2013,27,1,"$2,100,000",2100000
Danny Amendola,4717,WR,NE,72.7,458,53.0,2013,1204,Danny Amendola,2013,27,5,"$28,500,000",5700000
David Nelson,5862,WR,NYJ,71.4,305,57.0,2013,1207,David Nelson,2013,26,2,"$1,200,000",600000
Emmanuel Sanders,5606,WR,PIT,71.3,556,58.0,2013,1227,Emmanuel Sanders,2013,25,1,"$2,500,000",2500000
Mike Wallace,5007,WR,MIA,69.9,658,63.0,2013,1265,Mike Wallace,2013,26,5,"$60,000,000",12000000
Harry Douglas,4398,WR,ATL,69.8,681,64.0,2013,1350,Harry Douglas,2013,27,4,"$12,500,000",3125000
Lance Moore,2718,WR,NO,69.4,403,65.0,2013,1466,Lance Moore,2013,29,5,"$20,000,000",4000000
Jacoby Jones,3689,WR,BLT,69.3,377,66.0,2013,1353,Jacoby Jones,2013,28,2,"$6,500,000",3250000
Andre Caldwell,4411,WR,DEN,69.0,176,68.0,2013,1301,Andre Caldwell,2013,27,2,"$1,800,000",900000
Sidney Rice,3660,WR,SEA,68.0,213,74.0,2013,1489,Sidney Rice,2013,26,5,"$41,000,000",8200000
James Jones,3694,WR,GB,67.9,588,75.0,2013,1456,James Jones,2013,28,3,"$9,700,000",3233333
Andrew Hawkins,6125,WR,CIN,67.9,129,75.0,2013,1178,Andrew Hawkins,2013,26,1,"$555,000",555000
Santonio Holmes,2970,WR,NYJ,67.6,304,78.0,2013,1283,Santonio Holmes,2013,28,3,"$25,250,000",8416667
Tiquan Underwood,5177,WR,TB,65.8,378,86.0,2013,1418,Tiquan Underwood,2013,25,2,"$1,330,000",665000
Roddy White,2244,WR,ATL,65.6,559,88.0,2013,1594,Roddy White,2013,31,6,"$42,720,000",7120000
Nate Burleson,1386,WR,DET,65.0,305,89.0,2013,1547,Nate Burleson,2013,31,5,"$25,000,000",5000000
Kenbrell Thompkins,8126,WR,NE,64.4,387,91.0,2013,1249,Kenbrell Thompkins,2013,24,3,"$1,487,500",495833
Kevin Ogletree,5387,WR,DET,63.4,232,95.0,2013,1250,Kevin Ogletree,2013,25,2,"$2,600,000",1300000
Domenik Hixon,3075,WR,CAR,63.1,84,96.0,2013,1219,Domenik Hixon,2013,28,1,"$1,162,500",1162500
Earl Bennett,4384,WR,CHI,62.8,387,98.0,2013,1448,Earl Bennett,2013,26,4,"$15,000,000",3750000
Mike Williams,5625,WR,TB,62.2,240,101.0,2013,1266,Mike Williams,2013,26,5,"$39,620,000",7924000
Mario Manningham,4409,WR,SF,61.3,108,104.0,2013,1383,Mario Manningham,2013,26,2,"$7,375,000",3687500
Jason Avant,3054,WR,PHI,61.2,521,105.0,2013,1530,Jason Avant,2013,29,5,"$14,750,000",2950000
Donnie Avery,4347,WR,KC,58.6,525,110.0,2013,1222,Donnie Avery,2013,28,3,"$8,550,000",2850000
Miles Austin,3211,WR,DAL,58.5,345,111.0,2013,1546,Miles Austin,2013,28,7,"$54,100,000",7728571
Santana Moss,786,WR,WAS,58.1,468,112.0,2013,1487,Santana Moss,2013,34,3,"$15,000,000",5000000
Kris Durham,6259,WR,DET,55.4,586,118.0,2013,1253,Kris Durham,2013,24,1,"$555,000",555000
Darrius Heyward-Bey,4930,WR,IND,54.0,410,122.0,2013,1206,Darrius Heyward-Bey,2013,26,1,"$2,500,000",2500000
Davone Bess,4694,WR,CLV,54.0,447,122.0,2013,1209,Davone Bess,2013,27,3,"$8,817,999",2939333
Andre Johnson,1319,WR,HST,91.6,649,1.0,2012,1499,Andre Johnson,2012,31,7,"$67,800,000",9685714
Brandon Marshall,3064,WR,CHI,90.4,579,4.0,2012,1430,Brandon Marshall,2012,27,5,"$44,779,000",8955800
Calvin Johnson,3618,WR,DET,89.9,796,5.0,2012,1316,Calvin Johnson,2012,26,7,"$113,450,000",16207143
Vincent Jackson,2278,WR,TB,89.6,615,6.0,2012,1422,Vincent Jackson,2012,29,5,"$55,555,555",11111111
Roddy White,2244,WR,ATL,89.3,760,7.0,2012,1594,Roddy White,2012,30,6,"$42,720,000",7120000
Reggie Wayne,800,WR,IND,88.6,795,9.0,2012,1402,Reggie Wayne,2012,33,3,"$17,500,000",5833333
Danny Amendola,4717,WR,LA,86.5,342,10.0,2012,1327,Danny Amendola,2012,26,1,"$1,972,000",1972000
Pierre Garcon,4519,WR,WAS,84.4,239,13.0,2012,1395,Pierre Garcon,2012,25,5,"$42,500,000",8500000
Anquan Boldin,1369,WR,BLT,84.2,705,14.0,2012,1500,Anquan Boldin,2012,31,3,"$25,000,000",8333333
Lance Moore,2718,WR,NO,83.2,503,15.0,2012,1466,Lance Moore,2012,28,5,"$20,000,000",4000000
Wes Welker,2204,WR,NE,82.4,754,17.0,2012,1425,Wes Welker,2012,30,1,"$9,515,000",9515000
Domenik Hixon,3075,WR,NYG,81.6,279,18.0,2012,1338,Domenik Hixon,2012,27,1,"$615,000",615000
Sidney Rice,3660,WR,SEA,81.6,519,18.0,2012,1489,Sidney Rice,2012,25,5,"$41,000,000",8200000
Dwayne Bowe,3639,WR,KC,81.1,421,20.0,2012,1343,Dwayne Bowe,2012,27,1,"$9,515,000",9515000
Steve Smith,837,WR,CAR,80.9,559,21.0,2012,1412,Steve Smith,2012,32,4,"$30,000,000",7500000
Antonio Brown,5718,WR,PIT,79.6,453,23.0,2012,1305,Antonio Brown,2012,24,5,"$41,960,000",8392000
Malcom Floyd,2044,WR,LAC,79.0,549,25.0,2012,1379,Malcom Floyd,2012,31,3,"$11,550,000",3850000
Jason Avant,3054,WR,PHI,78.6,459,28.0,2012,1530,Jason Avant,2012,28,5,"$14,750,000",2950000
Mario Manningham,4409,WR,SF,78.3,261,29.0,2012,1383,Mario Manningham,2012,25,2,"$7,375,000",3687500
Brandon Lloyd,1436,WR,NE,77.0,732,33.0,2012,1306,Brandon Lloyd,2012,30,3,"$12,000,000",4000000
DeSean Jackson,4363,WR,PHI,76.2,471,37.0,2012,1329,DeSean Jackson,2012,25,5,"$47,000,000",9400000
Brandon Stokley,498,WR,DEN,76.2,447,37.0,2012,1307,Brandon Stokley,2012,35,1,"$925,000",925000
Miles Austin,3211,WR,DAL,76.1,601,39.0,2012,1546,Miles Austin,2012,27,7,"$54,100,000",7728571
Marques Colston,3197,WR,NO,76.0,649,41.0,2012,1384,Marques Colston,2012,28,5,"$36,300,000",7260000
Jordy Nelson,4350,WR,GB,75.5,484,44.0,2012,1464,Jordy Nelson,2012,27,3,"$13,100,000",4366667
Randy Moss,342,WR,SF,75.2,293,46.0,2012,1400,Randy Moss,2012,34,1,"$2,500,000",2500000
Davone Bess,4694,WR,MIA,74.4,459,48.0,2012,1517,Davone Bess,2012,26,4,"$9,030,000",2257500
James Jones,3694,WR,GB,73.2,744,49.0,2012,1456,James Jones,2012,27,3,"$9,700,000",3233333
Greg Jennings,2997,WR,GB,72.8,377,50.0,2012,1579,Greg Jennings,2012,28,4,"$26,885,000",6721250
Jacoby Jones,3689,WR,BLT,72.5,375,52.0,2012,1353,Jacoby Jones,2012,27,2,"$6,500,000",3250000
Larry Fitzgerald,1724,WR,ARZ,69.4,705,57.0,2012,1467,Larry Fitzgerald,2012,28,7,"$113,000,000",16142857
Santana Moss,786,WR,WAS,68.6,352,61.0,2012,1487,Santana Moss,2012,33,3,"$15,000,000",5000000
Derek Hagan,3027,WR,LV,68.5,180,63.0,2012,1333,Derek Hagan,2012,27,1,"$765,000",765000
Josh Morgan,4488,WR,WAS,68.2,423,64.0,2012,1367,Josh Morgan,2012,26,2,"$11,500,000",5750000
Andrew Hawkins,6125,WR,CIN,67.6,434,66.0,2012,1302,Andrew Hawkins,2012,25,1,"$465,000",465000
Rod Streater,7416,WR,LV,67.4,405,68.0,2012,1405,Rod Streater,2012,24,3,"$1,450,000",483333
Braylon Edwards,2220,WR,NYJ,67.4,191,68.0,2012,1309,Braylon Edwards,2012,28,1,"$890,000",890000
Earl Bennett,4384,WR,CHI,67.3,295,70.0,2012,1448,Earl Bennett,2012,25,4,"$15,000,000",3750000
Mike Wallace,5007,WR,PIT,67.1,571,71.0,2012,1391,Mike Wallace,2012,26,1,"$2,742,000",2742000
Michael Jenkins,1750,WR,MIN,65.9,490,73.0,2012,1477,Michael Jenkins,2012,29,3,"$8,750,000",2916667
Eddie Royal,4356,WR,LAC,65.7,204,76.0,2012,1346,Eddie Royal,2012,25,3,"$13,500,000",4500000
Matt Willis,4283,WR,DEN,65.5,111,78.0,2012,1385,Matt Willis,2012,28,1,"$1,260,000",1260000
Jerricho Cotchery,1829,WR,PIT,65.0,157,82.0,2012,1360,Jerricho Cotchery,2012,29,2,"$3,000,000",1500000
Brad Smith,3048,WR,BUF,64.9,189,83.0,2012,1428,Brad Smith,2012,28,4,"$14,750,000",3687500
Nate Washington,2832,WR,TEN,64.4,564,84.0,2012,1592,Nate Washington,2012,28,6,"$26,800,000",4466667
Kevin Ogletree,5387,WR,DAL,64.1,361,85.0,2012,1371,Kevin Ogletree,2012,24,1,"$640,000",640000
Devin Aromashodu,3178,WR,MIN,64.0,234,86.0,2012,1335,Devin Aromashodu,2012,27,1,"$700,000",700000
Nate Burleson,1386,WR,DET,63.4,251,89.0,2012,1547,Nate Burleson,2012,30,5,"$25,000,000",5000000
Kevin Walter,1549,WR,HST,63.1,556,90.0,2012,1539,Kevin Walter,2012,30,5,"$21,500,000",4300000
Chaz Schilens,4540,WR,NYJ,63.1,253,90.0,2012,1321,Chaz Schilens,2012,26,1,"$765,000",765000
Jordan Shipley,5608,WR,JAX,63.1,199,90.0,2012,1365,Jordan Shipley,2012,26,1,"$465,000",465000
Tiquan Underwood,5177,WR,TB,62.8,343,94.0,2012,1418,Tiquan Underwood,2012,24,2,"$1,330,000",665000
Jerome Simpson,4360,WR,MIN,62.3,299,97.0,2012,1359,Jerome Simpson,2012,26,1,"$2,000,000",2000000
Donnie Avery,4347,WR,IND,60.1,750,107.0,2012,1340,Donnie Avery,2012,27,1,"$665,000",665000
Ben Obomanu,3194,WR,SEA,59.5,65,109.0,2012,1427,Ben Obomanu,2012,28,3,"$6,900,000",2300000
Harry Douglas,4398,WR,ATL,58.6,507,110.0,2012,1350,Harry Douglas,2012,26,4,"$12,500,000",3125000
Laurent Robinson,3691,WR,JAX,57.6,199,112.0,2012,1374,Laurent Robinson,2012,26,5,"$32,500,000",6500000
Robert Meachem,3643,WR,LAC,55.7,261,117.0,2012,1404,Robert Meachem,2012,27,4,"$25,900,000",6475000
Devin Hester,3002,WR,CHI,55.1,263,120.0,2012,1522,Devin Hester,2012,27,4,"$21,956,025",5489006
Deion Branch,1072,WR,NE,53.5,353,122.0,2012,1330,Deion Branch,2012,32,1,"$1,325,000",1325000
Steve Breaston,3758,WR,KC,51.3,159,125.0,2012,1491,Steve Breaston,2012,28,5,"$22,550,000",4510000
Devery Henderson,1771,WR,NO,50.5,475,126.0,2012,1576,Devery Henderson,2012,29,4,"$12,000,000",3000000
Mike Thomas,5030,WR,DET,47.4,311,127.0,2012,1390,Mike Thomas,2012,24,4,"$10,210,000",2552500
Early Doucet,4395,WR,ARZ,47.1,326,128.0,2012,1344,Early Doucet,2012,26,2,"$4,000,000",2000000
