player,player_id,position,team_name,grades_offense,pass_plays,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Emmanuel Sanders,5606,WR,NO,74.4,440,45.0,2020,243,Emmanuel Sanders,2020,33,2,"$24,000,000",12000000
Nelson Agholor,9453,WR,LV,73.8,466,46.0,2020,281,Nelson Agholor,2020,26,1,"$1,047,500",1047500
Marvin Jones Jr.,7158,WR,DET,73.6,667,47.0,2020,853,Marvin Jones Jr.,2020,29,5,"$40,000,000",8000000
Rashard Higgins,10806,WR,CLV,73.4,377,48.0,2020,286,Rashard Higgins,2020,25,1,"$910,000",910000
Allen Lazard,48135,WR,GB,72.4,353,50.0,2020,198,Allen Lazard,2020,24,1,"$675,000",675000
Kendrick Bourne,12270,WR,SF,72.0,476,51.0,2020,265,Kendrick Bourne,2020,24,1,"$3,259,000",3259000
Randall Cobb,6216,WR,HST,71.6,278,52.0,2020,285,Randall Cobb,2020,29,3,"$27,000,000",9000000
Robert Woods,7822,WR,LA,71.4,674,55.0,2020,293,Robert Woods,2020,28,4,"$65,000,000",16250000
Travis Fulgham,48023,WR,PHI,71.2,387,57.0,2020,310,Travis Fulgham,2020,24,2,"$1,525,000",762500
Jakeem Grant,10820,WR,MIA,70.9,247,58.0,2020,385,Jakeem Grant,2020,27,4,"$19,700,000",4925000
Chris Conley,9509,WR,JAX,70.1,315,60.0,2020,347,Chris Conley,2020,27,2,"$4,595,000",2297500
Adam Humphries,10075,WR,TEN,69.9,168,62.0,2020,317,Adam Humphries,2020,26,4,"$36,000,000",9000000
Van Jefferson,47447,WR,LA,69.8,188,63.0,2020,314,Van Jefferson,2020,24,4,"$5,611,134",1402784
Julian Edelman,5156,WR,NE,68.8,176,67.0,2020,404,Julian Edelman,2020,33,2,"$15,500,000",7750000
C.J. Board,12088,WR,NYG,67.4,116,76.0,2020,340,C.J. Board,2020,26,2,"$1,080,000",540000
A.J. Green,6156,WR,CIN,66.3,538,79.0,2020,194,A.J. Green,2020,31,1,"$18,171,000",18171000
Golden Tate,5585,WR,NYG,66.0,318,81.0,2020,380,Golden Tate,2020,31,4,"$37,500,000",9375000
David Moore,11981,WR,SEA,66.0,334,81.0,2020,226,David Moore,2020,24,1,"$825,000",825000
John Brown,8726,WR,BUF,65.7,442,83.0,2020,392,John Brown,2020,29,3,"$27,000,000",9000000
Mohamed Sanu,7084,WR,DET,65.5,197,84.0,2020,280,Mohamed Sanu,2020,30,1,"$1,050,000",1050000
Sammy Watkins,8639,WR,KC,64.5,382,88.0,2020,296,Sammy Watkins,2020,26,1,"$9,000,000",9000000
Keelan Cole,51593,WR,JAX,64.4,601,90.0,2020,262,Keelan Cole,2020,26,1,"$3,259,000",3259000
Breshad Perriman,9459,WR,NYJ,63.6,393,93.0,2020,207,Breshad Perriman,2020,26,1,"$6,500,000",6500000
Marcus Johnson,11074,WR,IND,63.0,188,94.0,2020,273,Marcus Johnson,2020,25,1,"$925,000",925000
Damiere Byrd,9964,WR,NE,61.4,496,102.0,2020,221,Damiere Byrd,2020,27,1,"$1,600,000",1600000
Demarcus Robinson,10760,WR,KC,60.7,623,105.0,2020,233,Demarcus Robinson,2020,25,1,"$2,297,500",2297500
Larry Fitzgerald,1724,WR,ARZ,59.6,475,108.0,2020,271,Larry Fitzgerald,2020,36,1,"$11,500,000",11500000
Cameron Batson,47669,WR,TEN,58.7,168,111.0,2020,211,Cameron Batson,2020,24,2,"$1,525,000",762500
Marvin Hall,11440,WR,CLV,57.4,258,117.0,2020,419,Marvin Hall,2020,26,2,"$1,380,000",690000
Mike Thomas,10840,WR,CIN,55.2,142,122.0,2020,279,Mike Thomas,2020,25,1,"$850,000",850000
Brandon Zylstra,66438,WR,CAR,54.8,77,123.0,2020,486,Brandon Zylstra,2020,26,3,"$1,710,000",570000
John Hightower,84142,WR,PHI,50.5,250,128.0,2020,256,John Hightower,2020,24,4,"$3,595,052",898763
Julio Jones,6158,WR,ATL,90.6,610,2.0,2019,405,Julio Jones,2019,30,3,"$66,000,000",22000000
Michael Thomas,10681,WR,NO,90.4,677,3.0,2019,424,Michael Thomas,2019,25,5,"$96,250,000",19250000
Davante Adams,8688,WR,GB,88.0,532,4.0,2019,663,Davante Adams,2019,27,4,"$58,000,000",14500000
DeAndre Hopkins,7808,WR,HST,87.8,726,5.0,2019,664,DeAndre Hopkins,2019,27,5,"$81,000,000",16200000
Mike Evans,8642,WR,TB,85.7,539,6.0,2019,581,Mike Evans,2019,25,5,"$82,500,000",16500000
Tyreek Hill,10799,WR,KC,84.5,519,8.0,2019,463,Tyreek Hill,2019,25,3,"$54,000,000",18000000
Robert Woods,7822,WR,LA,82.2,656,11.0,2019,740,Robert Woods,2019,26,5,"$34,000,000",6800000
Tyler Lockett,9502,WR,SEA,81.9,697,13.0,2019,621,Tyler Lockett,2019,26,3,"$30,750,000",10250000
Keenan Allen,7857,WR,LAC,80.8,643,15.0,2019,844,Keenan Allen,2019,27,4,"$45,000,000",11250000
Allen Robinson II,8696,WR,CHI,80.8,671,15.0,2019,473,Allen Robinson II,2019,25,3,"$42,000,000",14000000
DeVante Parker,9447,WR,MIA,79.2,675,18.0,2019,364,DeVante Parker,2019,25,4,"$30,500,000",7625000
Stefon Diggs,9579,WR,MIN,78.3,521,19.0,2019,603,Stefon Diggs,2019,25,5,"$72,000,000",14400000
Jarvis Landry,8698,WR,CLV,78.2,627,20.0,2019,542,Jarvis Landry,2019,26,5,"$75,500,000",15100000
Sterling Shepard,10674,WR,NYG,75.8,417,23.0,2019,444,Sterling Shepard,2019,26,4,"$41,000,000",10250000
Adam Thielen,8288,WR,MIN,75.4,309,25.0,2019,318,Adam Thielen,2019,28,4,"$64,200,000",16050000
T.Y. Hilton,7092,WR,IND,75.1,298,28.0,2019,1017,T.Y. Hilton,2019,29,5,"$65,000,000",13000000
Alshon Jeffery,7048,WR,PHI,74.8,305,30.0,2019,631,Alshon Jeffery,2019,29,4,"$52,000,000",13000000
John Brown,8726,WR,BUF,74.2,625,32.0,2019,392,John Brown,2019,28,3,"$27,000,000",9000000
Golden Tate,5585,WR,NYG,74.0,453,34.0,2019,380,Golden Tate,2019,30,4,"$37,500,000",9375000
Cole Beasley,7330,WR,BUF,73.8,540,36.0,2019,351,Cole Beasley,2019,29,4,"$29,000,000",7250000
Jamison Crowder,9538,WR,NYJ,73.0,567,40.0,2019,386,Jamison Crowder,2019,25,3,"$28,500,000",9500000
Tyler Boyd,10689,WR,CIN,73.0,675,40.0,2019,461,Tyler Boyd,2019,24,4,"$43,000,000",10750000
Marvin Jones Jr.,7158,WR,DET,72.9,546,42.0,2019,853,Marvin Jones Jr.,2019,28,5,"$40,000,000",8000000
Breshad Perriman,9459,WR,TB,72.8,472,43.0,2019,333,Breshad Perriman,2019,25,1,"$4,000,000",4000000
Sammy Watkins,8639,WR,KC,71.6,646,46.0,2019,600,Sammy Watkins,2019,25,3,"$48,000,000",16000000
Danny Amendola,4717,WR,DET,71.5,482,47.0,2019,357,Danny Amendola,2019,33,1,"$4,500,000",4500000
Adam Humphries,10075,WR,TEN,71.4,296,48.0,2019,317,Adam Humphries,2019,25,4,"$36,000,000",9000000
Julian Edelman,5156,WR,NE,71.4,697,48.0,2019,404,Julian Edelman,2019,32,2,"$15,500,000",7750000
Kenny Stills,7926,WR,HST,70.4,490,52.0,2019,711,Kenny Stills,2019,26,4,"$32,000,000",8000000
Larry Fitzgerald,1724,WR,ARZ,70.3,619,54.0,2019,414,Larry Fitzgerald,2019,32,1,"$11,000,000",11000000
Randall Cobb,6216,WR,DAL,69.9,499,56.0,2019,429,Randall Cobb,2019,28,1,"$5,000,000",5000000
Duke Williams,11366,WR,BUF,69.4,162,60.0,2019,374,Duke Williams,2019,25,2,"$1,080,000",540000
Odell Beckham Jr.,8647,WR,CLV,68.7,628,62.0,2019,586,Odell Beckham Jr.,2019,26,5,"$90,000,000",18000000
Robby Anderson,11254,WR,NYJ,68.7,615,62.0,2019,435,Robby Anderson,2019,25,1,"$3,095,000",3095000
Cody Latimer,8691,WR,NYG,68.4,268,64.0,2019,350,Cody Latimer,2019,26,1,"$1,500,000",1500000
Brandin Cooks,8655,WR,LA,68.1,483,65.0,2019,481,Brandin Cooks,2019,25,5,"$81,000,000",16200000
David Moore,11981,WR,SEA,67.4,246,69.0,2019,359,David Moore,2019,24,1,"$645,000",645000
Alex Erickson,11107,WR,CIN,67.1,412,70.0,2019,471,Alex Erickson,2019,26,2,"$4,680,000",2340000
Tim Patrick,12087,WR,DEN,66.7,203,71.0,2019,454,Tim Patrick,2019,25,1,"$570,000",570000
Keelan Cole,51593,WR,JAX,66.5,275,72.0,2019,705,Keelan Cole,2019,26,3,"$1,669,000",556333
Tyrell Williams,10154,WR,LV,66.5,429,72.0,2019,464,Tyrell Williams,2019,27,4,"$44,300,000",11075000
Demaryius Thomas,5547,WR,NYJ,65.9,311,76.0,2019,366,Demaryius Thomas,2019,31,1,"$2,906,000",2906000
Phillip Dorsett,9462,WR,NE,65.6,412,78.0,2019,427,Phillip Dorsett,2019,26,1,"$2,600,000",2600000
Damiere Byrd,9964,WR,ARZ,64.4,326,80.0,2019,354,Damiere Byrd,2019,26,1,"$720,000",720000
Josh Gordon,7618,WR,SEA,63.7,316,83.0,2019,403,Josh Gordon,2019,27,1,"$2,025,000",2025000
Seth Roberts,9079,WR,BLT,63.5,323,85.0,2019,441,Seth Roberts,2019,28,1,"$2,000,000",2000000
Chris Conley,9509,WR,JAX,62.7,629,91.0,2019,347,Chris Conley,2019,26,2,"$4,595,000",2297500
Albert Wilson,8943,WR,MIA,62.3,338,95.0,2019,469,Albert Wilson,2019,26,3,"$24,000,000",8000000
Taylor Gabriel,9002,WR,CHI,62.0,314,96.0,2019,611,Taylor Gabriel,2019,28,4,"$26,000,000",6500000
Fred Brown,23172,WR,DEN,60.1,48,97.0,2019,377,Fred Brown,2019,25,2,"$1,080,000",540000
Tavon Austin,7789,WR,DAL,59.9,165,98.0,2019,449,Tavon Austin,2019,28,1,"$1,750,000",1750000
Marcus Johnson,11074,WR,IND,59.8,249,99.0,2019,417,Marcus Johnson,2019,24,1,"$645,000",645000
Paul Richardson Jr.,8680,WR,WAS,59.7,280,100.0,2019,587,Paul Richardson Jr.,2019,26,5,"$40,000,000",8000000
Mohamed Sanu,7084,WR,NE,58.5,565,103.0,2019,859,Mohamed Sanu,2019,29,5,"$32,500,000",6500000
Willie Snead IV,8999,WR,BLT,58.4,388,104.0,2019,466,Willie Snead IV,2019,27,1,"$6,000,000",6000000
Allen Hurns,8931,WR,MIA,57.0,407,105.0,2019,321,Allen Hurns,2019,28,2,"$7,000,000",3500000
Ted Ginn Jr.,3625,WR,NO,56.7,494,107.0,2019,751,Ted Ginn Jr.,2019,33,3,"$11,000,000",3666667
Chris Hogan,6468,WR,CAR,54.9,112,111.0,2019,348,Chris Hogan,2019,31,1,"$1,450,000",1450000
Geronimo Allison,11141,WR,GB,54.4,496,114.0,2019,379,Geronimo Allison,2019,25,1,"$2,800,000",2800000
Rashard Higgins,10806,WR,CLV,53.6,113,118.0,2019,431,Rashard Higgins,2019,24,1,"$2,025,000",2025000
Chester Rogers,10918,WR,IND,50.5,242,123.0,2019,346,Chester Rogers,2019,25,1,"$3,095,000",3095000
Jarius Wright,7118,WR,CAR,47.8,528,126.0,2019,540,Jarius Wright,2019,29,3,"$7,500,000",2500000
