,team_name,year,avg_diff,win_percentage
305,JAX,2014,,0.188
306,NO,2016,,0.438
307,PHI,2016,,0.438
308,SF,2019,,0.812
309,TEN,2018,,0.562
310,WAS,2017,,0.438
311,WAS,2020,,0.438
312,CLV,2012,,0.312
313,DAL,2014,,0.75
314,JAX,2013,,0.25
315,LA,2013,,0.438
316,MIA,2015,,0.375
317,MIA,2016,,0.625
318,PIT,2020,,0.75
319,PIT,2019,,0.5
