player,player_id,position,team_name,grades_defense,snap_counts_pass_play,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
LaRon Landry,3622,S,IND,61.9,542,110.0,2013,1798,LaRon Landry,2013,28,4,"$24,000,000",6000000
Andrew Sendejo,6118,S,MIN,61.5,474,112.0,2013,1702,Andrew Sendejo,2013,25,1,"$630,000",630000
Dawan Landry,3091,S,NYJ,60.6,673,114.0,2013,1751,Dawan Landry,2013,30,2,"$3,000,000",1500000
Mike Adams,1972,S,DEN,59.8,572,117.0,2013,1981,Mike Adams,2013,31,2,"$4,000,000",2000000
Reshad Jones,5686,S,MIA,57.8,677,125.0,2013,1834,Reshad Jones,2013,25,4,"$28,012,000",7003000
Morgan Burnett,5596,S,GB,54.8,545,131.0,2013,1816,Morgan Burnett,2013,24,4,"$24,750,000",6187500
Richard Marshall,3003,CB,LAC,54.1,503,135.0,2013,1836,Richard Marshall,2013,28,1,"$855,000",855000
Patrick Chung,4957,S,PHI,54.0,513,136.0,2013,1820,Patrick Chung,2013,25,3,"$10,000,000",3333333
Tracy Porter,4354,CB,LV,53.9,619,137.0,2013,1859,Tracy Porter,2013,26,1,"$1,500,000",1500000
Ike Taylor,1437,CB,PIT,53.6,641,138.0,2013,2103,Ike Taylor,2013,33,4,"$28,000,000",7000000
Greg Toler,5055,CB,IND,53.1,286,142.0,2013,1769,Greg Toler,2013,28,3,"$14,250,000",4750000
Brandon Meriweather,3640,S,WAS,51.7,454,144.0,2013,1894,Brandon Meriweather,2013,29,2,"$6,000,000",3000000
Antonio Cromartie,2964,CB,NYJ,50.5,673,146.0,2013,2045,Antonio Cromartie,2013,29,4,"$32,000,000",8000000
Dashon Goldson,3742,S,TB,50.3,497,148.0,2013,1748,Dashon Goldson,2013,28,5,"$41,250,000",8250000
Chris Houston,3657,CB,DET,50.1,459,149.0,2013,1728,Chris Houston,2013,28,5,"$25,000,000",5000000
Shareece Wright,6241,CB,LAC,49.3,596,150.0,2013,2153,Shareece Wright,2013,26,4,"$2,584,140",646035
Thomas DeCoud,4412,S,ATL,42.4,517,155.0,2013,2020,Thomas DeCoud,2013,26,5,"$17,500,000",3500000
E.J. Biggers,5141,S,WAS,38.3,296,156.0,2013,1760,E.J. Biggers,2013,25,1,"$1,500,000",1500000
Brice McCain,5112,CB,HST,31.8,418,158.0,2013,1716,Brice McCain,2013,26,3,"$5,250,000",1750000
Eric Weddle,3653,S,LAC,92.2,652,3.0,2012,2091,Eric Weddle,2012,27,5,"$40,000,000",8000000
Charles Tillman,1351,CB,CHI,92.2,582,3.0,2012,2422,Charles Tillman,2012,31,6,"$37,000,000",6166667
Reggie Nelson,3637,S,CIN,90.2,590,8.0,2012,1995,Reggie Nelson,2012,28,4,"$18,000,000",4500000
Kerry Rhodes,2340,S,ARZ,88.5,553,11.0,2012,2384,Kerry Rhodes,2012,29,5,"$33,500,000",6700000
Quintin Mikell,1662,S,LA,88.1,612,12.0,2012,2143,Quintin Mikell,2012,31,4,"$27,000,000",6750000
Brandon Flowers,4349,CB,KC,85.7,454,13.0,2012,2052,Brandon Flowers,2012,25,6,"$49,350,000",8225000
Greg Toler,5055,CB,ARZ,84.2,200,17.0,2012,1941,Greg Toler,2012,27,1,"$1,260,000",1260000
Troy Polamalu,1332,S,PIT,83.0,245,18.0,2012,2160,Troy Polamalu,2012,31,3,"$29,600,000",9866667
Ryan Clark,1229,S,PIT,83.0,538,18.0,2012,2249,Ryan Clark,2012,32,4,"$14,000,000",3500000
Antoine Winfield,456,CB,MIN,82.3,698,20.0,2012,2267,Antoine Winfield,2012,34,5,"$33,600,000",6720000
Jason McCourty,5127,CB,TEN,81.4,651,22.0,2012,1951,Jason McCourty,2012,25,6,"$43,040,000",7173333
George Wilson,2210,S,BUF,80.9,526,23.0,2012,2095,George Wilson,2012,30,3,"$8,850,000",2950000
Tim Jennings,3007,CB,CHI,80.0,596,25.0,2012,2021,Tim Jennings,2012,28,2,"$7,600,000",3800000
Sheldon Brown,1066,CB,CLV,79.5,541,28.0,2012,2252,Sheldon Brown,2012,32,3,"$15,250,000",5083333
Ronde Barber,261,S,TB,79.4,703,29.0,2012,2003,Ronde Barber,2012,36,1,"$3,000,000",3000000
Leon Hall,3634,CB,CIN,79.2,588,30.0,2012,2124,Leon Hall,2012,27,4,"$39,000,000",9750000
Joselio Hanson,1619,CB,LV,76.6,388,32.0,2012,2116,Joselio Hanson,2012,30,2,"$1,800,000",900000
Corey Graham,3784,CB,BLT,76.5,566,33.0,2012,1913,Corey Graham,2012,26,2,"$3,950,000",1975000
Stevie Brown,5773,S,NYG,75.8,491,37.0,2012,2013,Stevie Brown,2012,24,1,"$540,000",540000
Terence Newman,1321,CB,CIN,75.6,581,39.0,2012,2015,Terence Newman,2012,33,1,"$825,000",825000
Antonio Cromartie,2964,CB,NYJ,75.4,558,40.0,2012,2045,Antonio Cromartie,2012,28,4,"$32,000,000",8000000
Brandon Browner,2512,CB,SEA,73.9,539,44.0,2012,2050,Brandon Browner,2012,27,3,"$1,245,000",415000
William Moore,4978,S,ATL,73.8,526,45.0,2012,2343,William Moore,2012,27,4,"$3,408,500",852125
Josh Wilson,3671,CB,WAS,73.3,736,46.0,2012,2118,Josh Wilson,2012,27,3,"$13,500,000",4500000
Tony Carter,5191,CB,DEN,72.9,404,48.0,2012,2023,Tony Carter,2012,25,1,"$615,000",615000
Usama Young,3682,S,CLV,72.9,364,48.0,2012,2161,Usama Young,2012,26,3,"$5,900,000",1966667
Asante Samuel,1432,CB,ATL,72.8,555,50.0,2012,1886,Asante Samuel,2012,31,3,"$14,700,000",4900000
Chris Houston,3657,CB,DET,72.5,568,51.0,2012,2071,Chris Houston,2012,27,2,"$6,000,000",3000000
Tyvon Branch,4414,S,LV,72.3,500,54.0,2012,2032,Tyvon Branch,2012,25,4,"$26,600,000",6650000
Champ Bailey,442,CB,DEN,71.9,667,56.0,2012,2064,Champ Bailey,2012,33,4,"$42,500,000",10625000
Johnathan Joseph,2969,CB,HST,71.5,612,58.0,2012,2111,Johnathan Joseph,2012,28,5,"$48,750,000",9750000
Abram Elam,3301,S,KC,70.2,262,63.0,2012,1876,Abram Elam,2012,30,1,"$850,000",850000
Dunta Robinson,1731,CB,ATL,69.7,633,66.0,2012,1935,Dunta Robinson,2012,29,4,"$34,500,000",8625000
Dashon Goldson,3742,S,SF,68.8,780,68.0,2012,1924,Dashon Goldson,2012,27,1,"$6,212,000",6212000
Jabari Greer,2057,CB,NO,68.7,522,69.0,2012,1944,Jabari Greer,2012,29,4,"$21,100,000",5275000
Michael Huff,2952,CB,LV,68.6,560,70.0,2012,2134,Michael Huff,2012,28,4,"$32,000,000",8000000
Carlos Rogers,2226,CB,SF,68.5,783,71.0,2012,1903,Carlos Rogers,2012,30,4,"$29,300,000",7325000
Keenan Lewis,5019,CB,PIT,68.5,565,71.0,2012,1963,Keenan Lewis,2012,25,1,"$1,260,000",1260000
Ike Taylor,1437,CB,PIT,68.3,384,73.0,2012,2103,Ike Taylor,2012,32,4,"$28,000,000",7000000
Kyle Arrington,4742,CB,NE,67.8,620,75.0,2012,2122,Kyle Arrington,2012,25,2,"$1,875,000",937500
Thomas DeCoud,4412,S,ATL,67.7,686,77.0,2012,2020,Thomas DeCoud,2012,25,5,"$17,500,000",3500000
LaRon Landry,3622,S,NYJ,67.6,555,78.0,2012,1967,LaRon Landry,2012,27,1,"$3,500,000",3500000
DeAngelo Hall,1729,CB,WAS,67.6,746,78.0,2012,2289,DeAngelo Hall,2012,28,6,"$55,000,000",9166667
Marcus Trufant,1327,CB,SEA,67.5,330,80.0,2012,1974,Marcus Trufant,2012,31,1,"$1,300,000",1300000
Cortland Finnegan,3160,CB,LA,66.8,623,84.0,2012,1915,Cortland Finnegan,2012,28,5,"$50,000,000",10000000
Tramon Williams,3558,CB,GB,66.2,754,86.0,2012,2255,Tramon Williams,2012,29,4,"$33,000,000",8250000
Cary Williams,4543,CB,BLT,65.6,825,88.0,2012,1904,Cary Williams,2012,27,1,"$1,927,000",1927000
Brandon Carr,4454,CB,DAL,65.3,584,90.0,2012,1891,Brandon Carr,2012,25,5,"$50,100,000",10020000
Haruki Nakamura,4520,S,CAR,65.0,313,92.0,2012,1942,Haruki Nakamura,2012,25,3,"$4,800,000",1600000
Mike Adams,1972,S,DEN,65.0,652,92.0,2012,1981,Mike Adams,2012,30,2,"$4,000,000",2000000
Jacob Lacey,5311,CB,DET,64.8,368,94.0,2012,1945,Jacob Lacey,2012,24,1,"$1,300,000",1300000
Bernard Pollard,2999,S,BLT,64.5,723,96.0,2012,1890,Bernard Pollard,2012,27,4,"$10,250,000",2562500
Steve Gregory,3326,S,NE,64.0,568,98.0,2012,2012,Steve Gregory,2012,29,3,"$7,050,000",2350000
Nate Clements,791,S,CIN,63.1,397,101.0,2012,2136,Nate Clements,2012,32,2,"$10,500,000",5250000
Cedric Griffin,2993,CB,WAS,62.9,289,104.0,2012,1905,Cedric Griffin,2012,29,1,"$2,500,000",2500000
Yeremiah Bell,1513,S,NYJ,62.8,569,105.0,2012,2039,Yeremiah Bell,2012,30,1,"$1,400,000",1400000
Dawan Landry,3091,S,JAX,62.4,614,108.0,2012,2082,Dawan Landry,2012,29,5,"$27,500,000",5500000
Kelvin Hayden,2277,CB,CHI,62.0,307,109.0,2012,1964,Kelvin Hayden,2012,28,1,"$890,000",890000
Craig Dahl,3920,S,LA,61.9,633,110.0,2012,2190,Craig Dahl,2012,26,3,"$3,600,000",1200000
Adrian Wilson,831,S,ARZ,60.6,414,114.0,2012,1878,Adrian Wilson,2012,32,4,"$16,500,000",4125000
Antoine Bethea,3152,S,IND,60.1,654,116.0,2012,2169,Antoine Bethea,2012,27,4,"$26,000,000",6500000
Donte Whitner,2953,S,SF,59.8,782,118.0,2012,2086,Donte Whitner,2012,27,3,"$11,650,000",3883333
Gerald Sensabaugh,2374,S,DAL,59.1,551,119.0,2012,2097,Gerald Sensabaugh,2012,29,6,"$25,000,000",4166667
Madieu Williams,1777,S,WAS,58.7,728,122.0,2012,1971,Madieu Williams,2012,30,1,"$890,000",890000
Josh Norman,7649,CB,CAR,58.7,470,122.0,2012,1959,Josh Norman,2012,24,4,"$2,299,000",574750
Jordan Babineaux,1980,S,TEN,58.6,460,124.0,2012,1958,Jordan Babineaux,2012,29,2,"$3,200,000",1600000
Tom Zbikowski,4400,S,IND,58.6,420,124.0,2012,2022,Tom Zbikowski,2012,26,3,"$5,685,001",1895000
Aaron Ross,3636,CB,JAX,58.4,399,126.0,2012,1875,Aaron Ross,2012,29,3,"$9,750,000",3250000
Antrel Rolle,2225,S,NYG,58.3,583,127.0,2012,2170,Antrel Rolle,2012,29,5,"$37,100,000",7420000
Erik Coleman,1864,S,DET,57.1,283,128.0,2012,1940,Erik Coleman,2012,29,1,"$890,000",890000
Charles Godfrey,4381,S,CAR,56.5,592,130.0,2012,2065,Charles Godfrey,2012,26,5,"$27,500,000",5500000
Danieal Manning,2987,S,HST,56.1,765,132.0,2012,2077,Danieal Manning,2012,29,4,"$20,000,000",5000000
William Gay,3786,CB,ARZ,55.1,564,136.0,2012,2036,William Gay,2012,26,2,"$4,950,000",2475000
Jimmy Wilson,6387,CB,MIA,55.0,423,137.0,2012,2109,Jimmy Wilson,2012,25,4,"$2,085,900",521475
Quentin Jammer,1013,CB,LAC,54.0,625,140.0,2012,2398,Quentin Jammer,2012,32,7,"$31,825,000",4546429
Chris Prosinski,6273,S,JAX,53.9,396,141.0,2012,2072,Chris Prosinski,2012,25,4,"$2,640,144",660036
Nnamdi Asomugha,1347,CB,PHI,53.8,549,142.0,2012,2139,Nnamdi Asomugha,2012,31,5,"$60,000,000",12000000
Matt Giordano,2352,S,LV,53.7,488,143.0,2012,1978,Matt Giordano,2012,29,1,"$825,000",825000
Ellis Lankster,5144,CB,NYJ,52.9,254,145.0,2012,1938,Ellis Lankster,2012,24,2,"$1,170,000",585000
Atari Bigby,2496,S,LAC,51.6,388,147.0,2012,1887,Atari Bigby,2012,30,2,"$2,500,000",1250000
Corey Webster,2260,CB,NYG,49.9,592,150.0,2012,2286,Corey Webster,2012,29,6,"$43,500,000",7250000
Michael Griffin,3635,S,TEN,45.1,643,157.0,2012,1979,Michael Griffin,2012,27,5,"$35,000,000",7000000
Roman Harper,2988,S,NO,41.5,663,159.0,2012,2148,Roman Harper,2012,29,4,"$25,000,000",6250000
