player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Jelani Jenkins,7886,LB,MIA,13,15,2.7,0,0,17,56.7,60.4,59.2,60.5,64.5,73.9,8.1,5,1,297,307,9.8,29,42
Duke Williams,7887,S,BUF,11,1,6.2,0,0,4,58.6,64.1,80.8,76.0,66.2,29.7,18.8,3,0,115,117,3.5,4,12
Shamarko Thomas,7893,S,PIT,5,0,3.0,0,0,25,62.8,49.7,76.9,59.0,59.0,75.8,0.0,0,0,13,13,7.7,1,2
B.W. Webb,7896,CB,TEN,7,0,13.3,0,0,31,39.5,43.3,82.5,69.3,62.9,78.1,0.0,0,1,84,89,0.0,0,3
Gerald Hodges,7902,LB,SF,14,8,3.1,0,0,28,37.4,52.0,47.7,90.5,65.3,73.6,6.8,3,2,271,284,7.4,20,33
William Gholston,7908,ED,TB,16,13,1.6,1,1,30,55.0,65.7,26.4,62.2,74.7,80.0,4.3,2,7,338,346,7.7,26,32
Malliciah Goodman,7909,ED,ATL,4,1,,0,0,2,60.9,56.0,82.9,57.2,51.6,43.2,0.0,0,0,26,27,0.0,0,0
John Simon,7911,ED,HST,17,5,3.8,0,0,13,61.3,67.0,74.1,60.8,70.7,46.9,14.7,5,1,223,230,6.3,14,24
Devin Taylor,7914,ED,DET,15,4,3.4,0,0,11,67.0,66.4,91.0,60.8,59.1,59.0,19.0,4,1,164,169,5.5,9,13
Montori Hughes,7921,DI,NYG,7,2,-0.5,0,0,21,55.9,44.9,82.5,56.8,43.9,69.8,0.0,0,0,70,70,2.9,2,2
Jonathan Meeks,7925,S,BUF,2,0,,0,0,4,61.7,65.0,74.9,56.5,60.0,,,0,0,5,5,0.0,0,0
Steve Williams,7927,CB,SD,10,1,3.5,0,0,27,48.2,55.1,25.0,93.0,77.6,26.9,0.0,0,5,114,116,0.9,1,2
A.J. Klein,7930,LB,CAR,11,2,1.3,0,0,5,74.1,78.1,87.1,62.8,71.7,70.3,8.7,2,2,108,111,13.0,14,19
Cooper Taylor,7934,S,NYG,4,0,9.0,0,0,21,57.2,58.1,76.5,,60.7,66.8,0.0,0,0,9,9,0.0,0,1
Quinton Dial,7939,DI,SF,15,13,2.4,0,0,28,64.1,62.4,62.5,58.9,62.5,70.4,8.5,4,2,305,319,6.9,21,30
Micah Hyde,7941,S,GB,17,1,13.5,0,0,12,69.6,65.7,83.2,59.8,50.6,60.2,17.6,3,2,220,221,1.8,4,13
Josh Boyd,7949,DI,GB,2,0,5.0,0,0,12,,70.5,76.1,81.2,54.6,67.4,0.0,0,0,11,11,0.0,0,1
Josh Evans,7951,S,JAX,15,3,6.4,0,1,15,56.9,56.5,51.7,68.1,56.2,46.0,20.0,6,2,213,219,3.3,7,21
Rufus Johnson,7964,LB,NE,1,0,,0,0,19,60.0,45.9,73.2,52.2,53.6,66.8,,0,0,3,3,0.0,0,0
Rex Burkhead,7971,WR,CIN,1,0,,0,1,7,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Bacarri Rambo,7972,S,BUF,14,6,6.8,0,1,4,57.4,62.3,85.8,59.7,73.5,68.8,14.8,4,0,220,231,2.3,5,17
Nate Palmer,7974,LB,GB,12,12,3.3,0,0,12,41.2,38.3,87.4,42.2,47.7,60.0,8.7,4,1,228,233,7.0,16,30
Kapron Lewis-Moore,7981,ED,BLT,5,0,4.0,0,0,3,60.0,48.3,77.7,50.6,51.3,70.5,0.0,0,0,19,19,0.0,0,1
Stacy McGee,7987,DI,OAK,16,4,2.6,0,0,23,66.1,58.9,68.6,48.0,67.8,60.7,4.8,1,1,160,163,8.8,14,16
Vince Williams,7988,LB,PIT,15,5,2.2,0,0,25,67.6,79.4,85.6,84.1,73.4,75.6,0.0,0,0,83,88,12.0,10,14
Mike Catapano,7989,DI,NYJ,2,0,6.0,0,0,22,62.9,59.6,81.9,59.7,53.2,71.2,0.0,0,0,3,3,33.3,1,1
Jeremy Harris,7990,CB,WAS,1,0,,0,0,32,75.0,74.8,77.2,,60.0,72.8,,0,0,3,3,0.0,0,0
Demetrius McCray,7992,CB,JAX,10,2,4.0,0,0,15,57.4,60.4,83.3,,76.3,66.0,0.0,0,0,57,58,0.0,0,1
Michael Mauti,7995,LB,NO,10,4,5.6,0,0,20,56.4,69.4,82.9,62.8,75.2,75.2,0.0,0,0,97,102,7.2,7,14
Armonty Bryant,7999,ED,CLV,14,5,0.9,0,1,8,59.0,60.0,50.9,59.1,63.3,68.3,8.0,2,2,198,203,8.1,16,18
Jordan Poyer,8000,S,CLV,13,2,7.7,0,0,8,63.5,58.7,41.2,59.9,47.7,30.6,32.0,8,2,149,154,4.7,7,15
Nick Williams,8006,DI,KC,14,2,2.8,0,0,16,,54.9,51.1,50.9,62.6,33.2,22.2,2,1,77,78,5.2,4,5
Sam Barrington,8015,LB,GB,1,0,4.0,0,0,12,51.6,57.6,71.2,,66.6,71.4,0.0,0,0,6,6,16.7,1,1
David Bass,8016,ED,TEN,15,7,2.9,0,0,31,69.5,56.3,60.1,57.8,51.0,58.7,11.1,3,2,217,231,4.6,10,17
David King,8022,DI,KC,4,0,1.0,0,0,16,,59.8,77.9,72.9,45.0,68.4,0.0,0,0,20,21,5.0,1,1
Kemal Ishmael,8026,S,ATL,13,3,3.2,1,0,2,69.2,71.1,38.0,65.1,71.5,59.6,13.6,3,2,142,147,7.0,10,16
Daimion Stafford,8031,S,TEN,13,2,8.3,0,0,31,57.4,58.8,30.6,52.5,68.6,35.9,18.2,2,1,112,121,1.8,2,7
Marcus Cooper,8035,CB,KC,3,0,11.0,0,0,16,52.8,56.8,80.2,,71.1,76.9,0.0,0,2,36,36,0.0,0,2
Damion Square,8042,DI,SD,6,1,4.0,0,0,27,60.0,56.0,46.5,61.4,55.4,71.5,0.0,0,1,78,79,2.6,2,3
Josh McNary,8073,LB,IND,4,1,2.9,0,0,14,71.1,62.7,85.0,67.6,51.1,48.2,18.2,2,0,58,60,8.6,5,8
Daren Bates,8077,LB,SL,3,1,3.0,0,0,26,71.7,68.9,73.6,59.2,60.9,55.6,25.0,1,0,16,17,12.5,2,2
Ezekiel Ansah,8094,ED,DET,16,5,6.0,1,1,11,69.7,75.6,21.9,78.3,67.3,33.5,17.2,5,8,226,230,6.2,14,19
Rontez Miles,8102,S,NYJ,6,3,1.8,0,0,22,65.6,73.1,77.8,71.7,73.8,89.9,0.0,0,0,46,48,8.7,4,6
Jumal Rolle,8105,CB,BLT,4,0,,0,0,3,57.1,57.2,77.9,,56.9,75.1,,0,0,34,35,0.0,0,0
A.J. Bouye,8110,CB,HST,11,0,8.0,0,0,13,59.1,58.3,10.3,,62.9,67.8,25.0,1,1,66,70,0.0,0,3
Jahleel Addae,8117,S,SD,13,7,8.7,0,0,27,57.9,58.9,4.1,87.6,61.8,61.4,16.3,7,4,262,268,3.1,8,29
Charles James II,8120,CB,HST,5,0,-1.0,0,0,13,68.5,70.7,80.1,50.4,84.6,84.4,0.0,0,0,29,30,6.9,2,2
Paul Worrilow,8141,LB,ATL,15,9,3.6,0,1,2,52.6,46.4,63.9,65.7,41.6,47.5,16.1,9,1,359,371,6.1,22,38
Marcus Burley,8142,CB,SEA,9,0,3.5,0,0,29,73.8,77.3,81.2,64.6,85.3,86.5,0.0,0,0,51,51,5.9,3,4
Andy Mulumba,8151,LB,GB,3,2,,0,0,12,,56.7,76.9,52.6,61.8,72.4,33.3,1,0,18,18,0.0,0,0
Earl Okine,8155,DI,IND,5,2,3.3,0,0,14,,53.0,78.1,62.4,49.6,73.2,0.0,0,0,34,34,5.9,2,4
Frankie Hammond,8156,WR,KC,1,0,,0,0,16,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Lerentee McCray,8159,ED,DEN,9,1,1.2,0,0,10,47.7,63.2,0.3,53.6,86.7,70.1,9.1,1,2,51,52,15.7,8,9
Abry Jones,8177,DI,JAX,15,1,1.4,0,0,15,70.4,59.5,86.4,60.9,53.3,49.0,14.3,2,0,195,197,5.1,10,11
T.J. Barnes,8184,DI,BUF,9,1,4.0,0,0,4,,64.5,78.8,68.0,57.7,70.6,0.0,0,0,25,26,4.0,1,1
Benson Mayowa,8196,ED,OAK,12,2,2.1,0,1,23,56.5,55.9,71.2,53.5,62.0,79.4,0.0,0,1,103,105,3.9,4,8
Justin Staples,8202,ED,TEN,4,0,,0,0,31,60.8,53.4,75.1,57.5,52.3,,,0,0,10,10,0.0,0,0
Bradley McDougald,8220,S,TB,16,5,6.1,0,0,30,61.8,63.2,89.0,58.6,62.6,64.0,17.0,8,2,362,370,2.2,8,34
Justin Tuggle,8225,LB,HST,8,2,6.3,0,0,13,57.2,51.7,80.0,53.1,52.6,63.5,11.1,1,0,47,47,8.5,4,6
A.J. Francis,8261,DI,SEA,3,0,6.0,0,0,29,,48.0,76.4,59.1,46.2,68.6,0.0,0,0,13,13,0.0,0,1
Ray-Ray Armstrong,8271,LB,SF,9,0,4.7,0,0,28,53.4,54.0,83.3,70.1,48.2,67.9,14.3,1,0,72,74,2.8,2,6
Will Compton,8308,LB,WAS,16,20,3.4,0,0,32,45.3,43.6,87.8,51.7,47.6,61.7,11.1,6,0,297,308,4.7,14,28
Kevin Reddick,8326,LB,BUF,3,0,6.0,0,0,4,54.1,56.1,76.3,,60.6,73.8,0.0,0,0,20,21,5.0,1,1
Rashaan Melvin,8334,CB,NE,5,0,,0,0,19,27.8,27.5,0.0,,64.1,77.0,,0,4,18,18,0.0,0,0
Casey Walker,8355,DI,DAL,2,0,,0,0,9,,46.5,79.5,52.8,47.8,,,0,0,40,42,0.0,0,0
Demontre Hurst,8359,S,CHI,2,0,4.0,1,0,6,66.4,62.4,0.0,51.3,69.3,78.6,0.0,0,1,19,19,0.0,0,2
Tony Jefferson,8361,S,ARZ,18,10,5.1,0,1,1,60.4,65.4,86.2,56.8,74.9,83.5,9.5,4,0,268,274,5.2,14,28
Brandon Copeland,8378,ED,DET,9,0,1.9,0,0,11,,62.9,82.7,48.5,74.5,75.1,0.0,0,0,31,31,19.4,6,7
Stefan Charles,8387,DI,BUF,13,3,4.3,0,0,4,59.2,57.0,29.9,57.3,63.1,39.5,8.3,1,2,111,114,2.7,3,8
Jeff Heath,8396,S,DAL,8,0,10.4,0,0,9,58.8,61.5,82.4,56.5,67.1,64.9,0.0,0,1,72,75,1.4,1,7
Chris Banjo,8419,S,GB,6,0,13.0,0,0,12,72.3,74.7,76.7,74.2,55.7,81.9,0.0,0,0,24,25,0.0,0,1
Steven Terrell,8450,S,SEA,3,0,,0,0,29,72.1,76.1,72.8,,60.0,75.2,,0,0,4,4,0.0,0,0
