player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Justin Smith,776,DI,SF,17,15,2.5,0,1,28,67.1,65.2,68.0,52.8,74.7,78.4,1.4,1,2,350,355,11.7,41,55
Richard Seymour,778,DI,OAK,8,1,0.9,0,0,23,57.3,71.9,31.0,65.5,77.5,42.3,15.4,2,3,128,130,7.8,10,10
Andre Carter,779,ED,OAK,12,3,2.0,0,0,23,61.4,68.0,81.4,64.0,64.5,77.2,0.0,0,0,124,126,5.6,7,9
Casey Hampton,789,DI,PIT,16,6,0.1,0,0,25,59.8,55.0,38.2,51.1,61.7,78.1,0.0,0,3,256,260,4.3,11,12
Nate Clements,791,S,CIN,12,3,8.2,0,0,7,64.2,63.1,84.8,53.9,57.3,68.4,14.3,4,2,261,266,2.3,6,21
Ryan Pickett,799,DI,GB,18,9,2.2,0,0,12,61.9,67.3,57.4,52.2,73.7,80.7,0.0,0,1,365,373,6.8,25,35
Kyle Vanden Bosch,804,ED,DET,16,3,1.8,1,0,11,64.7,41.8,23.7,56.9,37.0,49.5,20.0,5,5,252,256,4.8,12,17
Adrian Wilson,831,S,ARZ,15,3,7.2,0,0,1,63.7,60.6,25.5,79.3,50.2,76.8,13.3,4,3,422,432,1.9,8,23
Ron Edwards,838,DI,CAR,11,1,2.5,0,0,5,60.0,52.4,84.5,57.9,48.9,41.9,10.0,1,0,157,163,3.2,5,8
Juqua Parker,995,ED,CLV,16,0,1.8,1,1,8,60.5,72.2,39.5,72.2,65.7,43.4,22.2,4,4,117,124,8.5,10,14
Julius Peppers,1010,ED,CHI,16,2,1.6,0,0,6,66.4,74.5,42.8,76.3,61.3,79.9,0.0,0,4,259,264,5.8,15,19
Quentin Jammer,1013,CB,SD,16,4,6.5,0,1,27,50.1,54.0,88.7,57.3,72.0,72.3,6.3,1,9,356,364,1.7,6,11
Dwight Freeney,1019,ED,IND,15,2,0.4,0,0,14,67.8,70.3,63.6,73.1,55.7,77.0,10.0,1,2,251,255,2.4,6,7
Bryan Thomas,1029,ED,NYJ,12,2,1.3,0,0,22,51.7,70.1,83.3,62.4,73.0,72.5,0.0,0,0,213,216,5.2,11,16
Edward Reed,1031,S,BLT,20,7,9.3,0,0,3,82.4,73.0,2.4,59.9,64.8,47.1,20.0,9,5,549,574,1.1,6,29
Sheldon Brown,1066,CB,CLV,14,2,3.8,0,0,8,72.3,79.5,65.3,98.8,81.4,79.1,10.0,2,8,326,338,2.1,7,16
Will Witherspoon,1079,LB,TEN,10,6,3.7,0,0,31,68.7,62.1,31.5,90.9,43.6,63.1,10.0,3,1,153,159,5.9,9,21
Chris Hope,1097,S,ATL,7,2,6.3,0,0,2,51.0,48.4,8.9,42.4,61.3,50.6,23.1,3,1,100,100,2.0,2,8
Larry Foote,1126,LB,PIT,16,10,2.8,0,1,25,65.8,59.7,76.1,59.0,52.2,72.5,7.6,5,1,375,381,9.1,34,51
Justin Bannan,1134,DI,DEN,17,3,2.2,0,1,10,67.3,74.0,59.7,57.2,76.3,78.6,2.7,1,2,297,302,8.4,25,33
Scott Fujita,1137,LB,CLV,4,1,2.6,0,0,8,61.3,70.8,70.5,63.7,71.8,84.3,0.0,0,0,67,70,10.4,7,8
Rocky Bernard,1139,DI,NYG,12,8,2.9,0,0,21,63.1,65.2,86.7,63.3,60.3,77.0,0.0,0,0,213,217,6.1,13,17
Kenyon Coleman,1140,DI,DAL,7,3,2.5,0,1,9,60.5,70.6,42.9,57.4,76.2,61.7,6.7,1,1,87,89,8.0,7,11
Brett Keisel,1204,DI,PIT,16,8,2.3,0,0,25,80.8,55.4,55.1,52.8,59.2,74.8,3.3,1,3,331,336,4.8,16,21
Ryan Clark,1229,S,PIT,15,9,5.0,0,2,25,79.5,83.0,29.4,45.2,90.0,77.3,8.8,6,2,339,344,6.8,23,53
James Harrison,1251,ED,PIT,13,12,2.4,0,1,25,54.1,68.7,54.9,66.6,76.0,67.3,4.2,2,3,307,312,9.1,28,34
Ma'ake Kemoeatu,1267,DI,BLT,19,7,3.6,0,0,3,68.1,59.2,85.0,51.8,60.0,71.6,6.3,2,0,286,301,5.2,15,23
Bart Scott,1303,LB,NYJ,15,9,2.1,0,0,22,50.7,61.6,80.7,75.5,61.5,58.4,17.2,10,2,329,337,9.1,30,39
Terence Newman,1321,CB,CIN,16,3,4.3,1,0,7,73.8,75.6,60.4,53.4,79.9,87.3,4.2,1,4,356,363,3.1,11,20
Kevin Williams,1325,DI,MIN,17,6,2.0,1,0,18,64.6,68.5,54.3,68.2,64.1,39.3,27.0,10,5,285,292,4.6,13,21
Terrell Suggs,1326,ED,BLT,12,4,2.4,0,0,3,68.3,61.7,46.8,56.0,68.0,77.6,3.6,1,2,236,243,6.4,15,23
Marcus Trufant,1327,CB,SEA,13,0,4.3,0,1,29,62.9,67.5,84.7,69.8,88.6,79.4,0.0,0,1,62,63,4.8,3,4
Ty Warren,1329,DI,DEN,1,0,,0,0,10,,56.3,70.7,,57.4,,,0,0,5,5,0.0,0,0
Troy Polamalu,1332,S,PIT,7,2,5.6,0,0,25,73.8,83.0,27.6,80.8,88.8,76.5,14.3,3,1,139,141,5.8,8,16
Calvin Pace,1334,ED,NYJ,16,7,3.4,0,0,22,49.0,62.9,86.1,57.2,71.3,39.9,14.3,5,1,456,470,3.1,14,23
Nick Barnett,1345,LB,BUF,16,14,3.2,0,2,4,64.3,68.2,80.0,54.5,71.3,83.3,6.0,4,0,425,433,7.5,32,49
Nnamdi Asomugha,1347,CB,PHI,16,3,7.1,1,0,24,47.2,53.8,90.0,52.1,77.8,66.8,13.3,4,7,422,435,2.6,11,23
Charles Tillman,1351,CB,CHI,16,2,7.8,0,1,6,91.9,92.2,65.9,56.9,83.1,82.8,11.8,2,2,333,339,1.8,6,13
Rashean Mathis,1355,CB,JAX,12,1,6.0,1,0,15,54.4,57.3,85.9,,71.0,61.9,0.0,0,5,173,174,1.2,2,2
Drayton Florence,1362,CB,DET,7,1,9.3,0,0,11,57.5,55.5,25.2,59.0,53.2,28.3,22.2,2,2,86,88,2.3,2,6
Chris Kelsay,1364,ED,BUF,9,5,0.7,0,0,4,76.2,65.9,56.9,65.4,56.5,56.8,8.3,1,1,138,139,3.6,5,6
Bryan Scott,1370,LB,BUF,16,7,4.7,1,1,4,78.2,67.2,79.0,55.4,46.3,73.4,6.7,2,1,170,171,8.2,14,21
Osi Umenyiora,1371,ED,NYG,16,10,2.4,2,0,21,70.8,68.9,46.0,71.9,51.9,65.6,11.1,3,3,198,208,6.1,12,14
Cory Redding,1381,DI,IND,15,7,1.4,0,1,14,63.8,53.7,49.1,60.1,50.1,66.1,3.1,1,2,224,226,8.5,19,24
Lance Briggs,1383,LB,CHI,16,9,3.4,0,1,6,73.3,70.0,60.2,69.7,62.9,78.6,11.5,7,1,355,361,9.0,32,45
Chris Crocker,1399,S,CIN,13,2,7.7,1,0,7,69.3,70.3,45.0,53.0,73.0,71.7,10.5,2,1,208,211,1.9,4,15
Bradie James,1416,LB,HST,17,11,3.5,0,1,13,61.2,59.3,59.3,55.7,60.3,76.4,5.2,3,3,313,317,8.6,27,44
Jarret Johnson,1421,ED,SD,15,5,1.7,0,0,27,53.7,64.0,86.2,66.6,62.6,49.7,15.4,4,0,242,247,6.6,16,17
Terrence McGee,1423,CB,BUF,7,2,14.0,0,0,4,46.8,47.9,81.0,,54.9,38.4,16.7,1,0,54,54,0.0,0,3
Nick Eason,1426,DI,ARZ,16,3,4.0,0,0,1,,45.9,51.8,54.7,46.9,74.3,0.0,0,1,117,120,1.7,2,4
Asante Samuel,1432,CB,ATL,16,0,4.3,0,0,2,80.1,72.8,65.0,49.8,30.7,25.6,72.7,8,2,363,369,0.6,2,3
Ike Taylor,1437,CB,PIT,11,2,4.2,1,0,25,65.9,68.3,56.2,51.7,79.0,63.5,8.3,1,7,257,262,1.2,3,9
Robert Mathis,1447,ED,IND,13,3,2.2,0,0,14,33.1,59.5,46.0,77.6,51.5,56.8,8.3,2,2,272,280,5.9,16,19
Aubrayo Franklin,1455,DI,SD,12,1,2.2,0,0,27,47.1,72.0,82.0,60.3,74.3,36.3,9.5,2,0,144,147,11.1,16,18
Antonio Garay,1497,DI,SD,8,1,3.4,0,0,27,60.0,61.0,8.2,74.1,55.7,55.3,10.0,1,2,69,70,8.7,6,8
Yeremiah Bell,1513,S,NYJ,16,6,9.6,0,0,22,60.4,62.8,85.2,57.1,65.5,77.8,13.3,6,2,474,489,1.9,9,33
Mario Haggan,1526,LB,SL,10,3,2.3,0,0,26,29.7,40.2,69.9,78.0,50.5,45.7,14.3,1,1,40,40,5.0,2,3
Chris Johnson,1539,CB,BLT,4,0,3.0,0,0,3,44.7,47.6,78.8,,66.9,80.2,0.0,0,1,20,23,5.0,1,1
Scott Shanle,1545,LB,NO,7,4,8.0,0,0,20,53.8,49.6,72.2,62.9,47.8,69.7,7.7,1,0,115,117,1.7,2,8
Chris Clemons,1585,ED,SEA,17,8,3.2,0,0,29,65.7,78.9,37.2,90.0,54.4,49.8,8.7,2,5,303,310,3.3,10,13
Joselio Hanson,1619,CB,OAK,15,1,4.8,0,0,23,79.0,76.6,86.3,51.6,63.2,74.6,15.4,2,0,161,165,3.7,6,10
Israel Idonije,1632,ED,CHI,16,6,2.0,0,0,6,60.7,76.6,44.4,77.1,68.4,61.9,6.1,2,4,233,237,8.6,20,25
Cullen Jenkins,1637,DI,PHI,16,2,2.1,1,0,24,63.0,59.1,65.0,70.8,44.3,39.8,22.7,5,2,228,237,4.4,10,15
Quintin Mikell,1662,S,SL,16,6,4.8,0,1,26,63.0,88.1,62.4,97.4,86.8,75.8,9.6,5,1,399,409,5.5,22,41
Shaun Smith,1702,DI,KC,8,1,2.9,0,0,16,,60.9,34.6,49.0,69.2,74.8,0.0,0,1,82,85,8.5,7,11
Tracy White,1716,LB,NE,8,1,2.0,0,0,19,71.2,73.2,74.6,76.7,63.0,38.0,30.0,3,0,25,27,16.0,4,6
DeAngelo Hall,1729,CB,WAS,17,4,4.8,0,0,32,66.9,67.6,11.0,71.6,72.0,58.3,14.8,4,7,361,368,3.3,12,19
Dunta Robinson,1731,CB,ATL,18,7,5.5,1,1,2,61.1,69.7,90.4,90.4,90.1,65.0,8.8,3,3,406,412,3.2,13,24
Jonathan Vilma,1733,LB,NO,11,13,2.4,0,0,20,59.2,57.7,74.0,69.6,53.7,41.5,15.8,6,0,208,217,6.3,13,19
D.J. Williams,1738,LB,DEN,8,5,1.2,0,0,10,81.5,79.0,76.7,45.7,74.7,86.4,0.0,0,0,59,63,10.2,6,6
Will Smith,1739,ED,NO,16,12,2.2,0,0,20,47.8,56.0,67.8,53.7,64.7,70.2,0.0,0,2,377,387,5.3,20,28
Vince Wilfork,1742,DI,NE,18,8,1.1,1,0,19,69.6,66.3,32.4,63.6,66.3,74.8,4.7,2,7,371,380,8.6,32,33
Jason Babin,1748,ED,JAX,16,3,1.7,2,0,15,63.2,72.6,0.0,79.0,65.8,79.6,0.0,0,9,235,243,6.4,15,19
Chris Gamble,1749,CB,CAR,4,1,12.5,0,0,5,64.6,65.2,83.6,60.0,63.5,58.7,16.7,1,1,106,108,0.9,1,4
Karlos Dansby,1754,LB,MIA,16,15,2.9,0,0,17,67.2,76.0,84.4,56.6,84.0,84.4,5.8,5,1,395,405,11.6,46,66
Daryl Smith,1760,LB,JAX,2,1,1.5,0,0,15,43.3,55.0,71.8,66.4,64.1,54.3,16.7,1,0,56,58,7.1,4,4
Dwan Edwards,1772,DI,CAR,14,7,2.0,1,0,5,64.9,57.5,67.0,60.9,52.5,60.5,11.1,4,2,274,283,8.4,23,25
Madieu Williams,1777,S,WAS,17,14,8.8,0,0,32,54.2,58.7,39.0,66.5,68.9,60.6,12.7,8,3,359,366,3.9,14,41
Shawntae Spencer,1779,CB,OAK,2,0,1.0,0,0,23,64.3,62.3,81.3,,51.4,37.9,50.0,1,1,46,46,2.2,1,1
Darnell Dockett,1785,DI,ARZ,15,3,2.7,0,0,1,68.0,42.9,77.7,54.3,34.6,39.7,10.0,3,1,349,358,5.4,19,24
Randy Starks,1792,DI,MIA,16,4,1.6,0,0,17,53.6,60.4,78.8,65.2,54.7,37.4,16.7,4,1,305,310,3.9,12,16
Shaun Phillips,1819,ED,SD,16,6,3.9,1,0,27,73.6,62.9,48.2,69.2,48.5,52.2,15.4,4,4,314,321,2.2,7,16
Demorrio Williams,1822,LB,SD,14,4,4.2,0,0,27,73.0,66.7,78.9,67.8,49.4,71.7,5.9,1,0,124,126,5.6,7,12
Isaac Sopoaga,1825,DI,SF,17,4,1.9,0,0,28,59.4,44.9,83.4,56.3,42.1,63.6,4.3,1,0,222,230,6.3,14,18
Will Allen,1832,S,PIT,13,7,6.7,0,0,25,61.7,64.8,82.6,52.5,70.3,57.8,17.6,3,0,178,182,1.1,2,7
Niko Koutouvides,1837,LB,NE,4,0,,0,0,19,62.2,64.7,69.1,,61.7,,,0,0,6,6,0.0,0,0
Robert Geathers,1838,ED,CIN,17,3,2.5,0,0,7,59.3,59.6,87.2,56.3,60.2,28.5,23.1,6,0,254,261,4.7,12,17
Jared Allen,1847,ED,MIN,17,5,1.9,1,0,18,62.9,70.3,18.4,74.9,62.8,77.6,7.1,3,8,378,386,8.2,31,34
Antonio Smith,1856,DI,HST,18,4,2.6,0,0,13,67.8,73.2,35.0,76.9,58.6,79.6,0.0,0,6,273,280,5.9,16,20
Erik Coleman,1864,S,DET,11,5,7.3,0,0,11,56.5,57.1,82.5,53.8,60.2,60.7,17.2,5,0,177,179,3.4,6,19
Corey Williams,1897,DI,DET,7,1,1.5,0,0,11,,70.8,7.4,72.4,71.5,72.3,0.0,0,2,73,76,5.5,4,6
Jacques Reeves,1938,CB,KC,1,0,,0,0,16,37.4,40.6,77.4,,63.7,77.8,,0,0,20,20,0.0,0,0
Mike Adams,1972,S,DEN,17,7,6.7,0,1,10,53.5,65.0,64.1,81.8,81.1,86.5,10.6,5,3,395,404,4.1,16,35
Jordan Babineaux,1980,S,TEN,15,6,7.4,0,0,31,51.3,58.6,53.3,87.9,72.6,70.3,11.1,5,3,287,303,4.5,13,34
Jabari Greer,2057,CB,NO,14,2,5.1,0,0,20,71.4,68.7,88.4,45.7,49.6,40.8,29.4,5,2,286,296,2.1,6,10
Spencer Johnson,2084,DI,BUF,14,3,2.6,0,0,4,63.3,66.1,58.1,76.8,51.9,62.1,7.7,1,1,119,122,5.9,7,9
Tommy Kelly,2093,DI,OAK,16,6,2.0,0,0,23,56.0,56.8,9.7,61.2,63.5,60.7,0.0,0,9,325,336,6.8,22,28
George Wilson,2210,S,BUF,16,10,7.9,0,1,4,73.9,80.9,86.1,74.9,85.6,86.9,9.0,6,1,364,371,6.0,22,51
Adam Jones,2223,CB,CIN,16,2,7.2,0,1,7,80.3,80.4,24.0,79.1,75.0,70.0,12.5,1,4,159,162,0.6,1,5
Antrel Rolle,2225,S,NYG,16,7,8.7,0,0,21,51.0,58.3,62.2,61.7,75.3,77.3,12.5,6,0,416,432,2.4,10,35
Carlos Rogers,2226,CB,SF,19,2,4.2,0,0,28,66.5,68.5,70.8,55.2,75.5,87.8,20.0,3,4,438,447,0.5,2,10
DeMarcus Ware,2228,ED,DAL,16,6,2.5,1,0,9,40.7,71.1,3.9,86.3,61.7,60.8,9.1,3,8,345,352,5.8,20,24
Shawne Merriman,2229,ED,BUF,10,5,3.2,0,0,4,62.8,67.9,11.3,63.7,72.3,81.6,0.0,0,2,94,98,6.4,6,10
Thomas Davis Sr.,2231,LB,CAR,15,10,3.5,0,1,5,77.6,72.8,36.0,55.8,69.1,56.5,12.5,6,4,272,282,6.6,18,32
Derrick Johnson,2232,LB,KC,16,10,2.4,0,2,16,69.2,79.7,70.7,66.7,82.5,70.0,7.5,7,1,442,452,13.6,60,76
Marcus Spears,2237,DI,DAL,15,2,1.7,0,0,9,60.0,57.6,84.6,55.0,58.1,57.5,11.1,2,0,200,202,5.5,11,14
Mike Patterson,2248,DI,PHI,5,1,1.0,0,0,24,,62.0,38.9,70.3,57.2,70.3,0.0,0,1,65,67,3.1,2,2
Barrett Ruud,2253,LB,HST,9,2,4.4,0,0,13,70.0,51.7,82.5,57.0,38.1,61.4,16.7,2,0,82,84,4.9,4,8
Shaun Cody,2254,DI,HST,15,2,2.9,0,0,13,60.0,52.4,58.9,54.6,54.0,62.1,7.1,1,1,153,157,6.5,10,11
Stanford Routt,2255,CB,HST,7,0,12.5,1,0,13,55.0,53.7,86.7,,47.0,50.9,20.0,1,4,183,186,0.5,1,4
Kevin Burnett,2259,LB,MIA,16,14,3.7,0,0,17,62.8,71.0,78.2,69.2,75.5,75.8,6.5,5,1,384,393,9.9,38,58
Corey Webster,2260,CB,NYG,16,3,6.8,2,0,21,47.0,49.9,67.5,,66.7,65.6,0.0,0,6,408,424,0.5,2,4
Ronald Bartell,2267,CB,DET,7,1,11.7,0,0,11,52.0,55.6,86.7,70.4,65.2,73.4,11.1,1,1,183,188,1.6,3,7
Jonathan Babineaux,2276,DI,ATL,18,6,1.9,0,0,2,60.9,61.9,87.4,58.0,61.6,37.4,17.5,7,0,359,364,6.4,23,27
Kelvin Hayden,2277,CB,CHI,13,4,6.6,0,0,6,61.5,62.0,86.1,41.0,67.5,48.1,21.4,3,0,151,155,2.0,3,7
Justin Tuck,2291,ED,NYG,15,5,2.9,1,0,21,73.0,69.3,62.9,67.2,64.0,57.1,11.4,4,2,234,241,7.3,17,26
Sione Pouha,2305,DI,NYJ,12,4,3.0,0,0,22,57.2,67.3,83.6,55.0,68.6,78.3,0.0,0,0,196,199,8.2,16,23
Leroy Hill,2315,LB,SEA,15,10,4.2,0,0,29,59.5,63.6,75.4,60.1,66.3,74.5,7.9,3,0,237,244,7.2,17,25
Sean Considine,2319,S,BLT,4,0,,0,0,3,56.8,58.7,75.2,60.0,64.4,75.2,,0,0,26,26,0.0,0,0
Travis Daniels,2321,S,KC,13,0,11.3,0,0,16,54.2,49.4,82.0,57.3,38.7,30.0,20.0,1,0,93,93,2.2,2,4
Kerry Rhodes,2340,S,ARZ,15,9,9.0,0,0,1,85.7,88.5,86.4,68.6,85.9,79.4,9.3,4,0,448,459,2.9,13,30
Brady Poppinga,2342,LB,DAL,3,1,5.5,0,0,9,58.3,45.8,80.4,54.7,44.2,77.7,0.0,0,1,32,32,3.1,1,4
Chris Canty,2349,DI,NYG,9,6,2.4,0,0,21,54.6,71.6,83.6,73.9,66.2,76.3,4.3,1,0,151,158,8.6,13,16
James Sanders,2350,S,ARZ,6,3,13.3,0,0,1,54.9,63.4,76.7,75.3,74.8,86.7,0.0,0,0,33,34,0.0,0,3
Matt Giordano,2352,S,OAK,16,5,13.9,0,0,23,50.6,53.7,82.7,43.7,62.3,63.7,12.5,3,1,303,314,1.3,4,16
Trent Cole,2363,ED,PHI,16,4,2.5,1,0,24,61.3,74.1,76.2,73.3,64.4,81.4,0.0,0,2,290,301,8.6,25,30
Gerald Sensabaugh,2374,S,DAL,15,2,15.8,0,1,9,62.3,59.1,85.1,46.0,50.8,54.1,25.0,6,0,392,400,0.8,3,16
Michael Boley,2377,LB,NYG,15,7,3.4,0,0,21,54.1,55.4,58.4,58.3,57.9,79.0,4.7,2,1,313,327,7.0,22,34
Chris Harris,2398,S,JAX,2,0,,0,0,15,52.1,50.9,71.2,,60.0,75.2,,0,0,3,3,0.0,0,0
C.J. Mosley,2408,DI,JAX,16,12,2.4,0,0,15,58.8,73.4,87.8,67.5,69.7,79.3,2.5,1,0,318,321,6.3,20,27
Kevin Vickerson,2433,DI,DEN,17,3,1.8,0,1,10,67.0,66.1,32.4,61.6,68.7,70.7,3.3,1,4,252,256,8.7,22,26
Jay Ratliff,2441,DI,DAL,6,1,3.5,0,0,9,70.4,60.6,30.6,67.4,49.9,54.6,7.7,1,2,87,92,9.2,8,11
Lorenzo Alexander,2476,ED,WAS,13,4,4.3,1,0,32,40.4,53.6,31.6,65.7,59.7,68.8,0.0,0,3,58,59,3.4,2,3
Atari Bigby,2496,S,SD,11,7,7.6,0,0,27,41.1,51.6,84.6,58.0,78.7,59.3,8.1,3,1,223,227,3.6,8,27
Chase Blackburn,2498,LB,NYG,15,14,3.9,0,1,21,50.9,59.0,84.2,74.9,62.1,66.1,8.8,6,0,368,383,8.2,30,48
Brandon Browner,2512,CB,SEA,14,2,16.2,2,1,29,72.5,73.9,17.8,53.4,84.7,59.4,25.0,4,7,315,322,0.3,1,10
Chris Carr,2526,CB,SD,1,0,,0,0,27,61.6,62.4,67.8,,60.0,,,0,0,1,1,0.0,0,0
Heath Farwell,2588,LB,SEA,3,0,6.5,0,0,29,69.8,75.1,72.6,,68.7,82.5,0.0,0,0,4,5,0.0,0,2
Jim Leonhard,2694,S,DEN,14,1,6.6,0,0,10,79.1,79.5,80.9,47.4,68.3,81.7,0.0,0,1,50,54,6.0,3,5
Ray Ventrone,2824,CB,CLV,2,0,,0,0,8,62.3,63.6,70.6,,60.0,,,0,0,4,4,0.0,0,0
Dimitri Patterson,2868,CB,MIA,9,1,4.6,1,0,17,63.9,66.8,12.7,86.8,79.5,83.4,0.0,0,3,163,169,1.2,2,5
Ahmad Brooks,2945,ED,SF,19,5,1.9,1,1,28,75.7,78.5,38.9,73.3,76.2,68.2,7.1,3,6,430,438,7.0,30,34
Mario Williams,2946,ED,BUF,16,4,1.3,0,0,4,62.1,74.9,69.7,69.6,71.4,54.0,11.8,4,2,382,388,6.0,23,26
A.J. Hawk,2950,LB,GB,18,20,3.8,0,0,12,59.6,69.9,90.4,55.7,76.1,85.6,4.5,4,1,418,428,10.8,45,65
Michael Huff,2952,CB,OAK,16,5,6.0,0,0,23,65.0,68.6,88.3,42.2,80.3,56.8,10.5,2,0,372,385,1.3,5,12
Donte Whitner,2953,S,SF,19,9,7.1,0,1,28,57.7,59.8,69.7,50.6,64.3,72.7,17.1,6,1,441,450,1.4,6,20
Ernie Sims,2954,LB,DAL,9,2,4.1,0,0,9,51.2,48.2,33.8,78.0,46.3,68.6,11.5,3,1,167,170,7.8,13,21
Haloti Ngata,2957,DI,BLT,18,4,2.4,0,0,3,62.1,67.7,46.8,63.4,70.1,56.6,8.2,4,5,423,439,6.9,29,41
Kamerion Wimbley,2958,ED,TEN,16,3,2.8,1,0,31,65.2,65.3,66.2,70.6,51.9,78.8,0.0,0,2,337,356,2.7,9,13
Brodrick Bunkley,2959,DI,NO,15,3,2.6,0,0,20,58.2,69.4,66.3,61.6,70.5,46.3,4.8,1,1,202,210,6.9,14,17
Chad Greenway,2962,LB,MIN,17,16,3.3,0,0,18,65.5,63.1,62.7,64.3,58.9,73.8,15.2,12,2,410,420,8.5,35,51
Bobby Carpenter,2963,LB,NE,2,0,,0,0,19,63.4,65.1,67.8,,60.0,,,0,0,2,2,0.0,0,0
Antonio Cromartie,2964,CB,NYJ,16,1,11.6,0,0,22,75.1,75.4,68.6,,70.4,58.4,9.1,1,6,463,478,0.6,3,9
Tamba Hali,2965,ED,KC,15,7,3.7,0,0,16,69.7,69.9,82.7,71.0,58.9,79.7,2.6,1,1,424,433,3.8,16,30
Manny Lawson,2967,LB,CIN,17,3,3.2,0,0,7,31.6,53.0,40.5,90.4,63.7,72.4,11.8,2,2,215,218,2.8,6,12
Johnathan Joseph,2969,CB,HST,16,1,10.0,1,0,13,70.3,71.5,89.2,,69.0,74.9,10.0,1,4,322,328,0.3,1,8
Mathias Kiwanuka,2977,LB,NYG,16,7,4.9,0,0,21,51.1,56.3,50.2,63.2,56.1,73.6,8.3,2,2,212,220,2.8,6,15
DeMeco Ryans,2978,LB,PHI,16,16,3.5,0,1,24,58.9,73.4,84.2,62.5,83.8,83.8,4.4,4,2,454,467,9.7,44,70
D'Qwell Jackson,2979,LB,CLV,16,16,3.6,0,1,8,81.8,70.6,44.7,54.1,59.1,84.8,8.7,6,3,418,436,7.4,31,47
Rocky McIntosh,2980,LB,SL,16,5,3.2,0,0,26,55.0,53.9,43.2,58.6,55.8,54.4,18.8,6,1,250,259,4.8,12,21
Thomas Howard,2983,LB,CIN,1,0,6.0,0,0,7,80.9,78.3,69.6,68.1,62.0,76.2,0.0,0,0,23,23,0.0,0,1
Danieal Manning,2987,S,HST,18,4,7.8,0,0,13,50.0,56.1,41.8,55.2,74.2,80.2,5.6,2,4,391,399,2.0,8,30
Roman Harper,2988,S,NO,16,14,9.3,0,0,20,30.6,41.5,87.9,53.4,67.8,72.4,8.5,5,3,420,434,2.9,12,40
Cedric Griffin,2993,CB,WAS,8,1,1.7,0,0,32,63.6,62.9,36.2,59.2,61.8,83.2,0.0,0,2,85,88,2.4,2,3
Bernard Pollard,2999,S,BLT,17,10,5.9,0,1,3,55.3,64.5,0.0,92.2,83.6,74.8,12.5,7,8,479,500,3.5,17,39
Richard Marshall,3003,CB,MIA,4,0,3.5,1,0,17,54.0,51.7,12.4,55.0,53.2,59.6,50.0,2,4,78,79,2.6,2,2
